cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
spin_glass_n163,Z12,37309,carry-audit,2,11.221,13,1.15,28.78,1,137,,137,1845,1740,1983,0,28.17,1942,0,8,0,3079.0,32.0,True,0,0,0,True,76.9
regular_n316,Z12,13096,plane,0,2.557,6,0.79,29.15,2,1650|568,,2218,0,249,2319,0,0.05,3,0,0,10,2030.0,22.0,False,0,1,4,False,60.0
regular_n316,Z12,13096,plane,1,2.706,6,0.56,29.34,2,1650|843,,2493,0,296,2629,0,0.06,3,0,0,10,2030.0,22.0,False,0,1,4,False,60.4
regular_n316,Z12,13096,plane,2,2.756,6,1.19,28.75,2,1650|834,,2484,0,296,2620,0,0.06,3,0,0,10,2030.0,22.0,False,0,1,4,False,60.1
regular_n316,Z12,13096,carry,0,2.87,7,1.44,28.48,2,860|171,,1031,0,2884,1032,0,16.21,757,0,131,5,1607.0,30.0,True,0,0,2,False,60.5
regular_n316,Z12,13096,carry,1,2.687,6,0.32,29.62,2,860|271,,1131,0,3710,1132,0,13.5,757,0,131,5,1607.0,30.0,True,0,0,2,False,61.0
regular_n316,Z12,13096,carry,2,2.734,6,0.57,29.36,2,860|194,,1054,0,3004,1055,0,16.9,757,0,131,5,1607.0,30.0,True,0,0,2,False,60.4
regular_n316,Z12,13096,carry-triv,0,2.911,7,0.0,29.89,2,1275|161,,1436,0,2053,1437,0,28.51,1387,0,304,0,1806.0,30.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,carry-triv,1,3.032,8,0.0,29.99,2,1275|333,,1608,0,2317,1609,0,25.02,1540,0,304,1,1751.0,36.0,False,0,2,1,False,60.8
regular_n316,Z12,13096,carry-triv,2,3.285,8,0.0,29.93,1,481,,481,0,66,482,0,29.86,477,0,0,6,2330.0,32.0,False,0,1,2,False,60.0
regular_n316,Z12,13096,carry-audit,0,2.845,7,9.45,20.4,1,64,,64,630,53,695,0,20.24,687,0,0,0,1640.0,20.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,carry-audit,1,2.696,6,10.85,19.2,1,42,,42,390,25,433,0,8.0,249,0,0,1,1674.0,19.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,carry-audit,2,2.978,7,13.82,16.07,1,42,,42,270,16,313,0,14.99,249,0,0,1,1674.0,19.0,True,0,0,0,True,60.0
ws_n486,Z12,17188,plane,0,2.646,8,8.33,21.59,1,326,,326,0,20,330,0,0.2,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.0
ws_n486,Z12,17188,plane,1,2.603,8,8.92,21.07,1,208,,208,0,8,209,0,0.59,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.1
ws_n486,Z12,17188,plane,2,2.856,9,8.76,21.36,1,182,,182,0,4,183,0,0.4,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.0
ws_n486,Z12,17188,plane,3,2.529,8,15.21,14.7,1,286,,286,0,18,290,0,3.31,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.1
ws_n486,Z12,17188,plane,4,2.377,8,13.58,16.16,1,182,,182,0,4,183,0,0.14,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.0
ws_n486,Z12,17188,plane,5,2.724,9,7.11,22.66,1,286,,286,0,18,290,0,0.32,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.0
ws_n486,Z12,17188,plane,6,2.486,8,13.56,16.42,1,107,,107,0,2,108,0,0.91,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.0
ws_n486,Z12,17188,plane,7,3.091,9,10.09,19.85,1,393,,393,0,27,397,0,0.31,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.0
ws_n486,Z12,17188,plane,8,2.584,8,12.34,17.19,1,360,,360,0,23,364,0,0.08,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.1
ws_n486,Z12,17188,plane,9,2.628,8,12.69,17.05,1,382,,382,0,25,386,0,0.11,3,0,0,390,3552.0,23.0,False,0,40,52,False,60.1
ws_n486,Z12,17188,carry,0,2.49,8,9.11,20.82,1,560,,560,0,124,561,0,16.88,414,0,0,223,2578.0,25.0,False,0,41,52,False,60.0
ws_n486,Z12,17188,carry,1,2.481,8,9.74,19.97,1,379,,379,0,62,380,0,19.9,376,0,0,194,2657.0,25.0,False,0,28,43,False,60.1
ws_n486,Z12,17188,carry,2,2.572,8,11.5,18.37,1,411,,411,0,68,412,0,18.26,411,0,0,190,2625.0,25.0,False,0,34,43,False,60.7
ws_n486,Z12,17188,carry,3,2.601,9,15.16,14.56,1,398,,398,0,67,399,0,14.4,394,0,0,250,2650.0,25.0,False,0,45,44,False,60.1
ws_n486,Z12,17188,carry,4,2.494,8,12.25,16.3,1,384,,384,0,64,385,0,16.16,376,0,0,194,2657.0,25.0,False,1,28,43,False,60.1
ws_n486,Z12,17188,carry,5,2.521,8,11.11,18.55,1,322,,322,0,48,323,0,18.53,323,0,0,209,2669.0,24.0,False,0,24,37,False,60.1
ws_n486,Z12,17188,carry,6,2.521,8,9.56,20.1,1,733,,733,0,272,734,0,17.68,673,0,0,201,2466.0,34.0,False,0,25,46,False,60.6
ws_n486,Z12,17188,carry,7,2.695,9,6.14,23.7,1,691,,691,0,230,692,0,23.01,673,0,0,201,2466.0,34.0,False,0,25,46,False,60.1
ws_n486,Z12,17188,carry,8,2.553,8,8.12,22.21,1,652,,652,0,208,653,0,21.51,649,0,0,281,2501.0,31.0,False,0,46,54,False,60.0
ws_n486,Z12,17188,carry,9,2.984,10,7.42,22.31,1,680,,680,0,221,681,0,21.98,673,0,0,201,2466.0,34.0,False,0,25,46,False,60.1
ws_n486,Z12,17188,carry-triv,0,2.71,10,0.0,29.9,1,905,,905,0,550,906,0,27.11,818,0,0,13304,4121.0,40.0,False,1,196,243,False,60.0
ws_n486,Z12,17188,carry-triv,1,2.895,11,0.0,29.89,1,693,,693,0,299,694,0,27.14,610,0,0,12758,4197.0,38.0,False,0,203,233,False,60.1
ws_n486,Z12,17188,carry-triv,2,2.899,10,0.0,29.91,1,647,,647,0,246,648,0,28.48,610,0,0,12758,4197.0,38.0,False,0,203,233,False,60.0
ws_n486,Z12,17188,carry-triv,3,2.837,9,0.0,29.91,1,646,,646,0,246,647,0,28.57,610,0,0,12758,4197.0,38.0,False,0,203,233,False,60.0
ws_n486,Z12,17188,carry-triv,4,2.689,10,0.0,29.9,1,575,,575,0,201,576,0,22.91,381,0,0,7387,4252.0,40.0,False,0,178,204,False,60.0
ws_n486,Z12,17188,carry-triv,5,3.0,11,0.0,29.94,1,847,,847,0,504,848,0,29.01,818,0,0,13304,4121.0,40.0,False,0,196,243,False,60.0
ws_n486,Z12,17188,carry-triv,6,2.93,9,0.0,29.95,1,669,,669,0,270,670,0,27.64,610,0,0,12758,4197.0,38.0,False,1,203,233,False,60.0
ws_n486,Z12,17188,carry-triv,7,2.722,10,0.0,29.91,1,638,,638,0,242,639,0,28.84,610,0,0,12758,4197.0,38.0,False,1,203,233,False,60.1
ws_n486,Z12,17188,carry-triv,8,2.794,9,0.0,29.9,1,709,,709,0,322,710,0,26.02,610,0,0,12758,4197.0,38.0,False,0,203,233,False,60.0
ws_n486,Z12,17188,carry-triv,9,2.759,10,0.0,29.94,1,643,,643,0,246,644,0,28.93,610,0,0,12758,4197.0,38.0,False,0,203,233,False,60.1
ws_n486,Z12,17188,carry-audit,0,2.558,8,1.73,28.19,1,88,,88,987,25,1076,0,22.59,836,0,0,205,2944.0,25.0,False,0,39,40,False,60.1
ws_n486,Z12,17188,carry-audit,1,2.654,9,1.49,28.41,1,88,,88,1006,25,1095,0,24.0,836,0,0,205,2944.0,25.0,False,0,39,40,False,60.1
ws_n486,Z12,17188,carry-audit,2,2.504,8,4.21,25.69,1,88,,88,802,16,891,0,24.41,836,0,0,205,2944.0,25.0,False,1,39,40,False,60.1
ws_n486,Z12,17188,carry-audit,3,3.014,10,10.62,19.31,1,88,,88,981,25,1070,0,15.79,836,0,0,205,2944.0,25.0,False,0,39,40,False,60.1
ws_n486,Z12,17188,carry-audit,4,2.43,7,11.13,18.73,1,88,,88,870,16,959,0,16.44,836,0,0,205,2944.0,25.0,False,0,39,40,False,60.3
ws_n486,Z12,17188,carry-audit,5,2.572,8,9.28,20.62,1,88,,88,880,16,969,0,17.47,836,0,0,205,2944.0,25.0,False,0,39,40,False,60.1
ws_n486,Z12,17188,carry-audit,6,2.465,7,8.0,21.54,1,88,,88,847,16,936,0,19.06,836,0,0,205,2944.0,25.0,False,0,39,40,False,60.0
ws_n486,Z12,17188,carry-audit,7,2.543,8,6.18,22.89,1,94,,94,1065,26,1160,0,22.76,1150,0,0,142,2932.0,26.0,False,0,43,50,False,60.0
ws_n486,Z12,17188,carry-audit,8,2.652,8,8.84,21.08,1,87,,87,738,16,826,0,19.58,764,0,0,190,2951.0,24.0,False,0,36,39,False,60.0
ws_n486,Z12,17188,carry-audit,9,2.588,8,7.55,22.33,1,88,,88,870,16,959,0,19.41,836,0,0,205,2944.0,25.0,False,0,39,40,False,60.0
grid_200,Z12,1590,plane,0,1.285,3,0.13,29.36,6,267|282|282|282|282|151,,1546,0,4177,1678,0,0.1,9,0,0,1,246.0,9.0,True,2,0,0,True,60.0
grid_200,Z12,1590,plane,1,1.095,2,0.07,29.85,7,267|282|282|282|282|282|52,,1729,0,4725,1876,0,0.1,9,0,0,1,246.0,9.0,True,0,0,0,True,60.0
grid_200,Z12,1590,plane,2,1.135,2,0.09,29.81,5,267|282|282|282|148,,1261,0,3384,1370,0,0.1,9,0,0,1,246.0,9.0,True,0,0,0,True,60.1
grid_200,Z12,1590,carry,0,1.33,3,0.09,29.79,4,535|269|211|7,,1022,0,6101,1023,0,18.45,823,0,176,0,240.0,8.0,True,1,0,0,True,60.0
grid_200,Z12,1590,carry,1,1.43,3,0.1,29.81,3,535|269|203,,1007,0,4224,1008,0,21.84,823,0,168,0,240.0,8.0,True,0,0,0,True,60.0
grid_200,Z12,1590,carry,2,1.35,3,0.1,29.81,3,535|269|200,,1004,0,4110,1005,0,22.77,823,0,165,0,240.0,8.0,True,1,0,0,True,60.1
grid_200,Z12,1590,carry-triv,0,1.36,3,0.0,29.27,4,506|230|9|0,,745,0,6455,746,0,19.56,738,0,202,4,255.0,20.0,True,2,0,1,False,60.0
grid_200,Z12,1590,carry-triv,1,1.35,3,0.0,27.43,4,506|230|9|0,,745,0,6455,746,0,20.0,738,0,202,4,255.0,20.0,True,0,0,1,False,60.0
grid_200,Z12,1590,carry-triv,2,1.29,3,0.0,27.68,4,506|230|9|0,,745,0,6455,746,0,17.3,738,0,202,4,255.0,20.0,True,0,0,1,False,60.0
grid_200,Z12,1590,carry-audit,0,1.38,2,0.07,29.87,3,53|3|0,,56,2924,688,2981,0,14.8,1514,0,0,0,282.0,7.0,True,1,0,0,True,60.1
grid_200,Z12,1590,carry-audit,1,1.425,3,0.1,29.81,2,53|3,,56,2788,651,2845,0,17.08,1514,0,0,0,282.0,7.0,True,0,0,0,True,60.0
grid_200,Z12,1590,carry-audit,2,1.22,2,0.1,26.96,3,53|3|0,,56,2942,2402,2999,0,15.4,1514,0,0,0,282.0,7.0,True,0,0,0,True,60.0
honeycomb_200,Z12,32393,plane,0,1.205,3,0.69,29.23,4,387|410|388|305,,1490,0,2430,1751,0,0.14,12,0,0,0,345.0,22.0,True,0,0,0,True,60.0
honeycomb_200,Z12,32393,plane,1,1.13,2,1.0,28.91,5,387|410|388|375|132,,1692,0,2738,1972,0,0.14,12,0,0,0,345.0,22.0,True,1,0,0,True,60.1
