cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,deficit,corner,cmiss,time
ws_n486,Z12,17188,default,6,2.35,7,0.21,29.76,11,255,1,0,0,0,19.0,False,0,32,23,,60.2
ws_n486,Z12,17188,default,7,2.556,8,0.47,29.5,11,214,1,0,0,0,19.0,False,0,32,23,,60.1
ws_n486,Z12,17188,default,8,2.638,8,0.14,29.84,11,309,1,0,0,0,19.0,False,0,32,23,,60.1
ws_n486,Z12,17188,default,9,2.418,8,0.12,29.85,11,267,1,0,0,0,19.0,False,0,32,23,,60.0
ws_n486,Z12,17188,conv,0,2.597,9,7.88,22.09,11,205,1,0,0,0,19.0,False,0,30,0,34,60.0
ws_n486,Z12,17188,conv,1,2.751,9,6.15,23.81,11,217,1,0,0,0,19.0,False,0,30,0,34,60.0
ws_n486,Z12,17188,conv,2,2.436,8,8.46,21.43,11,211,1,0,0,0,19.0,False,0,30,0,34,60.0
ws_n486,Z12,17188,conv,3,2.512,8,10.61,19.31,11,224,1,0,0,0,19.0,False,0,30,0,34,60.0
ws_n486,Z12,17188,conv,4,2.521,8,8.66,21.23,11,243,1,0,0,0,19.0,False,0,30,0,34,60.0
ws_n486,Z12,17188,conv,5,2.77,8,9.77,19.18,11,218,1,0,0,0,19.0,False,0,30,0,34,60.0
ws_n486,Z12,17188,conv,6,2.35,7,8.46,21.03,11,210,1,0,0,0,19.0,False,0,30,0,34,60.0
ws_n486,Z12,17188,conv,7,2.556,8,9.08,20.74,11,216,1,0,0,0,19.0,False,0,30,0,34,60.0
ws_n486,Z12,17188,conv,8,2.638,8,7.1,22.11,11,247,1,0,0,0,19.0,False,0,30,0,34,60.0
ws_n486,Z12,17188,conv,9,2.418,8,6.65,22.72,11,258,1,0,0,0,19.0,False,0,30,0,34,60.0
grid_200,Z12,1590,default,0,1.015,2,0.19,7.97,11,220,1,0,0,0,3.0,False,0,21,15,,25.1
grid_200,Z12,1590,default,1,1.05,2,0.24,8.46,11,220,1,0,0,0,3.0,False,0,21,15,,31.1
grid_200,Z12,1590,default,2,1.05,2,0.07,5.53,11,220,1,0,0,0,3.0,False,0,21,15,,31.8
grid_200,Z12,1590,conv,0,1.07,2,0.1,6.27,11,220,1,0,0,0,3.0,False,0,10,0,22,39.1
