cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
regular_n316,Z12,13096,xy,5,2.816,6,12.84,17.08,1,201,,201,0,30,202,0,13.95,125,0,0,0,1,1,1638.0,25.0,True,0,0,0,True,60.1
regular_n316,Z12,13096,xy,6,3.127,7,15.3,12.75,1,618,,618,0,474,619,0,10.71,524,0,0,0,1,1,1610.0,27.0,True,0,0,0,True,60.5
regular_n316,Z12,13096,xy,7,2.699,6,16.59,12.89,1,553,,553,0,309,554,0,11.74,524,0,0,0,1,1,1610.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,xy,8,2.674,6,18.32,11.48,1,547,,547,0,255,548,0,9.65,524,0,0,0,1,1,1610.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,xy,9,2.962,7,13.5,15.07,1,602,,602,0,445,603,0,12.27,524,0,0,0,1,1,1610.0,27.0,True,0,0,0,True,60.7
ws_n486,Z12,17188,plane,0,2.49,8,10.96,18.95,1,453,,453,0,71,454,0,17.96,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.1
ws_n486,Z12,17188,plane,1,2.498,8,9.6,20.18,1,538,,538,0,111,539,0,16.32,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,61.1
ws_n486,Z12,17188,plane,2,2.547,9,11.07,18.81,1,770,,770,0,311,771,0,15.68,673,0,0,0,1,201,2466.0,34.0,False,0,25,46,False,60.0
ws_n486,Z12,17188,plane,3,2.626,9,12.86,16.78,1,538,,538,0,111,539,0,13.2,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.0
ws_n486,Z12,17188,plane,4,2.652,9,8.26,21.69,1,221,,221,0,21,222,0,21.47,221,0,0,0,1,167,2791.0,22.0,False,0,23,38,False,60.0
ws_n486,Z12,17188,plane,5,2.84,9,8.69,21.25,1,630,,630,0,181,631,0,17.34,576,0,0,0,1,191,2505.0,25.0,False,0,29,43,False,60.0
ws_n486,Z12,17188,plane,6,2.613,9,7.54,22.24,1,840,,840,0,385,841,0,22.02,830,0,0,0,1,251,2428.0,30.0,False,0,33,48,False,60.1
ws_n486,Z12,17188,plane,7,2.628,9,7.01,22.42,1,636,,636,0,191,637,0,20.96,576,0,0,0,1,191,2505.0,25.0,False,0,29,43,False,60.0
ws_n486,Z12,17188,plane,8,2.484,10,1.49,28.34,1,595,,595,0,156,596,0,27.54,576,0,0,0,1,191,2505.0,25.0,False,1,29,43,False,60.0
ws_n486,Z12,17188,plane,9,2.984,10,6.53,23.33,1,780,,780,0,323,781,0,20.73,673,0,0,0,1,201,2466.0,34.0,False,0,25,46,False,60.1
ws_n486,Z12,17188,xy,0,2.508,8,11.93,17.97,1,630,,630,0,182,631,0,16.56,576,0,0,0,1,191,2505.0,25.0,False,0,29,43,False,60.1
ws_n486,Z12,17188,xy,1,2.498,8,11.76,18.15,1,529,,529,0,102,530,0,14.66,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.0
ws_n486,Z12,17188,xy,2,2.537,9,11.38,18.46,1,533,,533,0,107,534,0,15.02,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.1
ws_n486,Z12,17188,xy,3,2.477,8,12.4,17.51,1,672,,672,0,221,673,0,17.45,673,0,0,0,1,201,2466.0,34.0,False,0,25,46,False,60.0
ws_n486,Z12,17188,xy,4,2.496,8,10.58,19.36,1,555,,555,0,121,556,0,15.11,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.1
ws_n486,Z12,17188,xy,5,2.628,9,8.45,21.45,1,773,,773,0,311,774,0,19.05,673,0,0,0,1,201,2466.0,34.0,False,0,25,46,False,60.0
ws_n486,Z12,17188,xy,6,2.521,8,9.84,17.54,1,693,,693,0,233,694,0,17.07,673,0,0,0,1,201,2466.0,34.0,False,0,25,46,False,60.0
ws_n486,Z12,17188,xy,7,2.455,8,8.47,18.87,1,881,,881,0,411,882,0,17.91,830,0,0,0,1,251,2428.0,30.0,False,0,33,48,False,60.1
ws_n486,Z12,17188,xy,8,2.638,8,9.56,20.32,1,860,,860,0,402,861,0,19.68,830,0,0,0,1,251,2428.0,30.0,False,0,33,48,False,60.0
ws_n486,Z12,17188,xy,9,2.984,10,9.89,19.98,1,774,,774,0,314,775,0,16.29,673,0,0,0,1,201,2466.0,34.0,False,0,25,46,False,60.1
grid_200,Z12,1590,plane,0,1.33,3,0.13,29.78,4,535|269|211|4,,1019,0,5023,1020,0,21.35,823,0,176,0,1,0,240.0,8.0,True,1,0,0,True,60.0
grid_200,Z12,1590,plane,1,1.43,3,1.62,28.1,4,535|269|211|5,,1020,0,5148,1021,0,18.5,823,0,176,0,1,0,240.0,8.0,True,0,0,0,True,60.0
grid_200,Z12,1590,plane,2,1.35,3,0.14,29.6,4,535|269|211|6,,1021,0,5275,1022,0,19.86,823,0,176,0,1,0,240.0,8.0,True,1,0,0,True,60.0
grid_200,Z12,1590,xy,0,1.415,3,0.92,28.17,4,567|262|279|8,,1116,0,3864,1117,0,5.85,280,0,229,289,1,0,271.0,10.0,True,0,0,0,True,60.0
grid_200,Z12,1590,xy,1,1.34,3,0.09,28.43,3,567|262|88,,917,0,2631,918,0,5.04,280,0,170,194,1,0,271.0,10.0,True,2,0,0,True,60.0
grid_200,Z12,1590,xy,2,1.39,3,0.33,29.49,4,567|262|279|11,,1119,0,4050,1120,0,4.64,280,0,229,289,1,0,271.0,10.0,True,0,0,0,True,60.0
honeycomb_200,Z12,32393,plane,0,1.335,3,1.34,17.28,4,334|58|3|0,,395,0,6245,396,0,7.24,333,0,62,0,1,0,249.0,10.0,True,0,0,0,True,49.9
honeycomb_200,Z12,32393,plane,1,1.43,3,0.69,21.47,4,334|58|3|0,,395,0,6245,396,0,9.36,333,0,62,0,1,0,249.0,10.0,True,0,0,0,True,60.0
honeycomb_200,Z12,32393,plane,2,1.23,2,0.31,20.6,4,334|58|3|0,,395,0,6245,396,0,8.3,333,0,62,0,1,0,249.0,10.0,True,0,0,0,True,55.8
honeycomb_200,Z12,32393,xy,0,1.355,3,0.47,29.45,5,426|132|79|79|30,,746,0,5861,747,0,11.65,466,0,164,272,1,0,237.0,12.0,True,0,0,0,True,60.0
honeycomb_200,Z12,32393,xy,1,1.365,3,0.26,29.66,3,426|132|79,,637,0,3690,638,0,14.15,466,0,139,196,1,0,237.0,12.0,True,2,0,0,True,60.0
honeycomb_200,Z12,32393,xy,2,1.325,3,0.68,29.21,5,426|132|79|79|0,,716,0,5271,717,0,9.04,466,0,164,244,1,0,237.0,12.0,True,0,0,0,True,60.0
king_graph_196,Z12,32622,plane,0,1.781,4,0.03,29.9,4,710|238|139|22,,1109,0,8422,1110,0,6.41,566,0,339,0,1,0,298.0,9.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,plane,1,1.74,4,0.03,29.9,3,710|238|104,,1052,0,4883,1053,0,9.2,566,0,299,0,1,0,298.0,9.0,True,2,0,0,True,60.0
king_graph_196,Z12,32622,plane,2,1.964,4,0.03,29.88,4,710|238|139|17,,1104,0,8035,1105,0,6.18,566,0,334,0,1,0,298.0,9.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,xy,0,1.862,4,0.04,29.85,2,716|289,,1005,0,2948,1006,0,15.62,663,0,321,172,1,0,307.0,10.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,xy,1,1.898,4,0.04,29.86,2,716|338,,1054,0,3345,1055,0,13.56,663,0,370,172,1,0,307.0,10.0,True,3,0,0,True,60.1
king_graph_196,Z12,32622,xy,2,1.653,3,0.04,29.86,3,716|345|150,,1211,0,4105,1212,0,11.3,663,0,377,216,1,0,307.0,10.0,True,1,0,0,True,60.1
