cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,time
regular_n316,Z12,13096,noclamp,0,2.845,7,0.36,11.27,6,157,3,0,0,0,23.0,False,0,60.1
regular_n316,Z12,13096,noclamp,1,2.595,6,0.46,14.0,6,157,3,0,0,0,23.0,False,0,60.0
regular_n316,Z12,13096,noclamp,2,3.0,7,1.05,14.62,6,157,3,0,0,0,23.0,False,0,60.0
ws_n486,Z12,17188,default,0,2.897,11,4.17,25.75,43,469,23,0,0,0,39.0,False,0,60.0
ws_n486,Z12,17188,default,1,3.049,11,3.35,26.56,43,494,23,0,0,0,39.0,False,0,60.0
ws_n486,Z12,17188,default,2,2.924,10,2.65,27.26,43,499,23,0,0,0,39.0,False,0,60.0
ws_n486,Z12,17188,default,3,3.167,11,1.87,28.06,44,526,23,0,0,0,39.0,False,0,60.0
ws_n486,Z12,17188,default,4,3.072,11,0.38,29.54,43,396,23,0,0,0,39.0,False,0,60.0
ws_n486,Z12,17188,default,5,2.772,9,0.46,29.46,43,398,23,0,0,0,39.0,False,0,60.0
ws_n486,Z12,17188,default,6,2.969,10,0.18,29.77,43,398,23,0,0,0,39.0,False,1,60.0
ws_n486,Z12,17188,default,7,3.154,10,0.14,29.78,43,419,23,0,0,0,39.0,False,0,60.0
ws_n486,Z12,17188,default,8,2.996,10,0.2,29.74,43,392,23,0,0,0,39.0,False,0,60.0
ws_n486,Z12,17188,default,9,2.934,10,0.12,29.81,43,411,23,0,0,0,39.0,False,1,60.0
ws_n486,Z12,17188,noclamp,0,2.716,9,8.18,21.76,22,415,11,0,0,0,34.0,False,1,60.0
ws_n486,Z12,17188,noclamp,1,3.0,11,8.68,21.21,22,406,11,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,noclamp,2,3.403,11,8.91,20.98,22,402,11,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,noclamp,3,2.786,9,8.3,21.62,22,414,11,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,noclamp,4,2.866,10,7.71,22.21,22,408,11,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,noclamp,5,2.757,10,7.44,22.52,22,445,11,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,noclamp,6,2.646,9,7.52,22.4,22,418,11,0,0,0,34.0,False,0,60.0
