cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,int_acc,int_dec,int_noop,readouts,bm_wall,bm_ro,hier_acc,pair_acc,widen_asked,widen_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
turan_n162,Z12,2647,widen,4,10.148,13,0.0,29.95,1,174,174,0,6081,175,3.15,152,0,2,72,55,0,2790.0,35.0,True,0,0,0,True,60.2
turan_n162,Z12,2647,widen,5,9.636,12,0.0,29.95,1,170,170,0,5944,171,3.44,166,0,0,74,58,0,2669.0,33.0,True,0,0,0,True,63.7
turan_n162,Z12,2647,widen,6,10.148,13,0.0,29.95,1,174,174,0,5475,175,2.83,152,0,2,72,55,0,2790.0,35.0,True,0,0,0,True,63.5
turan_n162,Z12,2647,widen,7,9.636,12,0.0,29.95,1,170,170,0,5548,171,2.75,166,0,0,74,58,0,2669.0,33.0,True,0,0,0,True,60.3
turan_n162,Z12,2647,widen,8,9.636,12,0.0,29.95,1,170,170,0,5593,171,3.21,166,0,0,74,58,0,2669.0,33.0,True,0,0,0,True,69.1
turan_n162,Z12,2647,widen,9,10.148,13,0.0,29.95,1,174,174,0,5438,175,3.45,152,0,2,72,55,0,2790.0,35.0,True,0,0,0,True,64.3
spin_glass_n163,Z12,37309,plane,0,10.853,12,0.78,29.17,1,351,351,0,5826,352,14.7,334,0,62,0,0,0,3055.0,33.0,True,0,0,0,True,54.1
spin_glass_n163,Z12,37309,plane,1,10.853,12,0.84,29.1,1,351,351,0,6112,352,13.59,334,0,62,0,0,0,3055.0,33.0,True,0,0,0,True,56.4
spin_glass_n163,Z12,37309,plane,2,10.853,12,0.81,29.14,1,351,351,0,6342,352,12.88,334,0,62,0,0,0,3055.0,33.0,True,0,0,0,True,56.8
spin_glass_n163,Z12,37309,inner,0,10.853,12,1.15,28.8,1,351,351,0,6211,352,12.45,334,0,62,0,0,0,3055.0,33.0,True,0,0,0,True,55.2
spin_glass_n163,Z12,37309,inner,1,10.853,12,1.17,28.77,1,351,351,0,5876,352,13.13,334,0,62,0,0,0,3055.0,33.0,True,0,0,0,True,54.7
spin_glass_n163,Z12,37309,inner,2,10.853,12,1.21,28.74,1,351,351,0,6128,352,13.25,334,0,62,0,0,0,3055.0,33.0,True,0,0,0,True,57.5
spin_glass_n163,Z12,37309,widen,0,10.902,12,1.46,28.49,1,280,280,0,6022,281,26.48,277,0,49,94,76,0,3073.0,29.0,True,0,0,0,True,60.2
spin_glass_n163,Z12,37309,widen,1,10.902,12,1.12,28.79,1,281,281,0,6448,282,25.4,277,0,50,94,76,0,3073.0,29.0,True,0,0,0,True,60.2
spin_glass_n163,Z12,37309,widen,2,10.902,12,1.0,28.92,1,280,280,0,6170,281,26.48,277,0,49,94,76,0,3073.0,29.0,True,0,0,0,True,60.3
regular_n316,Z12,13096,plane,0,2.867,7,1.32,28.62,2,860|273,1133,0,3740,1134,15.36,757,0,131,0,0,5,1607.0,30.0,True,1,0,2,False,60.1
regular_n316,Z12,13096,plane,1,2.687,6,6.36,23.56,2,860|243,1103,0,3312,1104,12.56,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,2,2.734,6,6.64,23.27,2,860|212,1072,0,3166,1073,13.0,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,3,2.623,6,7.17,22.54,2,860|211,1071,0,3166,1072,12.18,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,4,2.687,6,6.4,23.52,2,860|246,1106,0,3357,1107,12.15,757,0,131,0,0,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,plane,5,2.687,6,7.62,22.15,2,860|232,1092,0,3241,1093,11.53,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.2
regular_n316,Z12,13096,plane,6,2.633,6,5.86,23.74,2,860|249,1109,0,3444,1110,12.14,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.3
regular_n316,Z12,13096,plane,7,2.813,6,4.54,25.36,2,860|290,1150,0,3919,1151,11.64,757,0,141,0,0,5,1607.0,30.0,True,0,0,2,False,60.1
regular_n316,Z12,13096,plane,8,2.636,6,3.09,26.54,2,860|305,1165,0,4264,1166,11.54,757,0,156,0,0,5,1607.0,30.0,True,0,0,2,False,60.1
regular_n316,Z12,13096,plane,9,2.772,6,0.63,29.3,2,860|144,1004,0,2727,1005,21.38,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,inner,0,2.867,7,1.01,28.89,2,860|79,939,0,2498,940,22.3,757,0,131,0,0,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,inner,1,2.687,6,0.95,28.96,2,860|65,925,0,2451,926,22.71,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,inner,2,2.734,6,0.61,29.3,2,860|77,937,0,2478,938,22.67,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,inner,3,2.623,6,0.61,29.32,2,860|166,1026,0,2685,1027,21.24,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,inner,4,2.687,6,0.31,29.62,2,860|152,1012,0,2647,1013,21.89,757,0,131,0,0,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,inner,5,2.687,6,0.7,29.23,2,860|135,995,0,2594,996,21.94,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,inner,6,2.633,6,0.65,29.29,2,860|97,957,0,2529,958,22.51,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,inner,7,2.81,6,1.34,28.59,2,860|175,1035,0,2766,1036,20.19,757,0,131,0,0,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,inner,8,2.636,6,2.21,27.72,2,860|151,1011,0,2637,1012,19.92,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,inner,9,2.772,6,2.66,27.14,2,860|152,1012,0,2643,1013,19.37,757,0,131,0,0,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,widen,0,2.703,6,7.95,21.96,2,734|72,806,0,2700,807,21.24,791,0,73,404,274,1,1547.0,29.0,True,0,0,1,False,60.0
regular_n316,Z12,13096,widen,1,2.807,7,11.07,18.84,2,734|83,817,0,2739,818,18.78,816,0,73,404,274,11,1542.0,29.0,False,0,2,2,False,60.0
regular_n316,Z12,13096,widen,2,2.854,7,7.74,22.16,2,734|118,852,0,2850,853,22.15,853,0,73,421,285,5,1513.0,30.0,False,0,3,3,False,60.0
regular_n316,Z12,13096,widen,3,3.035,7,10.76,19.13,2,734|92,826,0,2789,827,18.91,821,0,73,406,275,12,1541.0,30.0,False,1,1,2,False,60.0
regular_n316,Z12,13096,widen,4,2.731,6,9.79,20.1,2,734|89,823,0,2766,824,20.04,821,0,73,405,275,12,1541.0,30.0,False,1,1,2,False,60.0
regular_n316,Z12,13096,widen,5,2.759,6,10.01,19.49,2,734|106,840,0,2819,841,18.97,821,0,73,412,277,12,1541.0,30.0,False,0,1,2,False,60.0
regular_n316,Z12,13096,widen,6,2.639,6,10.16,19.74,2,734|116,850,0,2841,851,19.66,845,0,73,420,284,3,1527.0,30.0,True,0,0,1,False,60.3
regular_n316,Z12,13096,widen,7,2.731,6,9.74,20.2,2,734|106,840,0,2813,841,19.69,821,0,73,412,277,12,1541.0,30.0,False,0,1,2,False,60.7
regular_n316,Z12,13096,widen,8,2.652,7,9.33,20.41,2,734|141,875,0,3096,876,19.82,861,0,73,424,285,4,1506.0,30.0,False,1,2,2,False,60.5
regular_n316,Z12,13096,widen,9,2.858,7,8.55,20.94,2,734|164,898,0,3227,899,19.63,861,0,73,431,287,4,1506.0,30.0,False,1,2,2,False,60.0
ws_n486,Z12,17188,plane,0,2.57,9,7.05,22.85,1,1177,1177,0,1143,1178,19.07,1091,0,0,0,0,248,2371.0,27.0,False,0,42,50,False,60.1
ws_n486,Z12,17188,plane,1,2.802,10,5.18,24.74,1,1216,1216,0,1269,1217,24.42,1207,0,0,0,0,342,2365.0,27.0,False,1,24,59,False,60.0
ws_n486,Z12,17188,plane,2,2.588,8,4.28,24.64,1,1208,1208,0,1243,1209,24.57,1207,0,0,0,0,342,2365.0,27.0,False,0,24,59,False,60.1
ws_n486,Z12,17188,plane,3,2.73,9,0.17,29.78,1,1107,1107,0,786,1108,29.01,1091,0,0,0,0,248,2371.0,27.0,False,1,42,50,False,60.0
ws_n486,Z12,17188,plane,4,2.615,8,0.17,29.61,1,1149,1149,0,1014,1150,26.61,1091,0,0,0,0,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,plane,5,2.671,9,0.46,29.34,1,1047,1047,0,554,1048,28.44,1001,0,0,0,0,334,2410.0,32.0,False,0,35,53,False,60.0
ws_n486,Z12,17188,plane,6,2.541,8,0.14,29.82,1,1168,1168,0,1108,1169,26.14,1091,0,0,0,0,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,plane,7,2.436,8,0.43,29.51,1,1072,1072,0,672,1073,29.36,1070,0,0,0,0,294,2376.0,27.0,False,0,52,55,False,60.0
ws_n486,Z12,17188,plane,8,2.529,8,0.19,29.55,1,1093,1093,0,727,1094,29.44,1091,0,0,0,0,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,plane,9,2.444,8,0.33,29.62,1,1066,1066,0,644,1067,29.54,1066,0,0,0,0,334,2378.0,28.0,False,0,35,52,False,60.0
ws_n486,Z12,17188,inner,0,2.57,9,0.29,29.67,1,1114,1114,0,811,1115,28.69,1091,0,0,0,0,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,inner,1,2.578,8,0.65,29.3,1,1099,1099,0,769,1100,28.8,1091,0,0,0,0,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,inner,2,2.63,8,0.36,29.59,1,1066,1066,0,653,1067,29.44,1066,0,0,0,0,334,2378.0,28.0,False,0,35,52,False,60.0
ws_n486,Z12,17188,inner,3,2.73,9,0.35,29.44,1,1126,1126,0,870,1127,27.9,1091,0,0,0,0,248,2371.0,27.0,False,1,42,50,False,60.0
ws_n486,Z12,17188,inner,4,2.615,8,1.08,28.75,1,1116,1116,0,814,1117,27.73,1091,0,0,0,0,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,inner,5,2.471,7,8.02,21.82,1,1056,1056,0,606,1057,21.35,1049,0,0,0,0,293,2403.0,30.0,False,1,27,41,False,60.0
ws_n486,Z12,17188,inner,6,2.595,9,6.69,23.23,1,1073,1073,0,674,1074,23.06,1070,0,0,0,0,294,2376.0,27.0,False,0,52,55,False,60.0
