cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,wave_ct,wave_q,wave_stop,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
regular_n316,Z12,13096,wave,7,2.81,6,8.31,21.62,2,860|68,,928,0,2530,929,0,14.92,757,0,131,0,2,3458,False,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,wave,8,2.636,6,11.3,18.62,1,845,,845,0,2072,846,0,14.56,757,0,116,0,1,2917,False,5,1607.0,30.0,True,0,0,2,False,60.1
regular_n316,Z12,13096,wave,9,2.772,6,9.48,20.13,2,860|13,,873,0,2319,874,0,14.88,757,0,131,0,2,3192,False,5,1607.0,30.0,True,0,0,2,False,60.0
ws_n486,Z12,17188,plane,0,2.49,9,11.83,17.56,1,990,,990,0,481,991,0,16.85,950,0,0,0,0,0,False,325,2414.0,32.0,False,0,34,52,False,60.0
ws_n486,Z12,17188,plane,1,2.525,9,11.19,18.42,1,1037,,1037,0,510,1038,0,17.8,1001,0,0,0,0,0,False,334,2410.0,32.0,False,1,35,53,False,60.0
ws_n486,Z12,17188,plane,2,2.477,7,8.92,19.91,1,1045,,1045,0,528,1046,0,18.94,1001,0,0,0,0,0,False,334,2410.0,32.0,False,0,35,53,False,60.2
ws_n486,Z12,17188,plane,3,2.521,8,8.88,19.65,1,1077,,1077,0,687,1078,0,19.31,1070,0,0,0,0,0,False,294,2376.0,27.0,False,1,52,55,False,60.0
ws_n486,Z12,17188,plane,4,2.621,8,8.26,21.59,1,1084,,1084,0,692,1085,0,20.89,1070,0,0,0,0,0,False,294,2376.0,27.0,False,0,52,55,False,60.0
ws_n486,Z12,17188,plane,5,2.932,10,9.2,20.56,1,1094,,1094,0,745,1095,0,20.27,1091,0,0,0,0,0,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,plane,6,2.541,8,4.62,25.13,1,1199,,1199,0,1215,1200,0,20.59,1091,0,0,0,0,0,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,plane,7,2.545,8,0.63,29.32,1,1247,,1247,0,1461,1248,0,29.17,1242,0,27,0,0,0,False,494,2330.0,31.0,False,1,56,56,False,60.0
ws_n486,Z12,17188,plane,8,2.467,8,0.21,29.74,1,1240,,1240,0,1428,1241,0,27.84,1207,0,20,0,0,0,False,342,2365.0,27.0,False,0,24,59,False,60.0
ws_n486,Z12,17188,plane,9,2.539,8,0.17,29.78,1,1171,,1171,0,1125,1172,0,26.25,1091,0,0,0,0,0,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,wave,0,2.57,9,0.26,29.7,1,1186,,1186,0,1173,1187,0,25.63,1091,0,0,0,1,2359,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,wave,1,2.665,9,0.23,29.72,1,1266,,1266,0,1547,1267,0,28.74,1242,0,46,0,1,2813,False,494,2330.0,31.0,False,0,56,56,False,60.0
ws_n486,Z12,17188,wave,2,2.469,8,7.74,22.22,1,1131,,1131,0,926,1132,0,20.14,1091,0,0,0,1,2057,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,wave,3,2.733,9,7.7,22.25,1,1149,,1149,0,1014,1150,0,19.4,1091,0,0,0,1,2163,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,wave,4,2.615,8,7.82,22.06,1,1132,,1132,0,950,1133,0,19.75,1091,0,0,0,1,2082,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,wave,5,2.932,10,7.43,22.5,1,1157,,1157,0,1059,1158,0,19.21,1091,0,0,0,1,2216,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,wave,6,2.541,8,7.18,22.75,1,1140,,1140,0,985,1141,0,20.14,1091,0,0,0,1,2125,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,wave,7,2.562,8,6.73,23.16,1,1158,,1158,0,1065,1159,0,19.77,1091,0,0,0,1,2223,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,wave,8,2.529,8,6.98,22.98,1,1165,,1165,0,1098,1166,0,19.51,1091,0,0,0,1,2263,False,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,wave,9,2.539,8,5.22,24.68,1,1195,,1195,0,1205,1196,0,20.34,1091,0,0,0,1,2400,False,248,2371.0,27.0,False,0,42,50,False,60.0
grid_200,Z12,1590,plane,0,1.33,3,0.08,28.61,5,535|269|211|7|0,,1022,0,7978,1023,0,15.93,823,0,176,0,0,0,False,0,240.0,8.0,True,1,0,0,True,60.0
grid_200,Z12,1590,plane,1,1.43,3,0.48,26.71,5,535|269|211|7|0,,1022,0,7978,1023,0,14.34,823,0,176,0,0,0,False,0,240.0,8.0,True,0,0,0,True,60.0
grid_200,Z12,1590,plane,2,1.35,3,0.16,29.3,5,535|269|211|7|0,,1022,0,7978,1023,0,16.77,823,0,176,0,0,0,False,0,240.0,8.0,True,1,0,0,True,60.0
grid_200,Z12,1590,wave,0,1.325,3,0.09,23.88,5,535|269|211|7|0,,1022,0,6651,1023,0,13.43,823,0,176,0,5,7673,True,0,240.0,8.0,True,2,0,0,True,60.0
grid_200,Z12,1590,wave,1,1.43,3,0.08,26.03,5,535|269|211|7|0,,1022,0,6651,1023,0,14.43,823,0,176,0,5,7673,True,0,240.0,8.0,True,0,0,0,True,60.0
grid_200,Z12,1590,wave,2,1.35,3,0.06,22.13,5,535|269|211|7|0,,1022,0,6651,1023,0,11.66,823,0,176,0,5,7673,True,0,240.0,8.0,True,1,0,0,True,60.0
honeycomb_200,Z12,32393,plane,0,1.335,3,0.49,14.62,4,334|58|3|0,,395,0,6245,396,0,4.79,333,0,62,0,0,0,False,0,249.0,10.0,True,0,0,0,True,37.9
honeycomb_200,Z12,32393,plane,1,1.43,3,0.39,17.37,4,334|58|3|0,,395,0,6245,396,0,4.77,333,0,62,0,0,0,False,0,249.0,10.0,True,0,0,0,True,50.3
honeycomb_200,Z12,32393,plane,2,1.23,2,0.61,14.88,4,334|58|3|0,,395,0,6245,396,0,5.22,333,0,62,0,0,0,False,0,249.0,10.0,True,0,0,0,True,37.5
honeycomb_200,Z12,32393,wave,0,1.335,3,0.27,15.58,4,334|58|3|0,,395,0,5065,396,0,4.79,333,0,62,0,4,5460,True,0,249.0,10.0,True,0,0,0,True,42.8
honeycomb_200,Z12,32393,wave,1,1.43,3,0.39,14.84,4,334|58|3|0,,395,0,5065,396,0,5.5,333,0,62,0,4,5460,True,0,249.0,10.0,True,0,0,0,True,47.0
honeycomb_200,Z12,32393,wave,2,1.23,2,0.17,13.94,4,334|58|3|0,,395,0,5065,396,0,4.67,333,0,62,0,4,5460,True,0,249.0,10.0,True,0,0,0,True,37.3
