cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,rev_ov,rev_e,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,insreq,4,2.492,8,0.08,29.88,34,473,6,507,3,421,52,28.0,False,1,14,21,False,60.0
ws_n486,Z12,17188,insreq,5,2.605,8,0.13,29.74,34,468,6,502,3,418,50,28.0,False,0,14,21,False,60.0
ws_n486,Z12,17188,insreq,6,2.566,8,0.09,29.89,34,471,6,505,3,420,51,28.0,False,1,14,21,False,60.0
ws_n486,Z12,17188,insreq,7,2.805,9,0.08,29.79,35,475,6,510,3,423,52,28.0,False,1,14,21,False,60.0
ws_n486,Z12,17188,insreq,8,2.58,8,0.09,29.87,35,474,6,509,3,422,52,28.0,False,2,14,21,False,60.0
ws_n486,Z12,17188,insreq,9,2.551,8,0.1,29.85,35,479,6,514,3,426,53,28.0,False,0,14,21,False,60.0
ws_n486,Z12,17188,inscap,0,2.57,9,0.08,29.91,35,435,5,470,2,402,33,28.0,False,2,13,27,False,60.0
ws_n486,Z12,17188,inscap,1,2.681,9,0.1,29.9,35,434,5,469,2,401,33,28.0,False,2,13,27,False,60.0
ws_n486,Z12,17188,inscap,2,2.391,8,0.08,29.9,35,434,5,469,2,401,33,28.0,False,1,13,27,False,60.0
ws_n486,Z12,17188,inscap,3,2.595,8,0.08,29.79,35,434,5,469,2,401,33,28.0,False,0,13,27,False,60.0
ws_n486,Z12,17188,inscap,4,2.63,8,0.09,29.89,34,429,4,463,2,398,31,28.0,False,0,25,37,False,60.0
ws_n486,Z12,17188,inscap,5,2.473,7,0.08,29.92,34,433,4,467,2,400,33,28.0,False,0,25,37,False,60.0
ws_n486,Z12,17188,inscap,6,2.615,9,0.1,29.76,34,424,4,458,2,393,31,28.0,False,0,25,37,False,60.0
ws_n486,Z12,17188,inscap,7,2.506,8,0.09,29.88,34,434,4,468,2,401,33,28.0,False,0,25,37,False,60.0
ws_n486,Z12,17188,inscap,8,2.426,7,0.12,29.85,35,442,5,477,2,409,33,28.0,False,1,13,27,False,60.0
ws_n486,Z12,17188,inscap,9,2.255,7,0.2,29.78,34,431,4,465,2,398,33,28.0,False,0,25,37,False,60.0
ws_n486,Z12,17188,reqL4,0,2.636,9,0.08,29.84,25,476,2,501,3,410,66,27.0,False,2,16,25,False,60.1
ws_n486,Z12,17188,reqL4,1,2.475,7,0.08,29.9,25,486,2,511,3,420,66,27.0,False,1,16,25,False,60.0
ws_n486,Z12,17188,reqL4,2,2.704,9,0.08,29.91,25,480,2,505,3,414,66,27.0,False,2,16,25,False,60.0
ws_n486,Z12,17188,reqL4,3,2.512,8,0.1,29.87,25,477,2,502,3,411,66,27.0,False,1,16,25,False,60.0
ws_n486,Z12,17188,reqL4,4,2.632,9,0.08,29.89,25,486,2,511,3,420,66,27.0,False,1,16,25,False,60.0
ws_n486,Z12,17188,reqL4,5,2.64,8,0.11,29.87,25,483,2,508,3,417,66,27.0,False,0,16,25,False,60.0
ws_n486,Z12,17188,reqL4,6,2.784,9,0.08,29.87,25,472,2,497,3,406,66,27.0,False,2,16,25,False,60.0
ws_n486,Z12,17188,reqL4,7,2.459,8,0.08,29.88,25,471,2,496,3,405,66,27.0,False,0,16,25,False,60.0
ws_n486,Z12,17188,reqL4,8,2.588,8,0.12,29.94,25,486,2,511,3,420,66,27.0,False,0,16,25,False,60.0
ws_n486,Z12,17188,reqL4,9,2.617,8,0.08,29.89,25,483,2,508,3,417,66,27.0,False,1,16,25,False,60.0
grid_200,Z12,1590,default,0,1.055,2,0.05,8.89,16,502,2,518,29,253,250,3.0,False,0,12,24,False,23.3
grid_200,Z12,1590,default,1,1.02,2,0.07,8.81,16,502,2,518,29,253,250,3.0,False,0,12,24,False,23.3
grid_200,Z12,1590,default,2,1.02,2,0.05,8.81,16,502,2,518,29,253,250,3.0,False,0,12,24,False,22.4
grid_200,Z12,1590,ins,0,1.055,2,0.06,8.83,16,502,2,518,29,254,249,3.0,False,0,12,24,False,23.1
grid_200,Z12,1590,ins,1,1.02,2,0.05,8.81,16,502,2,518,29,254,249,3.0,False,0,12,24,False,23.3
grid_200,Z12,1590,ins,2,1.02,2,0.05,8.88,16,502,2,518,29,254,249,3.0,False,0,12,24,False,22.7
grid_200,Z12,1590,insreq,0,1.055,2,0.05,10.01,16,502,2,518,29,254,249,3.0,False,0,12,24,False,24.8
grid_200,Z12,1590,insreq,1,1.02,2,0.05,10.06,16,502,2,518,29,254,249,3.0,False,0,12,24,False,24.7
grid_200,Z12,1590,insreq,2,1.02,2,0.05,9.87,16,502,2,518,29,254,249,3.0,False,0,12,24,False,24.0
grid_200,Z12,1590,inscap,0,1.055,2,0.05,10.84,16,502,2,518,29,254,249,3.0,False,0,12,24,False,25.4
grid_200,Z12,1590,inscap,1,1.02,2,0.05,10.89,16,502,2,518,29,254,249,3.0,False,0,12,24,False,25.5
grid_200,Z12,1590,inscap,2,1.02,2,0.05,10.79,16,502,2,518,29,254,249,3.0,False,0,12,24,False,24.6
grid_200,Z12,1590,reqL4,0,1.025,2,0.06,7.12,13,347,1,360,13,177,171,4.0,False,0,15,32,False,20.0
grid_200,Z12,1590,reqL4,1,1.02,2,0.05,7.18,13,347,1,360,13,177,171,4.0,False,0,15,32,False,17.9
grid_200,Z12,1590,reqL4,2,1.03,2,0.06,7.22,13,347,1,360,13,177,171,4.0,False,0,15,32,False,22.9
honeycomb_200,Z12,32393,default,0,1.06,2,0.02,13.59,10,749,0,759,31,533,217,9.0,False,0,21,35,False,30.9
honeycomb_200,Z12,32393,default,1,1.04,2,0.04,13.48,10,749,0,759,31,533,217,9.0,False,0,21,35,False,28.3
honeycomb_200,Z12,32393,default,2,1.08,2,0.02,13.37,10,749,0,759,31,533,217,9.0,False,0,21,35,False,31.9
honeycomb_200,Z12,32393,ins,0,1.06,2,0.04,13.73,10,749,0,759,31,532,218,9.0,False,0,21,35,False,31.2
honeycomb_200,Z12,32393,ins,1,1.04,2,0.04,13.47,10,749,0,759,31,532,218,9.0,False,0,21,35,False,28.0
honeycomb_200,Z12,32393,ins,2,1.08,2,0.02,13.42,10,749,0,759,31,532,218,9.0,False,0,21,35,False,32.3
honeycomb_200,Z12,32393,insreq,0,1.06,2,0.03,15.09,10,749,0,759,31,532,218,9.0,False,0,21,35,False,31.7
honeycomb_200,Z12,32393,insreq,1,1.04,2,0.02,14.92,10,749,0,759,31,532,218,9.0,False,0,21,35,False,29.6
honeycomb_200,Z12,32393,insreq,2,1.08,2,0.02,15.08,10,749,0,759,31,532,218,9.0,False,0,21,35,False,34.0
honeycomb_200,Z12,32393,inscap,0,1.06,2,0.09,15.88,10,749,0,759,31,532,218,9.0,False,0,21,35,False,32.5
honeycomb_200,Z12,32393,inscap,1,1.04,2,0.05,15.83,10,749,0,759,31,532,218,9.0,False,0,21,35,False,30.6
honeycomb_200,Z12,32393,inscap,2,1.08,2,0.22,15.49,10,749,0,759,31,532,218,9.0,False,0,21,35,False,34.2
honeycomb_200,Z12,32393,reqL4,0,1.105,2,0.34,13.28,21,671,3,692,25,418,254,9.0,False,0,18,36,False,33.7
honeycomb_200,Z12,32393,reqL4,1,1.145,2,0.01,13.37,21,671,3,692,25,418,254,9.0,False,0,18,36,False,35.4
honeycomb_200,Z12,32393,reqL4,2,1.11,2,0.01,13.43,21,671,3,692,25,418,254,9.0,False,0,18,36,False,33.1
king_graph_196,Z12,32622,default,0,1.439,2,0.02,15.69,24,817,6,841,28,583,235,7.0,False,1,8,17,False,60.0
king_graph_196,Z12,32622,default,1,1.592,3,0.02,15.45,24,817,6,841,28,583,235,7.0,False,2,8,17,False,60.0
king_graph_196,Z12,32622,default,2,1.633,3,0.02,15.47,24,817,6,841,28,583,235,7.0,False,0,8,17,False,60.0
king_graph_196,Z12,32622,ins,0,1.439,2,0.02,15.5,24,817,6,841,28,583,235,7.0,False,1,8,17,False,60.0
king_graph_196,Z12,32622,ins,1,1.592,3,0.02,15.33,24,817,6,841,28,583,235,7.0,False,2,8,17,False,60.0
king_graph_196,Z12,32622,ins,2,1.633,3,0.02,15.44,24,817,6,841,28,583,235,7.0,False,0,8,17,False,60.0
