cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,seat_acc,trans_acc,passes,fmiss,traj,pen,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,lex,9,2.558,10,3.57,26.19,0,264,4,0,263|81|42|17,0.0,27.0,False,0,17,23,False,60.1
grid_200,Z12,1590,default,0,1.055,2,0.06,17.71,,,,,,,3.0,False,0,12,24,False,49.9
grid_200,Z12,1590,default,1,1.02,2,0.08,17.01,,,,,,,3.0,False,0,12,24,False,56.5
grid_200,Z12,1590,default,2,1.02,2,0.08,14.66,,,,,,,3.0,False,0,12,24,False,50.3
grid_200,Z12,1590,seats,0,1.12,2,0.08,24.34,26,9,9,158,42|15|7|1|0|25|8|1|0,2.0,5.0,False,0,5,27,False,60.1
grid_200,Z12,1590,seats,1,1.09,2,0.24,22.69,26,9,9,158,42|15|7|1|0|25|8|1|0,2.0,5.0,False,0,5,27,False,60.1
grid_200,Z12,1590,seats,2,1.12,2,0.08,20.81,26,9,9,158,42|15|7|1|0|25|8|1|0,2.0,5.0,False,0,5,27,False,60.0
grid_200,Z12,1590,lex,0,1.165,2,0.08,20.85,38,27,8,206,65|19|6|2|0|51|3|0,0.0,7.0,False,0,5,14,False,60.0
grid_200,Z12,1590,lex,1,1.215,3,0.1,16.27,38,27,8,206,65|19|6|2|0|51|3|0,0.0,7.0,False,3,5,14,False,60.1
grid_200,Z12,1590,lex,2,1.18,2,0.1,16.46,38,27,8,206,65|19|6|2|0|51|3|0,0.0,7.0,False,0,5,14,False,60.0
honeycomb_200,Z12,32393,default,0,1.06,2,0.39,22.23,,,,,,,9.0,False,0,21,35,False,60.1
honeycomb_200,Z12,32393,default,1,1.04,2,0.61,22.82,,,,,,,9.0,False,0,21,35,False,60.0
honeycomb_200,Z12,32393,default,2,1.08,2,0.49,17.91,,,,,,,9.0,False,0,21,35,False,60.1
honeycomb_200,Z12,32393,seats,0,1.09,2,0.2,12.58,30,10,6,225,35|3|0|31|4|0,0.0,6.0,False,0,10,30,False,55.6
honeycomb_200,Z12,32393,seats,1,1.115,2,0.25,12.62,30,10,6,225,35|3|0|31|4|0,0.0,6.0,False,0,10,30,False,60.0
honeycomb_200,Z12,32393,seats,2,1.115,2,0.22,11.47,30,10,6,225,35|3|0|31|4|0,0.0,6.0,False,0,10,30,False,60.0
honeycomb_200,Z12,32393,lex,0,1.135,2,0.28,16.09,42,59,8,235,71|29|4|1|0|39|7|0,0.0,7.0,False,0,7,13,False,60.0
honeycomb_200,Z12,32393,lex,1,1.095,2,0.24,16.45,42,59,8,235,71|29|4|1|0|39|7|0,0.0,7.0,False,0,7,13,False,60.0
honeycomb_200,Z12,32393,lex,2,1.155,2,0.25,14.77,42,59,8,235,71|29|4|1|0|39|7|0,0.0,7.0,False,0,7,13,False,60.0
king_graph_196,Z12,32622,default,0,1.444,2,0.08,26.98,,,,,,,7.0,False,0,8,17,False,60.1
king_graph_196,Z12,32622,default,1,1.597,3,0.03,26.08,,,,,,,7.0,False,1,8,17,False,60.1
king_graph_196,Z12,32622,default,2,1.633,3,0.03,27.22,,,,,,,7.0,False,0,8,17,False,60.3
king_graph_196,Z12,32622,seats,0,1.454,2,0.03,25.18,61,17,9,169,47|12|2|0|60|19|5|7|0,1.0,6.0,True,0,0,3,False,60.0
king_graph_196,Z12,32622,seats,1,1.5,3,0.03,26.89,61,17,9,169,47|12|2|0|60|19|5|7|0,1.0,6.0,True,0,0,3,False,60.0
king_graph_196,Z12,32622,seats,2,1.51,3,0.03,24.95,61,17,9,169,47|12|2|0|60|19|5|7|0,1.0,6.0,True,1,0,3,False,60.1
king_graph_196,Z12,32622,lex,0,1.628,3,0.04,23.76,46,58,9,162,89|32|18|2|0|58|12|7|0,0.0,9.0,False,0,3,9,False,60.0
king_graph_196,Z12,32622,lex,1,1.474,2,0.03,27.05,46,58,9,162,89|32|18|2|0|58|12|7|0,0.0,9.0,False,0,3,9,False,60.0
king_graph_196,Z12,32622,lex,2,1.536,3,0.04,25.07,46,58,9,162,89|32|18|2|0|58|12|7|0,0.0,9.0,False,3,3,9,False,60.1
K100,P16,,default,0,11.63,16,0.0,4.02,,,,,,,15.0,,0,,,,64.0
K100,P16,,default,1,12.14,16,0.01,4.87,,,,,,,15.0,,0,,,,60.7
K100,P16,,default,2,11.7,17,0.0,4.17,,,,,,,15.0,,0,,,,51.7
K100,P16,,seats,0,11.66,18,0.0,19.46,5,0,5,16,2|0|1|4|0,3.0,15.0,,0,,,,63.8
K100,P16,,seats,1,11.43,17,0.01,20.48,5,0,5,16,2|0|1|4|0,3.0,15.0,,0,,,,61.9
K100,P16,,seats,2,12.16,16,0.0,22.57,5,0,5,16,2|0|1|4|0,3.0,15.0,,0,,,,61.7
K100,P16,,lex,0,11.6,16,0.0,12.47,0,0,3,0,1|0|0,0.0,15.0,,0,,,,62.5
K100,P16,,lex,1,11.57,16,0.0,11.0,0,0,3,0,1|0|0,0.0,15.0,,0,,,,61.5
K100,P16,,lex,2,11.69,18,0.0,12.39,0,0,3,0,1|0|0,0.0,15.0,,0,,,,63.3
turan_n162,P16,2647,default,0,7.815,8,0.12,12.14,,,,,,,14.0,,0,,,,61.8
turan_n162,P16,2647,default,1,7.654,8,0.13,10.5,,,,,,,14.0,,0,,,,60.6
turan_n162,P16,2647,default,2,7.815,8,0.13,11.08,,,,,,,14.0,,0,,,,63.6
turan_n162,P16,2647,seats,0,22.685,57,0.08,32.37,0,17,5,0,23|7|6|0|2,0.0,16.0,,0,,,,61.7
turan_n162,P16,2647,seats,1,,,,,,,,,,,,,,,,,66.7
turan_n162,P16,2647,seats,2,26.506,57,0.18,30.99,0,17,5,0,23|7|6|0|2,0.0,16.0,,0,,,,61.5
turan_n162,P16,2647,lex,0,14.204,31,0.18,29.72,104,21,5,50,25|4|1|0|104,0.0,15.0,,0,,,,64.3
turan_n162,P16,2647,lex,1,21.759,57,0.39,29.44,104,21,5,50,25|4|1|0|104,0.0,15.0,,0,,,,61.2
turan_n162,P16,2647,lex,2,21.278,50,0.22,29.22,104,21,5,50,25|4|1|0|104,0.0,15.0,,0,,,,62.7
ws_n486,P16,17188,default,0,3.119,11,0.2,29.7,,,,,,,12.0,,0,,,,60.0
ws_n486,P16,17188,default,1,3.171,10,0.15,29.75,,,,,,,12.0,,0,,,,60.0
ws_n486,P16,17188,default,2,3.165,12,0.14,29.82,,,,,,,12.0,,0,,,,60.0
ws_n486,P16,17188,seats,0,3.193,12,0.13,29.84,0,157,4,0,183|37|33|4,17.0,13.0,,0,,,,60.0
ws_n486,P16,17188,seats,1,2.971,11,0.48,29.49,0,183,5,0,198|59|27|20|4,12.0,13.0,,0,,,,60.0
ws_n486,P16,17188,seats,2,3.311,11,0.12,29.85,0,157,5,0,183|37|33|4|0,17.0,13.0,,0,,,,60.0
ws_n486,P16,17188,lex,0,3.352,13,0.12,29.84,0,239,5,0,265|62|26|20|3,0.0,15.0,,0,,,,60.0
ws_n486,P16,17188,lex,1,3.218,12,0.12,29.84,0,217,5,0,258|62|13|2|0,0.0,17.0,,0,,,,60.1
ws_n486,P16,17188,lex,2,3.296,13,0.08,29.88,0,217,5,0,258|62|13|2|0,0.0,17.0,,0,,,,60.0
