cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
turan_n162,Z12,2647,random,2,8.852,12,0.0,29.94,1,203,,203,0,3727,204,0,14.43,204,0,0,0,1,0,2490.0,29.0,True,0,0,0,True,64.4
turan_n162,Z12,2647,random,3,8.117,10,0.0,29.9,1,191,,191,0,5324,192,0,6.94,192,0,4,0,1,0,2283.0,31.0,True,0,0,0,True,65.1
turan_n162,Z12,2647,random,4,9.438,11,0.0,29.92,1,228,,228,0,1658,229,0,10.69,207,0,2,0,1,0,2610.0,36.0,True,0,0,0,True,63.4
turan_n162,Z12,2647,random,5,9.278,12,0.0,29.93,1,230,,230,0,6839,231,0,7.0,230,0,8,0,1,0,2596.0,32.0,True,0,0,0,True,65.8
turan_n162,Z12,2647,random,6,9.463,13,0.0,29.71,1,222,,222,0,3817,223,0,14.06,222,0,4,0,1,0,2641.0,32.0,True,0,0,0,True,63.2
turan_n162,Z12,2647,random,7,9.765,13,0.0,29.94,1,210,,210,0,5205,211,0,11.77,211,0,14,0,1,0,2725.0,32.0,True,0,0,0,True,63.9
turan_n162,Z12,2647,random,8,9.901,12,0.0,29.86,1,168,,168,0,2882,169,0,8.67,169,0,0,0,1,0,2760.0,32.0,True,0,0,0,True,63.7
turan_n162,Z12,2647,random,9,9.648,12,0.0,29.89,1,228,,228,0,4793,229,0,19.73,229,0,8,0,1,0,2684.0,37.0,True,0,0,0,True,61.9
turan_n162,Z12,2647,trivial-shuf,0,10.963,12,0.0,29.94,1,38,,38,0,4076,39,0,1.23,23,0,0,0,1,0,3039.0,39.0,True,0,0,0,True,63.9
turan_n162,Z12,2647,trivial-shuf,1,10.963,12,0.0,29.93,1,38,,38,0,6090,39,0,0.63,23,0,0,0,1,0,3039.0,39.0,True,0,0,0,True,61.4
turan_n162,Z12,2647,trivial-shuf,2,10.963,12,0.0,29.94,1,38,,38,0,4933,39,0,0.71,23,0,0,0,1,0,3039.0,39.0,True,0,0,0,True,62.8
turan_n162,Z12,2647,landmark-shuf,0,6.0,6,0.0,29.93,1,37,,37,0,5723,38,0,2.16,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,62.6
turan_n162,Z12,2647,landmark-shuf,1,6.0,6,0.0,29.89,1,37,,37,0,5758,38,0,3.21,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,60.7
turan_n162,Z12,2647,landmark-shuf,2,6.0,6,0.0,29.88,1,37,,37,0,5470,38,0,3.29,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,63.3
spin_glass_n163,Z12,37309,spectral,0,10.853,12,1.34,28.52,1,346,,346,0,4615,347,0,11.42,334,0,57,0,1,0,3055.0,33.0,True,0,0,0,True,60.1
spin_glass_n163,Z12,37309,spectral,1,10.853,12,1.26,28.67,1,347,,347,0,5368,348,0,12.14,334,0,58,0,1,0,3055.0,33.0,True,0,0,0,True,60.1
