cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,time
ws_n486,Z12,17188,fold,6,2.646,9,0.55,29.4,22,454,11,1,0,1,34.0,False,0,60.0
ws_n486,Z12,17188,fold,7,2.809,10,0.25,29.71,22,462,11,1,0,1,34.0,False,1,60.0
ws_n486,Z12,17188,fold,8,2.772,9,0.19,29.75,23,484,12,1,0,1,34.0,False,0,60.0
ws_n486,Z12,17188,fold,9,2.772,9,0.13,29.79,22,467,11,1,0,1,34.0,False,0,60.0
ws_n486,Z12,17188,strain,0,2.817,9,3.11,26.85,9,356,4,1,1,0,33.0,False,1,60.0
ws_n486,Z12,17188,strain,1,2.914,10,2.9,26.98,9,352,4,1,1,0,33.0,False,0,60.0
ws_n486,Z12,17188,strain,2,2.663,9,0.15,29.76,9,366,4,1,1,0,33.0,False,0,60.0
ws_n486,Z12,17188,strain,3,2.593,8,0.29,29.69,9,373,4,1,1,0,33.0,False,1,60.0
ws_n486,Z12,17188,strain,4,2.778,9,0.18,29.74,9,371,4,1,1,0,33.0,False,1,60.0
ws_n486,Z12,17188,strain,5,3.352,12,0.49,29.43,9,368,4,1,1,0,33.0,False,0,60.0
ws_n486,Z12,17188,strain,6,3.016,10,0.14,29.72,11,380,6,1,1,0,33.0,False,0,60.0
ws_n486,Z12,17188,strain,7,2.621,9,1.95,28.02,9,353,4,1,1,0,33.0,False,0,60.0
ws_n486,Z12,17188,strain,8,2.967,10,1.91,28.01,9,343,4,1,1,0,33.0,False,0,60.0
ws_n486,Z12,17188,strain,9,2.695,9,0.44,28.49,9,360,4,1,1,0,33.0,False,0,60.0
grid_200,Z12,1590,default,0,1.09,2,0.07,6.06,14,278,0,0,0,0,7.0,False,0,34.0
grid_200,Z12,1590,default,1,1.145,2,0.15,6.22,14,278,0,0,0,0,7.0,False,0,38.9
grid_200,Z12,1590,default,2,1.13,2,0.08,6.09,14,278,0,0,0,0,7.0,False,0,37.3
grid_200,Z12,1590,orient,0,1.03,2,0.07,6.17,8,274,1,0,0,0,3.0,False,0,23.7
grid_200,Z12,1590,orient,1,1.03,2,0.06,6.2,8,274,1,0,0,0,3.0,False,0,23.8
grid_200,Z12,1590,orient,2,1.035,2,0.07,6.3,8,274,1,0,0,0,3.0,False,0,23.3
grid_200,Z12,1590,fold,0,1.03,2,0.06,6.35,8,274,1,4,0,4,3.0,False,0,24.2
grid_200,Z12,1590,fold,1,1.03,2,0.07,6.4,8,274,1,4,0,4,3.0,False,0,24.7
grid_200,Z12,1590,fold,2,1.035,2,0.06,6.36,8,274,1,4,0,4,3.0,False,0,23.3
grid_200,Z12,1590,strain,0,1.065,2,0.06,5.02,9,193,3,5,0,5,2.0,False,0,26.3
grid_200,Z12,1590,strain,1,1.045,2,0.06,5.1,9,193,3,5,0,5,2.0,False,0,25.8
grid_200,Z12,1590,strain,2,1.04,2,0.06,5.07,9,193,3,5,0,5,2.0,False,0,24.5
honeycomb_200,Z12,32393,default,0,1.085,2,0.07,3.52,10,102,0,0,0,0,7.0,False,0,25.0
honeycomb_200,Z12,32393,default,1,1.09,2,0.04,3.9,10,102,0,0,0,0,7.0,False,0,29.1
honeycomb_200,Z12,32393,default,2,1.095,2,0.79,3.36,10,102,0,0,0,0,7.0,False,0,28.9
honeycomb_200,Z12,32393,orient,0,1.055,2,0.74,2.92,7,96,2,0,0,0,8.0,False,0,22.6
honeycomb_200,Z12,32393,orient,1,1.09,2,0.26,3.07,7,96,2,0,0,0,8.0,False,0,28.8
honeycomb_200,Z12,32393,orient,2,1.085,2,0.36,3.31,7,96,2,0,0,0,8.0,False,0,24.7
