cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,plane,6,2.486,8,13.46,16.45,1,355,,355,0,23,359,0,0.2,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.0
ws_n486,Z12,17188,plane,7,3.091,9,12.75,17.16,1,429,,429,0,40,433,0,0.18,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.9
ws_n486,Z12,17188,plane,8,2.584,8,14.39,15.81,1,461,,461,0,49,465,0,0.09,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.2
ws_n486,Z12,17188,plane,9,2.628,8,12.58,17.03,1,450,,450,0,48,454,0,0.53,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.4
ws_n486,Z12,17188,carry,0,2.49,8,16.23,13.57,1,510,,510,0,77,511,0,11.5,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.4
ws_n486,Z12,17188,carry,1,2.494,8,15.88,14.02,1,588,,588,0,147,589,0,13.66,576,0,0,0,1,191,2505.0,25.0,False,0,29,43,False,60.4
ws_n486,Z12,17188,carry,2,2.537,9,12.79,16.21,1,445,,445,0,71,446,0,15.36,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.0
ws_n486,Z12,17188,carry,3,2.626,9,11.61,15.92,1,485,,485,0,77,486,0,13.67,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.4
ws_n486,Z12,17188,carry,4,2.588,8,12.88,16.75,1,586,,586,0,145,587,0,16.44,576,0,0,0,1,191,2505.0,25.0,False,0,29,43,False,60.1
ws_n486,Z12,17188,carry,5,2.512,9,15.23,14.17,1,433,,433,0,69,434,0,13.55,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.2
ws_n486,Z12,17188,carry,6,2.681,9,14.09,15.83,1,439,,439,0,71,440,0,15.13,414,0,0,0,1,223,2578.0,25.0,False,0,41,52,False,60.5
ws_n486,Z12,17188,carry,7,2.628,9,9.65,18.71,1,620,,620,0,175,621,0,16.4,576,0,0,0,1,191,2505.0,25.0,False,0,29,43,False,60.8
ws_n486,Z12,17188,carry,8,2.484,8,6.12,23.53,1,720,,720,0,262,721,0,21.67,673,0,0,0,1,201,2466.0,34.0,False,0,25,46,False,60.7
ws_n486,Z12,17188,carry,9,2.568,9,1.17,28.9,1,1059,,1059,0,616,1060,0,27.27,1049,0,0,0,1,293,2403.0,30.0,False,0,27,41,False,60.0
ws_n486,Z12,17188,carry-tile,0,2.412,7,1.04,28.88,1,535,,535,0,25,536,0,28.63,529,0,0,286,1,181,2657.0,25.0,False,0,30,41,False,60.1
ws_n486,Z12,17188,carry-tile,1,2.504,7,0.97,28.94,1,616,,616,0,42,617,0,26.46,541,0,0,286,1,203,2644.0,24.0,False,0,43,43,False,60.0
ws_n486,Z12,17188,carry-tile,2,2.531,8,1.36,28.54,1,571,,571,0,33,572,0,27.58,541,0,0,286,1,203,2644.0,24.0,False,0,43,43,False,60.0
ws_n486,Z12,17188,carry-tile,3,2.712,8,3.01,26.89,1,693,,693,0,59,694,0,22.99,541,0,0,286,1,203,2644.0,24.0,False,0,43,43,False,60.1
ws_n486,Z12,17188,carry-tile,4,2.687,8,3.04,26.79,1,727,,727,0,63,728,0,21.98,541,0,0,286,1,203,2644.0,24.0,False,0,43,43,False,60.1
ws_n486,Z12,17188,carry-tile,5,2.648,9,7.62,22.08,1,867,,867,0,117,868,0,13.0,541,0,0,286,1,203,2644.0,24.0,False,2,43,43,False,60.0
ws_n486,Z12,17188,carry-tile,6,2.623,9,5.3,24.59,1,791,,791,0,70,792,0,20.55,541,0,0,286,1,203,2644.0,24.0,False,0,43,43,False,60.0
ws_n486,Z12,17188,carry-tile,7,2.595,8,9.12,20.56,1,736,,736,0,64,737,0,15.81,541,0,0,286,1,203,2644.0,24.0,False,0,43,43,False,60.0
ws_n486,Z12,17188,carry-tile,8,2.718,9,10.8,19.09,1,637,,637,0,49,638,0,17.14,541,0,0,286,1,203,2644.0,24.0,False,0,43,43,False,60.1
ws_n486,Z12,17188,carry-tile,9,2.424,7,14.4,15.51,1,606,,606,0,39,607,0,13.6,541,0,0,286,1,203,2644.0,24.0,False,0,43,43,False,60.1
ws_n486,Z12,17188,carry-tile-settle,0,2.724,10,14.97,14.96,1,733,,733,0,63,734,0,11.37,541,0,0,286,4,170,2644.0,24.0,False,0,23,41,False,60.0
ws_n486,Z12,17188,carry-tile-settle,1,2.57,8,11.09,18.92,1,839,,839,0,98,840,0,11.41,541,0,0,286,4,170,2644.0,24.0,False,1,23,41,False,60.0
ws_n486,Z12,17188,carry-tile-settle,2,2.663,9,11.85,18.03,1,825,,825,0,92,826,0,12.47,541,0,0,286,4,170,2644.0,24.0,False,0,23,41,False,60.0
ws_n486,Z12,17188,carry-tile-settle,3,2.609,8,12.1,17.85,1,917,,917,0,151,918,0,10.1,541,0,0,286,4,170,2644.0,24.0,False,0,23,41,False,60.0
ws_n486,Z12,17188,carry-tile-settle,4,2.986,10,11.57,17.85,1,718,,718,0,62,719,0,12.56,541,0,0,286,4,170,2644.0,24.0,False,0,23,41,False,60.0
ws_n486,Z12,17188,carry-tile-settle,5,2.56,9,12.45,17.48,1,844,,844,0,103,845,0,11.93,541,0,0,286,4,170,2644.0,24.0,False,0,23,41,False,60.1
ws_n486,Z12,17188,carry-tile-settle,6,2.623,9,11.44,18.1,1,812,,812,0,84,813,0,11.23,541,0,0,286,4,170,2644.0,24.0,False,0,23,41,False,60.3
