cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,seat_acc,trans_acc,passes,fmiss,traj,pen,int_acc,int_dec,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
spin_glass_n163,Z12,37309,lex,0,11.104,13,1.36,28.4,6,0,3,3,14|0|106,0.0,0,0,30.0,True,0,0,1,False,61.2
spin_glass_n163,Z12,37309,lex,1,10.945,13,1.12,28.2,0,0,3,0,14|0|100,0.0,0,0,30.0,True,0,0,0,True,60.3
spin_glass_n163,Z12,37309,lex,2,11.092,13,1.11,28.67,2,0,3,2,14|0|102,0.0,0,0,30.0,True,0,0,0,True,60.5
spin_glass_n163,Z12,37309,lexint,0,11.117,12,1.02,28.78,0,0,3,0,24|4|0,0.0,28,1085,37.0,True,0,0,0,True,63.9
spin_glass_n163,Z12,37309,lexint,1,11.117,12,2.39,27.41,0,0,3,0,24|4|0,0.0,28,980,37.0,True,0,0,0,True,65.7
spin_glass_n163,Z12,37309,lexint,2,11.117,12,1.5,27.58,0,0,3,0,24|4|0,0.0,28,1085,37.0,True,0,0,0,True,65.2
regular_n316,Z12,13096,default,0,2.725,6,1.98,27.93,,,,,,,,,16.0,False,0,13,16,False,60.3
regular_n316,Z12,13096,default,1,2.75,6,1.55,28.32,,,,,,,,,16.0,False,0,13,16,False,60.1
regular_n316,Z12,13096,default,2,2.867,7,0.68,29.25,,,,,,,,,16.0,False,0,13,16,False,60.3
regular_n316,Z12,13096,seats,0,2.801,7,0.65,29.33,0,104,4,0,104|30|15|3,23.0,0,0,18.0,False,0,24,24,False,60.1
regular_n316,Z12,13096,seats,1,2.636,6,4.96,25.0,0,108,5,0,104|30|15|7|0,25.0,0,0,18.0,False,0,15,21,False,60.1
regular_n316,Z12,13096,seats,2,2.845,7,6.29,23.6,0,108,5,0,104|30|15|7|0,25.0,0,0,18.0,False,0,15,21,False,60.6
regular_n316,Z12,13096,seatsint,0,2.921,7,5.16,24.53,0,90,3,0,127|52|10,6.0,99,2168,22.0,False,0,15,22,False,60.0
regular_n316,Z12,13096,seatsint,1,2.911,7,4.39,25.5,0,90,3,0,127|52|10,6.0,99,2168,22.0,False,0,15,22,False,60.2
regular_n316,Z12,13096,seatsint,2,2.867,7,3.47,25.97,0,90,3,0,127|52|10,6.0,99,2168,22.0,False,0,15,22,False,60.2
regular_n316,Z12,13096,lex,0,2.703,6,0.68,29.29,18,119,7,25,134|43|14|6|4|0|41,0.0,0,0,19.0,False,0,9,11,False,60.0
regular_n316,Z12,13096,lex,1,2.997,7,0.65,29.3,0,108,3,0,134|43|10,0.0,0,0,19.0,False,0,6,11,False,60.1
regular_n316,Z12,13096,lex,2,2.696,8,1.42,28.49,0,112,3,0,134|43|14,0.0,0,0,19.0,False,1,9,11,False,60.1
regular_n316,Z12,13096,lexint,0,2.782,7,0.64,29.3,0,70,2,0,120|25,0.0,75,1446,20.0,False,0,20,19,False,60.0
regular_n316,Z12,13096,lexint,1,2.886,7,1.55,28.41,0,76,2,0,120|31,0.0,75,1446,20.0,False,0,9,13,False,60.2
regular_n316,Z12,13096,lexint,2,2.896,7,1.68,28.28,0,70,2,0,120|25,0.0,75,1446,20.0,False,0,20,19,False,60.0
ws_n486,Z12,17188,default,0,2.654,8,2.89,26.92,,,,,,,,,27.0,False,0,22,28,False,60.5
ws_n486,Z12,17188,default,1,2.628,10,2.09,27.9,,,,,,,,,27.0,False,1,13,21,False,60.0
ws_n486,Z12,17188,default,2,2.372,7,2.99,26.98,,,,,,,,,27.0,False,0,17,23,False,60.5
ws_n486,Z12,17188,default,3,2.599,9,2.47,26.72,,,,,,,,,27.0,False,0,13,21,False,60.1
ws_n486,Z12,17188,default,4,2.735,9,7.25,22.23,,,,,,,,,27.0,False,0,22,28,False,60.2
ws_n486,Z12,17188,default,5,2.611,8,3.18,26.73,,,,,,,,,27.0,False,2,13,21,False,60.4
ws_n486,Z12,17188,default,6,2.403,7,8.1,21.82,,,,,,,,,27.0,False,0,22,28,False,60.9
ws_n486,Z12,17188,default,7,2.691,9,8.79,20.79,,,,,,,,,27.0,False,0,13,21,False,60.3
ws_n486,Z12,17188,default,8,2.508,8,8.83,19.63,,,,,,,,,27.0,False,0,13,21,False,60.1
ws_n486,Z12,17188,default,9,2.447,7,11.22,18.17,,,,,,,,,27.0,False,0,13,21,False,60.2
ws_n486,Z12,17188,seats,0,2.755,9,6.11,22.69,0,201,3,0,236|92|15,38.0,0,0,27.0,False,0,20,33,False,61.0
ws_n486,Z12,17188,seats,1,2.749,9,8.94,20.74,0,200,3,0,236|92|10,38.0,0,0,30.0,False,0,23,26,False,60.1
ws_n486,Z12,17188,seats,2,2.455,8,6.61,21.94,0,203,3,0,236|92|17,38.0,0,0,28.0,False,1,23,24,False,60.0
ws_n486,Z12,17188,seats,3,2.87,10,10.4,19.45,0,200,3,0,236|92|14,38.0,0,0,28.0,False,0,17,25,False,60.5
ws_n486,Z12,17188,seats,4,2.683,9,10.14,19.56,0,155,2,0,236|47,40.0,0,0,31.0,False,0,21,30,False,60.5
ws_n486,Z12,17188,seats,5,2.591,8,8.67,21.1,0,158,2,0,236|50,43.0,0,0,29.0,False,0,28,32,False,60.2
ws_n486,Z12,17188,seats,6,2.626,9,7.68,21.41,0,200,3,0,236|92|13,37.0,0,0,29.0,False,1,15,29,False,60.1
ws_n486,Z12,17188,seats,7,2.726,8,6.63,20.96,0,200,3,0,236|92|0,40.0,0,0,26.0,False,0,23,29,False,60.4
ws_n486,Z12,17188,seats,8,2.521,8,2.98,25.56,0,240,4,0,236|92|54|10,34.0,0,0,28.0,False,0,19,26,False,61.3
ws_n486,Z12,17188,seats,9,2.658,8,2.91,27.04,0,5,1,0,98,38.0,0,0,32.0,False,0,6,24,False,60.0
ws_n486,Z12,17188,seatsint,0,2.541,8,1.77,28.2,0,0,1,0,134,33.0,134,805,31.0,False,1,21,35,False,60.0
ws_n486,Z12,17188,seatsint,1,2.535,9,3.11,26.57,0,0,1,0,127,35.0,127,637,31.0,False,0,28,40,False,60.0
ws_n486,Z12,17188,seatsint,2,2.543,8,5.96,24.01,0,0,1,0,132,33.0,132,718,31.0,False,0,19,34,False,60.0
ws_n486,Z12,17188,seatsint,3,2.537,8,5.14,25.17,0,0,1,0,127,35.0,127,637,31.0,False,1,28,40,False,60.0
ws_n486,Z12,17188,seatsint,4,2.599,8,8.51,20.9,0,0,1,0,123,37.0,123,598,31.0,False,0,20,29,False,60.1
ws_n486,Z12,17188,seatsint,5,2.642,8,8.37,20.14,0,0,1,0,135,33.0,135,844,32.0,False,0,18,28,False,60.2
ws_n486,Z12,17188,seatsint,6,2.652,9,10.54,19.43,0,0,1,0,134,33.0,134,819,31.0,False,2,21,35,False,60.2
ws_n486,Z12,17188,seatsint,7,2.385,7,12.01,17.8,0,0,1,0,135,33.0,135,850,32.0,False,0,18,28,False,60.2
ws_n486,Z12,17188,seatsint,8,2.481,8,14.82,14.07,0,0,1,0,135,33.0,135,827,32.0,False,0,18,28,False,60.1
ws_n486,Z12,17188,seatsint,9,2.586,8,10.6,18.98,0,0,1,0,136,33.0,136,875,32.0,False,0,18,30,False,60.1
ws_n486,Z12,17188,lex,0,2.724,9,10.86,18.86,0,180,2,0,263|38,0.0,0,0,25.0,False,0,16,21,False,60.0
ws_n486,Z12,17188,lex,1,2.595,8,9.61,20.37,0,178,2,0,263|5,0.0,0,0,25.0,False,0,12,17,False,60.1
ws_n486,Z12,17188,lex,2,2.687,8,11.98,17.18,0,192,2,0,263|50,0.0,0,0,26.0,False,1,21,27,False,60.0
ws_n486,Z12,17188,lex,3,2.366,7,14.63,15.1,0,185,2,0,263|43,0.0,0,0,24.0,False,0,22,22,False,60.0
ws_n486,Z12,17188,lex,4,2.477,8,13.74,15.67,0,178,2,0,263|36,0.0,0,0,25.0,False,0,12,17,False,60.0
ws_n486,Z12,17188,lex,5,2.481,8,13.85,15.89,0,200,2,0,263|58,0.0,0,0,27.0,False,0,22,15,False,60.0
ws_n486,Z12,17188,lex,6,2.835,9,12.76,17.16,0,178,2,0,263|33,0.0,0,0,25.0,False,1,13,14,False,60.0
ws_n486,Z12,17188,lex,7,2.564,9,12.61,17.35,0,223,3,0,263|81|10,0.0,0,0,26.0,False,0,10,16,False,60.0
ws_n486,Z12,17188,lex,8,2.774,9,11.83,18.01,0,223,3,0,263|81|10,0.0,0,0,26.0,False,1,10,16,False,60.1
ws_n486,Z12,17188,lex,9,2.558,8,10.7,18.33,0,223,3,0,263|81|7,0.0,0,0,26.0,False,0,16,19,False,60.1
ws_n486,Z12,17188,lexint,0,2.566,8,8.94,20.56,0,44,1,0,162,1.0,118,1077,31.0,False,0,18,26,False,60.0
ws_n486,Z12,17188,lexint,1,2.512,8,9.99,19.99,0,136,2,0,254|0,0.0,118,1175,28.0,False,1,16,23,False,60.0
