cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,plane,5,2.932,10,8.47,21.23,1,1125,,1125,0,852,1126,0,19.67,1091,0,0,0,1,248,2371.0,27.0,False,0,42,50,False,60.5
ws_n486,Z12,17188,plane,6,2.541,8,8.8,20.88,1,1118,,1118,0,828,1119,0,19.47,1091,0,0,0,1,248,2371.0,27.0,False,0,42,50,False,60.0
ws_n486,Z12,17188,plane,7,2.543,8,5.31,24.61,1,1218,,1218,0,1283,1219,0,24.22,1207,0,0,0,1,342,2365.0,27.0,False,0,24,59,False,60.0
ws_n486,Z12,17188,plane,8,2.461,7,0.34,29.57,1,1039,,1039,0,515,1040,0,28.92,1001,0,0,0,1,334,2410.0,32.0,False,0,35,53,False,60.0
ws_n486,Z12,17188,plane,9,2.576,9,8.97,20.94,1,919,,919,0,435,920,0,19.44,830,0,0,0,1,251,2428.0,30.0,False,0,33,48,False,60.0
ws_n486,Z12,17188,xy,0,2.467,8,4.64,25.29,1,1015,,1015,0,494,1016,0,25.05,1001,0,0,0,1,334,2410.0,32.0,False,1,35,53,False,60.0
ws_n486,Z12,17188,xy,1,2.432,8,10.54,19.38,1,934,,934,0,441,935,0,19.28,928,0,0,0,1,169,2418.0,32.0,False,1,36,43,False,60.0
ws_n486,Z12,17188,xy,2,2.617,9,8.25,21.46,1,996,,996,0,485,997,0,20.59,950,0,0,0,1,325,2414.0,32.0,False,0,34,52,False,60.0
ws_n486,Z12,17188,xy,3,2.765,9,11.38,18.46,1,969,,969,0,465,970,0,17.84,950,0,0,0,1,325,2414.0,32.0,False,0,34,52,False,60.0
ws_n486,Z12,17188,xy,4,2.64,8,8.22,21.7,1,1037,,1037,0,505,1038,0,21.15,1001,0,0,0,1,334,2410.0,32.0,False,0,35,53,False,60.0
ws_n486,Z12,17188,xy,5,2.628,9,10.67,19.23,1,994,,994,0,484,995,0,18.49,950,0,0,0,1,325,2414.0,32.0,False,0,34,52,False,60.0
ws_n486,Z12,17188,xy,6,2.761,9,7.17,22.69,1,976,,976,0,477,977,0,21.91,950,0,0,0,1,325,2414.0,32.0,False,0,34,52,False,60.0
ws_n486,Z12,17188,xy,7,2.49,8,9.09,21.01,1,929,,929,0,439,930,0,20.71,928,0,0,0,1,169,2418.0,32.0,False,0,36,43,False,60.0
ws_n486,Z12,17188,xy,8,2.498,8,8.6,21.34,1,1070,,1070,0,544,1071,0,20.53,1055,0,0,26,1,275,2400.0,30.0,False,0,27,41,False,60.0
ws_n486,Z12,17188,xy,9,2.817,9,8.21,21.74,1,1084,,1084,0,552,1085,0,20.07,1055,0,0,40,1,275,2400.0,30.0,False,1,27,41,False,60.0
grid_200,Z12,1590,plane,0,1.33,3,0.08,29.68,5,535|269|211|7|0,,1022,0,6929,1023,0,18.33,823,0,176,0,1,0,240.0,8.0,True,1,0,0,True,60.0
grid_200,Z12,1590,plane,1,1.43,3,0.98,27.58,5,535|269|211|7|0,,1022,0,7160,1023,0,15.55,823,0,176,0,1,0,240.0,8.0,True,0,0,0,True,60.0
grid_200,Z12,1590,plane,2,1.35,3,1.07,26.9,5,535|269|211|7|0,,1022,0,7978,1023,0,14.74,823,0,176,0,1,0,240.0,8.0,True,1,0,0,True,60.0
grid_200,Z12,1590,xy,0,1.415,3,0.46,28.07,4,567|262|279|123,,1231,0,5137,1232,0,4.34,280,0,242,379,1,0,271.0,10.0,True,0,0,0,True,60.0
grid_200,Z12,1590,xy,1,1.34,3,0.08,29.82,5,567|262|279|123|36,,1267,0,5342,1268,0,5.24,280,0,242,379,1,0,271.0,10.0,True,2,0,0,True,60.0
grid_200,Z12,1590,xy,2,1.385,3,0.08,29.84,5,567|262|279|123|25,,1256,0,5310,1257,0,4.81,280,0,242,379,1,0,271.0,10.0,True,1,0,0,True,60.0
honeycomb_200,Z12,32393,plane,0,1.335,3,3.44,14.93,4,334|58|3|0,,395,0,6245,396,0,5.47,333,0,62,0,1,0,249.0,10.0,True,0,0,0,True,46.8
honeycomb_200,Z12,32393,plane,1,1.43,3,1.67,16.61,4,334|58|3|0,,395,0,6245,396,0,6.98,333,0,62,0,1,0,249.0,10.0,True,0,0,0,True,52.8
honeycomb_200,Z12,32393,plane,2,1.23,2,1.07,15.37,4,334|58|3|0,,395,0,6245,396,0,5.88,333,0,62,0,1,0,249.0,10.0,True,0,0,0,True,41.6
honeycomb_200,Z12,32393,xy,0,1.355,3,1.93,27.98,6,426|132|79|79|73|0,,789,0,7132,790,0,8.02,466,0,185,294,1,0,237.0,12.0,True,0,0,0,True,56.2
honeycomb_200,Z12,32393,xy,1,1.36,3,1.21,28.42,6,426|132|79|79|73|45,,834,0,7219,835,0,7.71,466,0,185,339,1,0,237.0,12.0,True,3,0,0,True,60.0
honeycomb_200,Z12,32393,xy,2,1.325,3,0.17,29.72,6,426|132|79|79|73|87,,876,0,7346,877,0,7.95,466,0,196,370,1,0,237.0,12.0,True,0,0,0,True,52.4
king_graph_196,Z12,32622,plane,0,1.781,4,0.02,29.91,5,710|238|139|23|5,,1115,0,9421,1116,0,5.86,566,0,340,0,1,0,298.0,9.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,plane,1,1.74,4,0.04,29.49,5,710|238|139|23|7,,1117,0,9722,1118,0,5.87,566,0,340,0,1,0,298.0,9.0,True,2,0,0,True,60.0
king_graph_196,Z12,32622,plane,2,1.959,4,0.02,29.91,5,710|238|139|23|7,,1117,0,10086,1118,0,5.65,566,0,340,0,1,0,298.0,9.0,True,4,0,0,True,60.1
king_graph_196,Z12,32622,xy,0,1.862,4,0.02,29.92,4,716|345|185|100,,1346,0,6194,1347,0,8.57,663,0,406,271,1,0,307.0,10.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,xy,1,1.898,4,0.03,29.74,4,716|345|185|87,,1333,0,6172,1334,0,8.77,663,0,406,258,1,0,307.0,10.0,True,3,0,0,True,60.0
king_graph_196,Z12,32622,xy,2,1.648,3,0.02,29.93,4,716|345|185|85,,1331,0,6165,1332,0,8.57,663,0,406,256,1,0,307.0,10.0,True,2,0,0,True,60.0
