cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,width_x,width_y,pmiss,subm,time
ws_n486,Z12,17188,default,2,3.185,13,0.12,29.82,44,535,23,0,0,0,39.0,False,0,,,,False,60.0
ws_n486,Z12,17188,default,3,3.167,11,0.17,29.69,44,528,23,0,0,0,39.0,False,0,,,,False,60.0
ws_n486,Z12,17188,default,4,3.072,11,0.44,29.51,43,504,23,0,0,0,39.0,False,0,,,,False,60.0
ws_n486,Z12,17188,default,5,3.455,12,0.33,29.61,44,512,23,0,0,0,39.0,False,0,,,,False,60.0
ws_n486,Z12,17188,default,6,2.975,10,0.91,29.03,43,484,23,0,0,0,39.0,False,0,,,,False,60.0
ws_n486,Z12,17188,default,7,3.154,10,1.23,28.7,43,490,23,0,0,0,39.0,False,0,,,,False,60.0
ws_n486,Z12,17188,default,8,2.996,10,0.62,29.32,43,372,23,0,0,0,39.0,False,0,,,,False,60.0
ws_n486,Z12,17188,default,9,2.891,10,0.19,29.72,43,392,23,0,0,0,39.0,False,0,,,,False,60.0
ws_n486,Z12,17188,subm,0,3.181,12,0.41,29.51,43,382,23,0,0,0,39.0,False,1,,,,True,60.0
ws_n486,Z12,17188,subm,1,2.891,12,0.64,29.31,43,382,23,0,0,0,39.0,False,0,,,,True,60.0
ws_n486,Z12,17188,subm,2,3.352,13,0.78,29.19,43,396,23,0,0,0,39.0,False,0,,,,True,60.0
ws_n486,Z12,17188,subm,3,3.035,14,0.76,29.17,43,386,23,0,0,0,39.0,False,1,,,,True,60.0
ws_n486,Z12,17188,subm,4,3.123,12,0.79,29.12,43,404,23,0,0,0,39.0,False,1,,,,True,60.0
ws_n486,Z12,17188,subm,5,2.761,11,0.94,28.95,43,446,23,0,0,0,39.0,False,1,,,,True,60.0
ws_n486,Z12,17188,subm,6,2.928,12,0.58,29.33,43,426,23,0,0,0,39.0,False,0,,,,True,60.0
ws_n486,Z12,17188,subm,7,3.152,12,1.84,28.09,43,420,23,0,0,0,39.0,False,0,,,,True,60.0
ws_n486,Z12,17188,subm,8,3.156,13,1.71,28.23,43,431,23,0,0,0,39.0,False,0,,,,True,60.0
ws_n486,Z12,17188,subm,9,3.218,13,1.77,28.12,43,433,23,0,0,0,39.0,False,1,,,,True,60.0
ws_n486,Z12,17188,unb,0,2.597,9,1.66,28.28,11,338,1,0,0,0,19.0,False,0,25,26,19,False,60.0
ws_n486,Z12,17188,unb,1,2.749,9,2.57,27.36,11,349,1,0,0,0,19.0,False,1,25,26,19,False,60.0
ws_n486,Z12,17188,unb,2,2.436,8,3.89,26.04,11,345,1,0,0,0,19.0,False,0,25,26,19,False,60.0
ws_n486,Z12,17188,unb,3,2.512,8,3.85,26.02,11,363,1,0,0,0,19.0,False,0,25,26,19,False,60.0
ws_n486,Z12,17188,unb,4,2.521,8,1.53,28.41,11,369,1,0,0,0,19.0,False,0,25,26,19,False,60.0
ws_n486,Z12,17188,unb,5,2.751,8,0.4,29.53,11,392,1,0,0,0,19.0,False,2,25,26,19,False,60.0
ws_n486,Z12,17188,unb,6,2.35,7,0.31,29.66,11,397,1,0,0,0,19.0,False,0,25,26,19,False,60.0
ws_n486,Z12,17188,unb,7,2.556,8,0.38,29.61,11,394,1,0,0,0,19.0,False,0,25,26,19,False,60.0
ws_n486,Z12,17188,unb,8,2.628,8,0.3,29.69,11,406,1,0,0,0,19.0,False,2,25,26,19,False,60.0
ws_n486,Z12,17188,unb,9,2.418,8,0.12,29.83,11,402,1,0,0,0,19.0,False,0,25,26,19,False,60.0
ws_n486,Z12,17188,both,0,2.558,9,0.27,29.75,11,389,1,0,0,0,19.0,False,1,25,26,19,True,60.0
ws_n486,Z12,17188,both,1,2.496,8,0.35,29.61,11,390,1,0,0,0,19.0,False,1,25,26,19,True,60.0
ws_n486,Z12,17188,both,2,2.724,8,0.52,29.44,11,361,1,0,0,0,19.0,False,0,25,26,19,True,60.0
ws_n486,Z12,17188,both,3,2.508,8,0.23,29.74,11,370,1,0,0,0,19.0,False,0,25,26,19,True,60.0
ws_n486,Z12,17188,both,4,2.5,8,0.51,29.5,11,375,1,0,0,0,19.0,False,0,25,26,19,True,60.0
ws_n486,Z12,17188,both,5,2.5,8,0.18,29.78,11,379,1,0,0,0,19.0,False,0,25,26,19,True,60.0
ws_n486,Z12,17188,both,6,2.58,8,0.19,29.81,11,385,1,0,0,0,19.0,False,2,25,26,19,True,60.0
ws_n486,Z12,17188,both,7,2.412,7,0.13,29.8,11,393,1,0,0,0,19.0,False,2,25,26,19,True,60.0
ws_n486,Z12,17188,both,8,2.574,10,0.14,29.85,11,380,1,0,0,0,19.0,False,1,25,26,19,True,60.0
ws_n486,Z12,17188,both,9,2.835,9,0.35,29.63,11,385,1,0,0,0,19.0,False,1,25,26,19,True,60.0
grid_200,Z12,1590,default,0,1.015,2,0.07,5.56,12,292,3,0,0,0,3.0,False,0,,,,False,18.8
grid_200,Z12,1590,default,1,1.055,2,0.07,5.43,12,292,3,0,0,0,3.0,False,0,,,,False,25.0
grid_200,Z12,1590,default,2,1.04,2,0.07,5.44,12,292,3,0,0,0,3.0,False,0,,,,False,19.7
