source,instance,target,algorithm,seed,n,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ERd0.3_n120,0,pegasus16_broken,reweave-thorough,0,120,1,1,18.325,36,2199,181.12640493595973,120,2171
ERd0.3_n120,0,pegasus16_broken,reweave-thorough,1,120,1,1,18.941666666666666,35,2273,181.47961908997968,120,2171
ERd0.3_n120,0,pegasus16_broken,reweave-thorough,2,120,1,1,18.533333333333335,33,2224,181.450402548071,120,2171
ERd0.3_n120,0,pegasus16_broken,mmfork-cuthill,0,120,1,1,17.575,27,2109,126.08224908611737,120,2171
ERd0.3_n120,0,pegasus16_broken,mmfork-cuthill,1,120,1,1,17.258333333333333,26,2071,146.53719335095957,120,2171
ERd0.3_n120,0,pegasus16_broken,mmfork-cuthill,2,120,1,1,17.158333333333335,28,2059,149.8042416360695,120,2171
ERd0.3_n120,0,pegasus16_broken,mmfork-cuthill-fast,0,120,1,1,17.575,27,2109,115.91601463081315,120,2171
ERd0.3_n120,0,pegasus16_broken,mmfork-cuthill-fast,1,120,1,1,17.258333333333333,26,2071,137.25512598990463,120,2171
ERd0.3_n120,0,pegasus16_broken,mmfork-cuthill-fast,2,120,1,1,17.158333333333335,28,2059,137.66865836409852,120,2171
ERd0.3_n120,0,pegasus16_broken,mmfork-portfolio,0,120,1,1,19.2,30,2304,188.15795873710886,120,2171
ERd0.3_n120,0,pegasus16_broken,mmfork-portfolio,1,120,1,1,18.316666666666666,29,2198,186.7027259040624,120,2171
ERd0.3_n120,0,pegasus16_broken,mmfork-portfolio,2,120,1,1,18.408333333333335,32,2209,187.07627359288745,120,2171
ERd0.3_n120,0,pegasus16_broken,reweave-mmfork-cuthill,0,120,1,1,16.308333333333334,25,1957,180.78231182089075,120,2171
ERd0.3_n120,0,pegasus16_broken,reweave-mmfork-cuthill,1,120,1,1,16.775,29,2013,180.8027835979592,120,2171
ERd0.3_n120,0,pegasus16_broken,reweave-mmfork-cuthill,2,120,1,1,16.3,28,1956,180.93648059898987,120,2171
ERd0.3_n120,0,zephyr15_broken,minorminer,0,120,1,1,14.55,23,1746,110.3124162540771,120,2171
ERd0.3_n120,0,zephyr15_broken,minorminer,1,120,1,1,13.125,20,1575,152.55942067294382,120,2171
ERd0.3_n120,0,zephyr15_broken,minorminer,2,120,1,1,12.658333333333333,19,1519,181.84331657993607,120,2171
ERd0.3_n120,0,zephyr15_broken,minorminer-layout,0,120,1,1,13.166666666666666,21,1580,182.2315189349465,120,2171
ERd0.3_n120,0,zephyr15_broken,minorminer-layout,1,120,1,1,13.933333333333334,23,1672,180.05038405093364,120,2171
ERd0.3_n120,0,zephyr15_broken,minorminer-layout,2,120,1,1,13.375,21,1605,164.54223377886228,120,2171
ERd0.3_n120,0,zephyr15_broken,reweave,0,120,1,1,13.15,22,1578,180.3861384941265,120,2171
ERd0.3_n120,0,zephyr15_broken,reweave,1,120,1,1,12.725,21,1527,180.61714659119025,120,2171
ERd0.3_n120,0,zephyr15_broken,reweave,2,120,1,1,12.533333333333333,20,1504,180.28361252509058,120,2171
ERd0.3_n120,0,zephyr15_broken,reweave-thorough,0,120,1,1,16.55,30,1986,180.76157414983027,120,2171
ERd0.3_n120,0,zephyr15_broken,reweave-thorough,1,120,1,1,16.966666666666665,33,2036,180.99203287414275,120,2171
ERd0.3_n120,0,zephyr15_broken,reweave-thorough,2,120,1,1,16.466666666666665,30,1976,181.07913901703432,120,2171
ERd0.3_n120,0,zephyr15_broken,mmfork-cuthill,0,120,1,1,13.333333333333334,22,1600,182.83912557712756,120,2171
ERd0.3_n120,0,zephyr15_broken,mmfork-cuthill,1,120,1,1,12.691666666666666,19,1523,140.87401506118476,120,2171
ERd0.3_n120,0,zephyr15_broken,mmfork-cuthill,2,120,1,1,12.916666666666666,21,1550,182.27667262381874,120,2171
ERd0.3_n120,0,zephyr15_broken,mmfork-cuthill-fast,0,120,1,1,13.258333333333333,21,1591,183.3211622131057,120,2171
ERd0.3_n120,0,zephyr15_broken,mmfork-cuthill-fast,1,120,1,1,12.691666666666666,19,1523,160.56185527099296,120,2171
ERd0.3_n120,0,zephyr15_broken,mmfork-cuthill-fast,2,120,1,1,12.616666666666667,20,1514,181.1878464058973,120,2171
ERd0.3_n120,0,zephyr15_broken,mmfork-portfolio,0,120,1,1,17.325,28,2079,195.73536720615812,120,2171
ERd0.3_n120,0,zephyr15_broken,mmfork-portfolio,1,120,1,1,14.808333333333334,24,1777,194.79981146403588,120,2171
ERd0.3_n120,0,zephyr15_broken,mmfork-portfolio,2,120,1,1,16.566666666666666,27,1988,189.70334655302577,120,2171
ERd0.3_n120,0,zephyr15_broken,reweave-mmfork-cuthill,0,120,1,1,13.8,24,1656,180.47162392013706,120,2171
ERd0.3_n120,0,zephyr15_broken,reweave-mmfork-cuthill,1,120,1,1,11.991666666666667,20,1439,150.08592001814395,120,2171
ERd0.3_n120,0,zephyr15_broken,reweave-mmfork-cuthill,2,120,1,1,12.716666666666667,22,1526,180.4497179479804,120,2171
ERd0.3_n160,0,pegasus16_broken,minorminer,0,160,0,0,0.0,0,0,189.64106951397844,160,3875
ERd0.3_n160,0,pegasus16_broken,minorminer,1,160,0,0,0.0,0,0,191.13859735801816,160,3875
ERd0.3_n160,0,pegasus16_broken,minorminer,2,160,0,0,0.0,0,0,187.9466092970688,160,3875
ERd0.3_n160,0,pegasus16_broken,minorminer-layout,0,160,0,0,0.0,0,0,190.39179374510422,160,3875
ERd0.3_n160,0,pegasus16_broken,minorminer-layout,1,160,0,0,0.0,0,0,189.99572401004843,160,3875
ERd0.3_n160,0,pegasus16_broken,minorminer-layout,2,160,0,0,0.0,0,0,190.57991660782136,160,3875
ERd0.3_n160,0,pegasus16_broken,reweave,0,160,0,0,0.0,0,0,181.04404432396404,160,3875
ERd0.3_n160,0,pegasus16_broken,reweave,1,160,0,0,0.0,0,0,181.45440956694074,160,3875
ERd0.3_n160,0,pegasus16_broken,reweave,2,160,0,0,0.0,0,0,181.40068210591562,160,3875
ERd0.3_n160,0,pegasus16_broken,reweave-thorough,0,160,0,0,0.0,0,0,180.30770451016724,160,3875
ERd0.3_n160,0,pegasus16_broken,reweave-thorough,1,160,0,0,0.0,0,0,180.63957810704596,160,3875
ERd0.3_n160,0,pegasus16_broken,reweave-thorough,2,160,0,0,0.0,0,0,180.82104553515092,160,3875
ERd0.3_n160,0,pegasus16_broken,mmfork-cuthill,0,160,0,0,0.0,0,0,197.54737169202417,160,3875
