pid,gkey,n,method,eseed,acl,maxchain,chain_rel,mean_e,best_e,chainbreak,gs,p_gs,resid
2,ER_n24_d0.5_g1,24,mmfork-cuthill,1,2.6666666666666665,4,1.5,-61.648,-65.0,0.0578,-65.0,0.42,0.0516
2,ER_n24_d0.5_g1,24,mmfork-portfolio,0,2.5,4,0.75,-45.924,-49.0,0.2504,-65.0,0.0,0.2935
2,ER_n24_d0.5_g1,24,mmfork-portfolio,0,2.5,4,1.0,-52.344,-61.0,0.2071,-65.0,0.0,0.1947
2,ER_n24_d0.5_g1,24,mmfork-portfolio,0,2.5,4,1.5,-59.392,-65.0,0.1484,-65.0,0.014,0.0863
2,ER_n24_d0.5_g1,24,mmfork-portfolio,1,2.5,4,0.75,-53.368,-65.0,0.1461,-65.0,0.002,0.179
2,ER_n24_d0.5_g1,24,mmfork-portfolio,1,2.5,4,1.0,-54.448,-65.0,0.1313,-65.0,0.004,0.1623
2,ER_n24_d0.5_g1,24,mmfork-portfolio,1,2.5,4,1.5,-55.444,-65.0,0.123,-65.0,0.03,0.147
3,ER_n24_d0.5_g1,24,minorminer,0,2.7083333333333335,4,0.75,-48.708,-53.0,0.2299,-63.0,0.0,0.2269
3,ER_n24_d0.5_g1,24,minorminer,0,2.7083333333333335,4,1.0,-49.424,-53.0,0.2084,-63.0,0.0,0.2155
3,ER_n24_d0.5_g1,24,minorminer,0,2.7083333333333335,4,1.5,-49.396,-63.0,0.1397,-63.0,0.002,0.2159
3,ER_n24_d0.5_g1,24,minorminer,1,2.75,4,0.75,-45.996,-63.0,0.2304,-63.0,0.006,0.2699
3,ER_n24_d0.5_g1,24,minorminer,1,2.75,4,1.0,-46.084,-63.0,0.2127,-63.0,0.014,0.2685
3,ER_n24_d0.5_g1,24,minorminer,1,2.75,4,1.5,-53.156,-63.0,0.1223,-63.0,0.196,0.1563
3,ER_n24_d0.5_g1,24,minorminer-layout,0,2.5833333333333335,3,0.75,-53.164,-59.0,0.2196,-63.0,0.0,0.1561
3,ER_n24_d0.5_g1,24,minorminer-layout,0,2.5833333333333335,3,1.0,-53.728,-55.0,0.1727,-63.0,0.0,0.1472
3,ER_n24_d0.5_g1,24,minorminer-layout,0,2.5833333333333335,3,1.5,-54.608,-61.0,0.1613,-63.0,0.0,0.1332
3,ER_n24_d0.5_g1,24,minorminer-layout,1,2.4583333333333335,4,0.75,-43.004,-53.0,0.2427,-63.0,0.0,0.3174
3,ER_n24_d0.5_g1,24,minorminer-layout,1,2.4583333333333335,4,1.0,-46.7,-57.0,0.2163,-63.0,0.0,0.2587
3,ER_n24_d0.5_g1,24,minorminer-layout,1,2.4583333333333335,4,1.5,-53.044,-57.0,0.1507,-63.0,0.0,0.158
3,ER_n24_d0.5_g1,24,reweave,0,2.7083333333333335,4,0.75,-48.708,-53.0,0.2299,-63.0,0.0,0.2269
3,ER_n24_d0.5_g1,24,reweave,0,2.7083333333333335,4,1.0,-49.424,-53.0,0.2084,-63.0,0.0,0.2155
3,ER_n24_d0.5_g1,24,reweave,0,2.7083333333333335,4,1.5,-49.396,-63.0,0.1397,-63.0,0.002,0.2159
3,ER_n24_d0.5_g1,24,reweave,1,2.7083333333333335,4,0.75,-47.224,-63.0,0.2557,-63.0,0.002,0.2504
3,ER_n24_d0.5_g1,24,reweave,1,2.7083333333333335,4,1.0,-46.432,-63.0,0.2191,-63.0,0.026,0.263
3,ER_n24_d0.5_g1,24,reweave,1,2.7083333333333335,4,1.5,-53.676,-63.0,0.1193,-63.0,0.174,0.148
3,ER_n24_d0.5_g1,24,reweave-thorough,0,2.5,3,0.75,-53.208,-59.0,0.2845,-63.0,0.0,0.1554
3,ER_n24_d0.5_g1,24,reweave-thorough,0,2.5,3,1.0,-54.432,-59.0,0.2587,-63.0,0.0,0.136
3,ER_n24_d0.5_g1,24,reweave-thorough,0,2.5,3,1.5,-57.736,-63.0,0.1142,-63.0,0.112,0.0836
3,ER_n24_d0.5_g1,24,reweave-thorough,1,2.5833333333333335,4,0.75,-50.22,-55.0,0.318,-63.0,0.0,0.2029
3,ER_n24_d0.5_g1,24,reweave-thorough,1,2.5833333333333335,4,1.0,-52.268,-55.0,0.2472,-63.0,0.0,0.1703
3,ER_n24_d0.5_g1,24,reweave-thorough,1,2.5833333333333335,4,1.5,-54.312,-59.0,0.1756,-63.0,0.0,0.1379
3,ER_n24_d0.5_g1,24,mmfork-cuthill,0,2.5833333333333335,4,0.75,-46.22,-59.0,0.2447,-63.0,0.0,0.2663
3,ER_n24_d0.5_g1,24,mmfork-cuthill,0,2.5833333333333335,4,1.0,-54.248,-59.0,0.1561,-63.0,0.0,0.1389
3,ER_n24_d0.5_g1,24,mmfork-cuthill,0,2.5833333333333335,4,1.5,-58.192,-63.0,0.1091,-63.0,0.168,0.0763
3,ER_n24_d0.5_g1,24,mmfork-cuthill,1,2.6666666666666665,4,0.75,-41.704,-63.0,0.3607,-63.0,0.152,0.338
3,ER_n24_d0.5_g1,24,mmfork-cuthill,1,2.6666666666666665,4,1.0,-56.86,-63.0,0.2378,-63.0,0.698,0.0975
3,ER_n24_d0.5_g1,24,mmfork-cuthill,1,2.6666666666666665,4,1.5,-61.076,-63.0,0.0949,-63.0,0.77,0.0305
3,ER_n24_d0.5_g1,24,mmfork-portfolio,0,2.5,4,0.75,-45.716,-57.0,0.2989,-63.0,0.0,0.2743
3,ER_n24_d0.5_g1,24,mmfork-portfolio,0,2.5,4,1.0,-47.14,-63.0,0.2844,-63.0,0.006,0.2517
3,ER_n24_d0.5_g1,24,mmfork-portfolio,0,2.5,4,1.5,-57.848,-63.0,0.082,-63.0,0.374,0.0818
3,ER_n24_d0.5_g1,24,mmfork-portfolio,1,2.5,4,0.75,-49.612,-63.0,0.2615,-63.0,0.03,0.2125
3,ER_n24_d0.5_g1,24,mmfork-portfolio,1,2.5,4,1.0,-51.196,-63.0,0.2269,-63.0,0.12,0.1874
3,ER_n24_d0.5_g1,24,mmfork-portfolio,1,2.5,4,1.5,-56.724,-63.0,0.0977,-63.0,0.41,0.0996
4,ER_n24_d0.5_g2,24,minorminer,0,2.75,4,0.75,-58.4,-70.0,0.1719,-70.0,0.03,0.1657
4,ER_n24_d0.5_g2,24,minorminer,0,2.75,4,1.0,-59.128,-70.0,0.1358,-70.0,0.002,0.1553
4,ER_n24_d0.5_g2,24,minorminer,0,2.75,4,1.5,-65.936,-70.0,0.0838,-70.0,0.526,0.0581
4,ER_n24_d0.5_g2,24,minorminer,1,2.5833333333333335,3,0.75,-56.116,-70.0,0.2977,-70.0,0.284,0.1983
4,ER_n24_d0.5_g2,24,minorminer,1,2.5833333333333335,3,1.0,-64.672,-70.0,0.1713,-70.0,0.706,0.0761
4,ER_n24_d0.5_g2,24,minorminer,1,2.5833333333333335,3,1.5,-65.928,-70.0,0.1124,-70.0,0.754,0.0582
4,ER_n24_d0.5_g2,24,minorminer-layout,0,2.9166666666666665,4,0.75,-62.32,-70.0,0.2702,-70.0,0.388,0.1097
4,ER_n24_d0.5_g2,24,minorminer-layout,0,2.9166666666666665,4,1.0,-65.3,-70.0,0.1952,-70.0,0.436,0.0671
4,ER_n24_d0.5_g2,24,minorminer-layout,0,2.9166666666666665,4,1.5,-67.188,-70.0,0.1077,-70.0,0.498,0.0402
4,ER_n24_d0.5_g2,24,minorminer-layout,1,2.75,4,0.75,-60.056,-70.0,0.2316,-70.0,0.006,0.1421
4,ER_n24_d0.5_g2,24,minorminer-layout,1,2.75,4,1.0,-62.032,-70.0,0.1771,-70.0,0.008,0.1138
4,ER_n24_d0.5_g2,24,minorminer-layout,1,2.75,4,1.5,-69.04,-70.0,0.0855,-70.0,0.838,0.0137
4,ER_n24_d0.5_g2,24,reweave,0,2.7083333333333335,4,0.75,-57.54,-70.0,0.1798,-70.0,0.024,0.178
4,ER_n24_d0.5_g2,24,reweave,0,2.7083333333333335,4,1.0,-58.844,-66.0,0.1383,-70.0,0.0,0.1594
4,ER_n24_d0.5_g2,24,reweave,0,2.7083333333333335,4,1.5,-65.688,-70.0,0.0833,-70.0,0.49,0.0616
4,ER_n24_d0.5_g2,24,reweave,1,2.5833333333333335,3,0.75,-56.116,-70.0,0.2977,-70.0,0.284,0.1983
4,ER_n24_d0.5_g2,24,reweave,1,2.5833333333333335,3,1.0,-64.672,-70.0,0.1712,-70.0,0.706,0.0761
4,ER_n24_d0.5_g2,24,reweave,1,2.5833333333333335,3,1.5,-65.928,-70.0,0.1124,-70.0,0.754,0.0582
4,ER_n24_d0.5_g2,24,reweave-thorough,0,2.7083333333333335,4,0.75,-57.54,-70.0,0.1798,-70.0,0.024,0.178
4,ER_n24_d0.5_g2,24,reweave-thorough,0,2.7083333333333335,4,1.0,-58.844,-66.0,0.1383,-70.0,0.0,0.1594
4,ER_n24_d0.5_g2,24,reweave-thorough,0,2.7083333333333335,4,1.5,-65.688,-70.0,0.0833,-70.0,0.49,0.0616
4,ER_n24_d0.5_g2,24,reweave-thorough,1,2.5833333333333335,3,0.75,-56.116,-70.0,0.2977,-70.0,0.284,0.1983
4,ER_n24_d0.5_g2,24,reweave-thorough,1,2.5833333333333335,3,1.0,-64.672,-70.0,0.1712,-70.0,0.706,0.0761
