source,target,algorithm,n,n_seeds,n_success,n_instances,success_rate,acl_mean,acl_ci,acl_std,maxchain_mean,qubits_mean,time_mean,time_mean_ok,time_std,problem_nodes,problem_edges
REGk6_n160,zephyr15_broken,minorminer,160,24,24,8,1.0,4.458,0.118,0.208,9.67,713.2,7.08,7.08,2.446,160,480
REGk6_n160,zephyr15_broken,minorminer-layout,160,24,24,8,1.0,4.463,0.058,0.227,9.54,714.1,9.472,9.472,2.622,160,480
REGk6_n160,zephyr15_broken,mmfork-cuthill,160,24,24,8,1.0,4.474,0.119,0.262,9.75,715.8,7.446,7.446,2.484,160,480
REGk6_n160,zephyr15_broken,mmfork-cuthill-fast,160,24,24,8,1.0,4.474,0.119,0.262,9.75,715.8,7.601,7.601,2.37,160,480
REGk6_n160,zephyr15_broken,mmfork-portfolio,160,24,24,8,1.0,4.16,0.086,0.168,9.04,665.6,49.218,49.218,12.537,160,480
REGk6_n160,zephyr15_broken,reweave,160,24,24,8,1.0,4.29,0.107,0.189,9.46,686.4,7.767,7.767,2.9,160,480
REGk6_n160,zephyr15_broken,reweave-mmfork-cuthill,160,24,24,8,1.0,4.335,0.105,0.228,9.67,693.7,9.876,9.876,3.312,160,480
REGk6_n160,zephyr15_broken,reweave-thorough,160,24,24,8,1.0,4.049,0.045,0.149,8.71,647.8,31.594,31.594,6.041,160,480
REGk6_n320,pegasus16_broken,minorminer,320,24,24,8,1.0,10.377,0.265,0.562,25.5,3320.8,20.859,20.859,4.982,320,960
REGk6_n320,pegasus16_broken,minorminer-layout,320,24,24,8,1.0,10.334,0.124,0.517,26.42,3306.8,31.13,31.13,9.409,320,960
REGk6_n320,pegasus16_broken,mmfork-cuthill,320,24,24,8,1.0,10.599,0.176,0.499,28.17,3391.8,23.704,23.704,7.803,320,960
REGk6_n320,pegasus16_broken,mmfork-cuthill-fast,320,24,24,8,1.0,10.599,0.176,0.499,28.17,3391.8,24.798,24.798,8.169,320,960
REGk6_n320,pegasus16_broken,mmfork-portfolio,320,24,24,8,1.0,9.815,0.135,0.28,25.21,3140.7,143.67,143.67,19.083,320,960
REGk6_n320,pegasus16_broken,reweave,320,24,24,8,1.0,9.888,0.242,0.508,25,3164.2,25.061,25.061,6.216,320,960
REGk6_n320,pegasus16_broken,reweave-mmfork-cuthill,320,24,24,8,1.0,10.207,0.159,0.457,27.42,3266.1,29.57,29.57,8.879,320,960
REGk6_n320,pegasus16_broken,reweave-thorough,320,24,24,8,1.0,9.693,0.212,0.363,24.67,3101.8,103.389,103.389,30.114,320,960
REGk6_n320,zephyr15_broken,minorminer,320,24,24,8,1.0,8.021,0.146,0.418,19.67,2566.6,28.421,28.421,10.267,320,960
REGk6_n320,zephyr15_broken,minorminer-layout,320,24,24,8,1.0,8.172,0.158,0.403,20,2615.2,40.088,40.088,9.419,320,960
REGk6_n320,zephyr15_broken,mmfork-cuthill,320,24,24,8,1.0,8.412,0.169,0.447,21,2691.8,26.095,26.095,9.133,320,960
REGk6_n320,zephyr15_broken,mmfork-cuthill-fast,320,24,24,8,1.0,8.412,0.169,0.447,21,2691.8,25.754,25.754,7.957,320,960
REGk6_n320,zephyr15_broken,mmfork-portfolio,320,24,24,8,1.0,7.58,0.155,0.285,19.21,2425.7,146.511,146.511,20.396,320,960
REGk6_n320,zephyr15_broken,reweave,320,24,24,8,1.0,7.618,0.126,0.387,19.33,2437.7,35.665,35.665,14.106,320,960
REGk6_n320,zephyr15_broken,reweave-mmfork-cuthill,320,24,24,8,1.0,8.029,0.156,0.397,20.67,2569.2,34.722,34.722,10.293,320,960
REGk6_n320,zephyr15_broken,reweave-thorough,320,24,24,8,1.0,7.562,0.115,0.248,19.96,2419.9,100.517,100.517,12.128,320,960
REGk6_n40,pegasus16_broken,minorminer,40,24,24,8,1.0,2.265,0.062,0.138,3.62,90.6,0.369,0.369,0.089,40,120
REGk6_n40,pegasus16_broken,minorminer-layout,40,24,24,8,1.0,2.231,0.067,0.152,3.46,89.2,1.041,1.041,0.448,40,120
REGk6_n40,pegasus16_broken,mmfork-cuthill,40,24,24,8,1.0,2.261,0.037,0.135,3.79,90.5,0.496,0.496,0.192,40,120
REGk6_n40,pegasus16_broken,mmfork-cuthill-fast,40,24,24,8,1.0,2.261,0.037,0.135,3.79,90.5,0.451,0.451,0.106,40,120
REGk6_n40,pegasus16_broken,mmfork-portfolio,40,24,24,8,1.0,2.099,0.032,0.079,3.21,84.0,2.537,2.537,0.582,40,120
REGk6_n40,pegasus16_broken,reweave,40,24,24,8,1.0,2.252,0.06,0.131,3.62,90.1,0.432,0.432,0.098,40,120
REGk6_n40,pegasus16_broken,reweave-mmfork-cuthill,40,24,24,8,1.0,2.249,0.035,0.128,3.79,90.0,0.546,0.546,0.167,40,120
REGk6_n40,pegasus16_broken,reweave-thorough,40,24,24,8,1.0,2.118,0.047,0.105,3.29,84.7,1.852,1.852,0.293,40,120
