source,target,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,maxchain_mean,qubits_mean,time_mean,time_std,problem_nodes,problem_edges
ER_n40_d0.7,zephyr_4,minorminer-layout,5,5,1.0,4.285,0.064,6,171.4,0.771,0.168,40,557
ER_n40_d0.7,zephyr_4,reweave,5,5,1.0,4.09,0.262,5.4,163.6,5.644,0.558,40,557
ER_n40_d0.7,zephyr_4,reweave-thorough,5,5,1.0,3.85,0.069,5.2,154,19.926,0.131,40,557
REG_n30_k4,pegasus_6,minorminer,5,5,1.0,1.373,0.061,2,41.2,0.017,0.003,30,60
REG_n30_k4,pegasus_6,minorminer-layout,5,5,1.0,1.407,0.108,2,42.2,0.039,0.009,30,60
REG_n30_k4,pegasus_6,reweave,5,5,1.0,1.373,0.061,2,41.2,0.104,0.013,30,60
REG_n30_k4,pegasus_6,reweave-thorough,5,5,1.0,1.313,0.027,2,39.4,0.434,0.039,30,60
REG_n30_k6,pegasus_6,minorminer,5,5,1.0,1.92,0.113,3,57.6,0.063,0.014,30,90
REG_n30_k6,pegasus_6,minorminer-layout,5,5,1.0,1.94,0.044,3,58.2,0.097,0.012,30,90
REG_n30_k6,pegasus_6,reweave,5,5,1.0,1.92,0.113,3,57.6,0.37,0.055,30,90
REG_n30_k6,pegasus_6,reweave-thorough,5,5,1.0,1.86,0.065,3,55.8,1.344,0.112,30,90
REG_n40_k4,pegasus_6,minorminer,5,5,1.0,1.515,0.121,2.6,60.6,0.04,0.016,40,80
REG_n40_k4,pegasus_6,minorminer-layout,5,5,1.0,1.48,0.062,2.2,59.2,0.062,0.007,40,80
REG_n40_k4,pegasus_6,reweave,5,5,1.0,1.51,0.111,2.6,60.4,0.19,0.068,40,80
REG_n40_k4,pegasus_6,reweave-thorough,5,5,1.0,1.355,0.043,2.2,54.2,0.683,0.075,40,80
REG_n40_k6,pegasus_6,minorminer,5,5,1.0,2.105,0.128,3.4,84.2,0.097,0.028,40,120
REG_n40_k6,pegasus_6,minorminer-layout,5,5,1.0,2.135,0.228,3.2,85.4,0.158,0.042,40,120
REG_n40_k6,pegasus_6,reweave,5,5,1.0,2.09,0.121,3.4,83.6,0.669,0.182,40,120
REG_n40_k6,pegasus_6,reweave-thorough,5,5,1.0,1.945,0.033,3,77.8,2.419,0.143,40,120
