source,target,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,maxchain_mean,qubits_mean,time_mean,time_std,problem_nodes,problem_edges
ER_n40_d0.5,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,4.68,0.149,6.2,187.2,1.193,0.184,40,393
ER_n40_d0.5,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,4.48,0.056,6,179.2,4.58,0.404,40,393
ER_n40_d0.5,zephyr_4,minorminer,5,5,1.0,3.63,0.083,5,145.2,0.876,0.1,40,393
ER_n40_d0.5,zephyr_4,minorminer-layout,5,5,1.0,3.605,0.156,5.2,144.2,1.067,0.673,40,393
ER_n40_d0.5,zephyr_4,pathfinder,5,5,1.0,3.545,0.053,5,141.8,1.286,0.086,40,393
ER_n40_d0.5,zephyr_4,pathfinder-base,5,5,1.0,3.565,0.072,5,142.6,3.898,0.087,40,393
ER_n40_d0.5,zephyr_4,pathfinder-stacked,5,5,1.0,3.55,0.074,5,142,1.365,0.209,40,393
ER_n40_d0.5,zephyr_4,pathfinder-thorough,5,5,1.0,3.505,0.029,5,140.2,4.401,0.155,40,393
ER_n40_d0.7,pegasus_6,minorminer,5,5,1.0,5.15,0.061,7.2,206,1.333,0.531,40,557
ER_n40_d0.7,pegasus_6,minorminer-layout,5,5,1.0,5.23,0.174,7,209.2,1.671,0.35,40,557
ER_n40_d0.7,pegasus_6,pathfinder,5,5,1.0,4.95,0.061,6.8,198,1.866,0.631,40,557
ER_n40_d0.7,pegasus_6,pathfinder-base,5,5,1.0,5.065,0.044,7,202.6,5.592,0.621,40,557
ER_n40_d0.7,pegasus_6,pathfinder-stacked,5,5,1.0,4.9,0.063,7,196,2.137,0.412,40,557
ER_n40_d0.7,pegasus_6,pathfinder-thorough,5,5,1.0,4.87,0.029,6.2,194.8,8.414,1.164,40,557
ER_n40_d0.7,pegasus_6_broken5,minorminer,5,5,1.0,5.52,0.189,7.8,220.8,1.009,0.175,40,557
