cell,target,algorithm,n_trials,n_success,acl_mean,acl_std,time_mean
ER_n40_d0.7,pegasus_6_broken5,minorminer-layout,45,45,5.3722,0.2469,3.7243
ER_n40_d0.7,pegasus_6_broken5,mmfork-cuthill,45,45,5.3122,0.2551,2.2855
ER_n40_d0.7,pegasus_6_broken5,mmfork-portfolio,45,45,5.0411,0.1175,15.5785
ER_n40_d0.7,pegasus_6_broken5,reweave,45,45,5.1956,0.1845,3.6321
ER_n40_d0.7,pegasus_6_broken5,reweave-base,45,45,5.3189,0.2171,9.5915
ER_n40_d0.7,pegasus_6_broken5,reweave-mmfork-cuthill,45,45,5.0872,0.2067,3.7046
ER_n40_d0.7,pegasus_6_broken5,reweave-stacked,45,45,5.0789,0.1947,4.2034
ER_n40_d0.7,pegasus_6_broken5,reweave-thorough,45,45,4.9994,0.1019,15.1949
ER_n40_d0.7,zephyr_4,minorminer,45,45,4.0222,0.148,2.214
ER_n40_d0.7,zephyr_4,minorminer-layout,45,45,4.0594,0.1716,2.8428
ER_n40_d0.7,zephyr_4,mmfork-cuthill,45,45,4.0128,0.1838,1.9828
ER_n40_d0.7,zephyr_4,mmfork-portfolio,45,45,3.815,0.0907,12.2724
ER_n40_d0.7,zephyr_4,reweave,45,45,3.8822,0.1243,3.137
ER_n40_d0.7,zephyr_4,reweave-base,45,45,3.9406,0.1383,9.1155
ER_n40_d0.7,zephyr_4,reweave-mmfork-cuthill,45,45,3.8889,0.1331,2.8232
ER_n40_d0.7,zephyr_4,reweave-stacked,45,45,3.875,0.1204,3.6001
ER_n40_d0.7,zephyr_4,reweave-thorough,45,45,3.7644,0.079,11.9675
REG_n30_k4,pegasus_6,minorminer,45,45,1.3452,0.0731,0.0693
REG_n30_k4,pegasus_6,minorminer-layout,45,45,1.377,0.0825,0.7752
REG_n30_k4,pegasus_6,mmfork-cuthill,45,45,1.363,0.0962,0.0824
REG_n30_k4,pegasus_6,mmfork-portfolio,45,45,1.2526,0.0442,0.3975
REG_n30_k4,pegasus_6,reweave,45,45,1.3437,0.0699,0.0767
REG_n30_k4,pegasus_6,reweave-base,45,45,1.3437,0.0699,0.2669
REG_n30_k4,pegasus_6,reweave-mmfork-cuthill,45,45,1.363,0.0962,0.0878
REG_n30_k4,pegasus_6,reweave-stacked,45,45,1.5741,0.3844,0.2644
REG_n30_k4,pegasus_6,reweave-thorough,45,45,1.2704,0.0405,0.2993
REG_n30_k6,pegasus_6,minorminer,45,45,1.8785,0.0935,0.1563
REG_n30_k6,pegasus_6,minorminer-layout,45,45,1.9281,0.0986,0.9126
REG_n30_k6,pegasus_6,mmfork-cuthill,45,45,1.9133,0.1092,0.2411
REG_n30_k6,pegasus_6,mmfork-portfolio,45,45,1.7815,0.0635,1.098
REG_n30_k6,pegasus_6,reweave,45,45,1.8778,0.0932,0.2504
REG_n30_k6,pegasus_6,reweave-base,45,45,1.8778,0.0932,0.7851
REG_n30_k6,pegasus_6,reweave-mmfork-cuthill,45,45,1.9126,0.1071,0.2564
REG_n30_k6,pegasus_6,reweave-stacked,45,45,1.9489,0.1832,0.4459
REG_n30_k6,pegasus_6,reweave-thorough,45,45,1.8104,0.0695,0.9199
REG_n40_k4,pegasus_6,minorminer,45,45,1.4344,0.083,0.0984
REG_n40_k4,pegasus_6,minorminer-layout,45,45,1.4639,0.093,0.8008
REG_n40_k4,pegasus_6,mmfork-cuthill,45,45,1.4289,0.0775,0.1364
REG_n40_k4,pegasus_6,mmfork-portfolio,45,45,1.355,0.0467,0.7609
REG_n40_k4,pegasus_6,reweave,45,45,1.4344,0.083,0.1242
REG_n40_k4,pegasus_6,reweave-base,45,45,1.4344,0.083,0.476
REG_n40_k4,pegasus_6,reweave-mmfork-cuthill,45,45,1.4289,0.0775,0.1528
REG_n40_k4,pegasus_6,reweave-stacked,45,45,1.4783,0.2154,0.3796
