source,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.5,pegasus_6,reweave-stacked,4,1,1,2.25,3,45,0.30446404199756216,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer,0,1,1,2.3,3,46,0.15739779099749285,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer,1,1,1,2.15,3,43,0.0825112500024261,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer,2,1,1,2.25,3,45,0.16682462500102702,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer,3,1,1,2.25,3,45,0.29711112499717274,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer,4,1,1,2.35,3,47,0.11549687500155414,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer-layout,0,1,1,2.35,3,47,0.12332445900028688,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer-layout,1,1,1,2.5,3,50,0.1156526250015304,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer-layout,2,1,1,2.3,3,46,0.09003995800230769,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer-layout,3,1,1,2.2,3,44,0.13974612500169314,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer-layout,4,1,1,2.4,3,48,0.11732750000010128,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-base,0,1,1,2.3,3,46,0.4556814169991412,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-base,1,1,1,2.15,3,43,0.3697146660015278,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-base,2,1,1,2.25,3,45,0.45306358299785643,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-base,3,1,1,2.25,3,45,0.6098605410006712,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-base,4,1,1,2.3,3,46,0.7247851669999363,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave,0,1,1,2.3,3,46,0.1820960830009426,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave,1,1,1,2.15,3,43,0.10579312499976368,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave,2,1,1,2.25,3,45,0.19561354200050118,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave,3,1,1,2.25,3,45,0.32342262500242214,20,103
