cell,instance,algorithm,seed,success,valid,avg_chain_length,total_qubits_used,wall_time
ER_n30_d0.7,1,reweave-ablate-both,2,1,1,3.6666666666666665,110,2.4672665830003098
ER_n30_d0.7,2,minorminer,0,1,1,3.9,117,1.432701374986209
ER_n30_d0.7,2,minorminer,1,1,1,3.566666666666667,107,3.0520864159916528
ER_n30_d0.7,2,minorminer,2,1,1,3.8333333333333335,115,1.2120400830172002
ER_n30_d0.7,2,reweave,0,1,1,3.8333333333333335,115,1.827184750000015
ER_n30_d0.7,2,reweave,1,1,1,3.433333333333333,103,2.620023499999661
ER_n30_d0.7,2,reweave,2,1,1,3.6666666666666665,110,1.5998435840010643
ER_n30_d0.7,2,reweave-ablate-paths,0,1,1,3.8333333333333335,115,1.453624707995914
ER_n30_d0.7,2,reweave-ablate-paths,1,1,1,3.433333333333333,103,2.2822354579984676
ER_n30_d0.7,2,reweave-ablate-paths,2,1,1,3.6666666666666665,110,1.4185989999969024
ER_n30_d0.7,2,reweave-ablate-nocong,0,1,1,3.8333333333333335,115,1.5222013749880716
ER_n30_d0.7,2,reweave-ablate-nocong,1,1,1,3.466666666666667,104,2.1571720840001944
ER_n30_d0.7,2,reweave-ablate-nocong,2,1,1,3.7,111,1.1576162920100614
ER_n30_d0.7,2,reweave-ablate-both,0,1,1,3.8333333333333335,115,1.1949166670092382
ER_n30_d0.7,2,reweave-ablate-both,1,1,1,3.466666666666667,104,2.166103875002591
ER_n30_d0.7,2,reweave-ablate-both,2,1,1,3.7,111,1.1102167920034844
ER_n30_d0.7,3,minorminer,0,1,1,3.9,117,0.7818050000059884
ER_n30_d0.7,3,minorminer,1,1,1,3.8,114,1.8431282910169102
ER_n30_d0.7,3,minorminer,2,1,1,3.7,111,2.0135645830014255
ER_n30_d0.7,3,reweave,0,1,1,3.8666666666666667,116,1.2332290830090642
ER_n30_d0.7,3,reweave,1,1,1,3.6666666666666665,110,2.3259139170113485
ER_n30_d0.7,3,reweave,2,1,1,3.6,108,2.2889367080060765
ER_n30_d0.7,3,reweave-ablate-paths,0,1,1,3.8666666666666667,116,1.215302958007669
ER_n30_d0.7,3,reweave-ablate-paths,1,1,1,3.6666666666666665,110,2.2240670829778537
ER_n30_d0.7,3,reweave-ablate-paths,2,1,1,3.6,108,2.1451444170088507
ER_n30_d0.7,3,reweave-ablate-nocong,0,1,1,3.8,114,2.1693409589934163
ER_n30_d0.7,3,reweave-ablate-nocong,1,1,1,3.7333333333333334,112,2.6011528329981957
ER_n30_d0.7,3,reweave-ablate-nocong,2,1,1,3.6,108,2.459697334008524
ER_n30_d0.7,3,reweave-ablate-both,0,1,1,3.8666666666666667,116,1.424889207992237
ER_n30_d0.7,3,reweave-ablate-both,1,1,1,3.7333333333333334,112,2.2709345839975867
ER_n30_d0.7,3,reweave-ablate-both,2,1,1,3.6,108,2.4041715000057593
ER_n30_d0.7,4,minorminer,0,1,1,3.8,114,1.0628220830112696
ER_n30_d0.7,4,minorminer,1,1,1,3.533333333333333,106,1.8969114579958841
ER_n30_d0.7,4,minorminer,2,1,1,3.933333333333333,118,0.6217482089996338
ER_n30_d0.7,4,reweave,0,1,1,3.7333333333333334,112,1.2448832909867633
ER_n30_d0.7,4,reweave,1,1,1,3.466666666666667,104,2.232578625000315
ER_n30_d0.7,4,reweave,2,1,1,3.7666666666666666,113,0.95475858298596
ER_n30_d0.7,4,reweave-ablate-paths,0,1,1,3.7666666666666666,113,1.1750979169737548
ER_n30_d0.7,4,reweave-ablate-paths,1,1,1,3.466666666666667,104,2.242464500013739
ER_n30_d0.7,4,reweave-ablate-paths,2,1,1,3.8333333333333335,115,0.8656546670245007
ER_n30_d0.7,4,reweave-ablate-nocong,0,1,1,3.7666666666666666,113,1.5381857909960672
ER_n30_d0.7,4,reweave-ablate-nocong,1,1,1,3.466666666666667,104,2.3618706249981187
ER_n30_d0.7,4,reweave-ablate-nocong,2,1,1,3.8333333333333335,115,1.5100131249928381
ER_n30_d0.7,4,reweave-ablate-both,0,1,1,3.7666666666666666,113,1.4653978339920286
ER_n30_d0.7,4,reweave-ablate-both,1,1,1,3.466666666666667,104,2.3442289999802597
ER_n30_d0.7,4,reweave-ablate-both,2,1,1,3.8333333333333335,115,1.226202457997715
ER_n40_d0.5,0,minorminer,0,1,1,4.575,183,0.9753261670120992
ER_n40_d0.5,0,minorminer,1,1,1,4.4,176,2.0134455829975195
ER_n40_d0.5,0,minorminer,2,1,1,4.575,183,2.3972585830197204
ER_n40_d0.5,0,reweave,0,1,1,4.45,178,1.3466909159906209
ER_n40_d0.5,0,reweave,1,1,1,4.25,170,2.8141090410063043
ER_n40_d0.5,0,reweave,2,1,1,4.475,179,2.923140875005629
ER_n40_d0.5,0,reweave-ablate-paths,0,1,1,4.45,178,1.3871387499966659
ER_n40_d0.5,0,reweave-ablate-paths,1,1,1,4.25,170,2.6437117499881424
ER_n40_d0.5,0,reweave-ablate-paths,2,1,1,4.475,179,3.481930082984036
ER_n40_d0.5,0,reweave-ablate-nocong,0,1,1,4.45,178,1.906483875005506
ER_n40_d0.5,0,reweave-ablate-nocong,1,1,1,4.25,170,3.5744861669954844
ER_n40_d0.5,0,reweave-ablate-nocong,2,1,1,4.4,176,4.226646208000602
ER_n40_d0.5,0,reweave-ablate-both,0,1,1,4.45,178,2.3317691670090426
ER_n40_d0.5,0,reweave-ablate-both,1,1,1,4.25,170,3.9917064999754075
ER_n40_d0.5,0,reweave-ablate-both,2,1,1,4.475,179,4.261579917016206
