cell,instance,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.3,2,pegasus_6_broken5,reweave-base,2,1,1,1.7,2,34,0.3187774468678981,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave,0,1,1,1.8,3,36,0.2815031830687076,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave,1,1,1,1.8,3,36,0.25117921899072826,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave,2,1,1,1.7,2,34,0.12033836101181805,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-thorough,0,1,1,1.7,3,34,0.7453913290519267,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-thorough,1,1,1,1.65,3,33,0.3164773772004992,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-thorough,2,1,1,1.65,2,33,0.637059479020536,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-stacked,0,1,1,1.65,3,33,0.2752810388337821,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-stacked,1,1,1,1.9,3,38,0.181747036986053,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-stacked,2,1,1,1.8,3,36,0.22071560518816113,20,64
ER_n20_d0.3,2,pegasus_6_broken5,mmfork-cuthill,0,1,1,1.7,3,34,0.07441727095283568,20,64
ER_n20_d0.3,2,pegasus_6_broken5,mmfork-cuthill,1,1,1,1.85,3,37,0.05917297396808863,20,64
ER_n20_d0.3,2,pegasus_6_broken5,mmfork-cuthill,2,1,1,1.7,3,34,0.2125233500264585,20,64
ER_n20_d0.3,2,pegasus_6_broken5,mmfork-portfolio,0,1,1,1.7,3,34,1.1663656949531287,20,64
ER_n20_d0.3,2,pegasus_6_broken5,mmfork-portfolio,1,1,1,1.75,3,35,0.4009710270911455,20,64
ER_n20_d0.3,2,pegasus_6_broken5,mmfork-portfolio,2,1,1,1.6,2,32,0.8847965621389449,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-mmfork-cuthill,0,1,1,1.65,3,33,0.16718944697640836,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-mmfork-cuthill,1,1,1,1.85,3,37,0.07084599696099758,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-mmfork-cuthill,2,1,1,1.7,3,34,0.15047228592447937,20,64
ER_n20_d0.3,2,zephyr_4,minorminer,0,1,1,1.55,2,31,0.05557373887859285,20,64
ER_n20_d0.3,2,zephyr_4,minorminer,1,1,1,1.4,2,28,0.029894926119595766,20,64
ER_n20_d0.3,2,zephyr_4,minorminer,2,1,1,1.55,2,31,0.11089213099330664,20,64
ER_n20_d0.3,2,zephyr_4,minorminer-layout,0,1,1,1.55,2,31,1.3187510429415852,20,64
ER_n20_d0.3,2,zephyr_4,minorminer-layout,1,1,1,1.55,3,31,2.0345939451362938,20,64
ER_n20_d0.3,2,zephyr_4,minorminer-layout,2,1,1,1.5,2,30,2.0537101060617715,20,64
ER_n20_d0.3,2,zephyr_4,reweave-base,0,1,1,1.55,2,31,0.4970595689956099,20,64
ER_n20_d0.3,2,zephyr_4,reweave-base,1,1,1,1.4,2,28,0.46444847504608333,20,64
ER_n20_d0.3,2,zephyr_4,reweave-base,2,1,1,1.55,2,31,0.2140742619521916,20,64
ER_n20_d0.3,2,zephyr_4,reweave,0,1,1,1.55,2,31,0.32226945413276553,20,64
ER_n20_d0.3,2,zephyr_4,reweave,1,1,1,1.4,2,28,0.08961183903738856,20,64
ER_n20_d0.3,2,zephyr_4,reweave,2,1,1,1.55,2,31,0.4256529149133712,20,64
ER_n20_d0.3,2,zephyr_4,reweave-thorough,0,1,1,1.35,2,27,0.5725730161648244,20,64
ER_n20_d0.3,2,zephyr_4,reweave-thorough,1,1,1,1.4,2,28,0.4976060369517654,20,64
ER_n20_d0.3,2,zephyr_4,reweave-thorough,2,1,1,1.45,2,29,0.2807164159603417,20,64
