cell,order,seed,tries,acl
ER_n40_d0.7_P6,mcs,3,1,5.15
ER_n40_d0.7_P6,cuthill,3,1,5.15
ER_n40_d0.7_P6,spectral,3,1,4.875
ER_n40_d0.7_P6,community,3,1,5.225
ER_n40_d0.7_P6,bfs,3,1,4.8
ER_n50_d0.5_P6,default,0,1,6.14
ER_n50_d0.5_P6,degeneracy,0,1,6.1
ER_n50_d0.5_P6,minfill,0,1,6.12
ER_n50_d0.5_P6,mcs,0,1,5.88
ER_n50_d0.5_P6,cuthill,0,1,5.76
ER_n50_d0.5_P6,spectral,0,1,5.54
ER_n50_d0.5_P6,community,0,1,5.76
ER_n50_d0.5_P6,bfs,0,1,5.42
ER_n50_d0.5_P6,default,1,1,5.72
ER_n50_d0.5_P6,degeneracy,1,1,6.32
ER_n50_d0.5_P6,minfill,1,1,6.04
ER_n50_d0.5_P6,mcs,1,1,6.1
ER_n50_d0.5_P6,cuthill,1,1,5.7
ER_n50_d0.5_P6,spectral,1,1,5.76
ER_n50_d0.5_P6,community,1,1,6.32
ER_n50_d0.5_P6,bfs,1,1,5.6
ER_n50_d0.5_P6,default,2,1,6.18
ER_n50_d0.5_P6,degeneracy,2,1,6.28
ER_n50_d0.5_P6,minfill,2,1,5.76
ER_n50_d0.5_P6,mcs,2,1,6.26
ER_n50_d0.5_P6,cuthill,2,1,5.66
ER_n50_d0.5_P6,spectral,2,1,5.66
ER_n50_d0.5_P6,community,2,1,5.92
ER_n50_d0.5_P6,bfs,2,1,5.78
ER_n50_d0.5_P6,default,3,1,6.22
ER_n50_d0.5_P6,degeneracy,3,1,5.76
ER_n50_d0.5_P6,minfill,3,1,5.8
ER_n50_d0.5_P6,mcs,3,1,5.98
ER_n50_d0.5_P6,cuthill,3,1,5.8
ER_n50_d0.5_P6,spectral,3,1,6.38
ER_n50_d0.5_P6,community,3,1,5.96
ER_n50_d0.5_P6,bfs,3,1,5.6
ER_n60_d0.4_P6,default,0,1,6.666666666666667
ER_n60_d0.4_P6,degeneracy,0,1,7.216666666666667
ER_n60_d0.4_P6,minfill,0,1,6.5
ER_n60_d0.4_P6,mcs,0,1,6.783333333333333
ER_n60_d0.4_P6,cuthill,0,1,6.583333333333333
ER_n60_d0.4_P6,spectral,0,1,6.55
ER_n60_d0.4_P6,community,0,1,7.383333333333334
ER_n60_d0.4_P6,bfs,0,1,6.783333333333333
ER_n60_d0.4_P6,default,1,1,6.733333333333333
ER_n60_d0.4_P6,degeneracy,1,1,6.533333333333333
ER_n60_d0.4_P6,minfill,1,1,7.333333333333333
ER_n60_d0.4_P6,mcs,1,1,6.833333333333333
ER_n60_d0.4_P6,cuthill,1,1,6.966666666666667
ER_n60_d0.4_P6,spectral,1,1,6.783333333333333
ER_n60_d0.4_P6,community,1,1,7.316666666666666
ER_n60_d0.4_P6,bfs,1,1,7.016666666666667
ER_n60_d0.4_P6,default,2,1,7.1
ER_n60_d0.4_P6,degeneracy,2,1,6.533333333333333
ER_n60_d0.4_P6,minfill,2,1,6.7
ER_n60_d0.4_P6,mcs,2,1,6.633333333333334
ER_n60_d0.4_P6,cuthill,2,1,6.55
ER_n60_d0.4_P6,spectral,2,1,6.366666666666666
ER_n60_d0.4_P6,community,2,1,6.833333333333333
ER_n60_d0.4_P6,bfs,2,1,6.816666666666666
ER_n60_d0.4_P6,default,3,1,6.733333333333333
ER_n60_d0.4_P6,degeneracy,3,1,7.783333333333333
ER_n60_d0.4_P6,minfill,3,1,6.85
ER_n60_d0.4_P6,mcs,3,1,6.966666666666667
ER_n60_d0.4_P6,cuthill,3,1,6.883333333333334
ER_n60_d0.4_P6,spectral,3,1,6.45
ER_n60_d0.4_P6,community,3,1,7.283333333333333
ER_n60_d0.4_P6,bfs,3,1,6.3
ER_n30_d0.5_Z4,default,0,1,2.6666666666666665
ER_n30_d0.5_Z4,degeneracy,0,1,2.8
ER_n30_d0.5_Z4,minfill,0,1,2.7
ER_n30_d0.5_Z4,mcs,0,1,2.6
ER_n30_d0.5_Z4,cuthill,0,1,2.6333333333333333
ER_n30_d0.5_Z4,spectral,0,1,2.7333333333333334
ER_n30_d0.5_Z4,community,0,1,2.7666666666666666
ER_n30_d0.5_Z4,bfs,0,1,2.8
ER_n30_d0.5_Z4,default,1,1,2.8666666666666667
ER_n30_d0.5_Z4,degeneracy,1,1,2.7666666666666666
ER_n30_d0.5_Z4,minfill,1,1,2.8666666666666667
ER_n30_d0.5_Z4,mcs,1,1,2.7666666666666666
ER_n30_d0.5_Z4,cuthill,1,1,2.566666666666667
ER_n30_d0.5_Z4,spectral,1,1,2.7666666666666666
ER_n30_d0.5_Z4,community,1,1,2.6666666666666665
ER_n30_d0.5_Z4,bfs,1,1,2.7333333333333334
ER_n30_d0.5_Z4,default,2,1,2.7
ER_n30_d0.5_Z4,degeneracy,2,1,2.8
ER_n30_d0.5_Z4,minfill,2,1,2.7
ER_n30_d0.5_Z4,mcs,2,1,2.7333333333333334
ER_n30_d0.5_Z4,cuthill,2,1,2.6333333333333333
ER_n30_d0.5_Z4,spectral,2,1,2.7333333333333334
ER_n30_d0.5_Z4,community,2,1,2.8
ER_n30_d0.5_Z4,bfs,2,1,2.7
ER_n30_d0.5_Z4,default,3,1,2.7333333333333334
ER_n30_d0.5_Z4,degeneracy,3,1,2.6
ER_n30_d0.5_Z4,minfill,3,1,2.7
ER_n30_d0.5_Z4,mcs,3,1,3.033333333333333
ER_n30_d0.5_Z4,cuthill,3,1,2.6666666666666665
ER_n30_d0.5_Z4,spectral,3,1,2.7333333333333334
ER_n30_d0.5_Z4,community,3,1,2.7666666666666666
ER_n30_d0.5_Z4,bfs,3,1,2.8
