topo,n,arm,seed,success,acl,acl_spur,wall
Z12,179,p3-ate,28,1,12.972067039106145,12.972067039106145,65.79
Z12,179,p3-clmm,15,1,12.988826815642458,12.966480446927374,64.48
Z12,179,p3-ate,29,1,12.972067039106145,12.972067039106145,70.37
Z12,179,p3-clmm,16,1,12.972067039106145,12.949720670391061,64.02
Z12,179,p3-clmm,17,1,12.988826815642458,12.966480446927374,63.46
Z12,179,p3-clmm,19,1,12.994413407821229,12.972067039106145,61.13
Z12,179,p3-clmm,18,1,12.994413407821229,12.972067039106145,61.94
Z12,179,p3-clmm,20,1,12.994413407821229,12.972067039106145,62.52
Z12,179,p3-clmm,21,1,12.994413407821229,12.972067039106145,64.62
Z12,179,p3-clmm,22,1,12.994413407821229,12.977653631284916,63.87
Z12,179,p3-clmm,23,1,12.988826815642458,12.966480446927374,64.57
Z12,179,p3-clmm,25,1,12.983240223463687,12.960893854748603,62.37
Z12,179,p3-clmm,24,1,12.988826815642458,12.972067039106145,65.0
Z12,179,p3-clmm,26,1,12.994413407821229,12.972067039106145,62.86
Z12,179,p3-clmm,27,1,12.988826815642458,12.972067039106145,65.36
Z12,179,p3-clmm,28,1,12.977653631284916,12.960893854748603,64.15
Z12,179,p3-clmm,29,1,12.972067039106145,12.94413407821229,61.12
Z12,179,p3-mmpolish,15,0,,,69.59
Z12,179,p3-mmpolish,16,0,,,68.81
Z12,179,p3-mmpolish,18,0,,,62.3
Z12,179,p3-mmpolish,17,0,,,69.13
Z12,179,p3-mmpolish,19,0,,,68.8
Z12,179,p3-mmpolish,20,0,,,68.1
Z12,179,p3-mmpolish,21,0,,,66.38
Z12,179,p3-mmpolish,22,0,,,70.36
Z12,179,p3-mmpolish,23,0,,,69.83
Z12,179,p3-mmpolish,24,0,,,68.77
Z12,179,p3-mmpolish,25,0,,,69.9
Z12,179,p3-mmpolish,26,0,,,66.36
Z12,179,p3-mmpolish,27,0,,,69.44
Z12,179,p3-mmpolish,28,0,,,67.73
Z12,179,p3-mmpolish,29,0,,,67.85
