topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,140,0.07194244604316546,103,boltz-2.0,root,10,2.0,SUCCESS,1,8.0643,7.7357,16,1129,6.2691,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,8,8.0,SUCCESS,1,7.85,7.5286,15,1099,8.2279,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,8,2.0,SUCCESS,1,8.1929,7.8714,16,1147,8.3645,689,
P16,140,0.07194244604316546,103,stock,stock,9,,SUCCESS,1,7.7929,7.45,17,1091,7.2267,689,
P16,140,0.07194244604316546,103,tree-sph,tree,12,2,SUCCESS,1,7.4357,7.2786,15,1041,4.8232,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,7,8.0,SUCCESS,1,7.6714,7.3643,15,1074,9.0727,689,
P16,140,0.07194244604316546,103,tree-sph,tree,10,2,SUCCESS,1,7.0571,6.9286,15,988,7.572,689,
P16,140,0.07194244604316546,101,beta-dhat,beta,10,4.0,SUCCESS,1,7.2929,7.0571,15,1021,40.6622,691,
P16,140,0.07194244604316546,103,tree-sph,tree,13,2,SUCCESS,1,7.7857,7.5857,16,1090,4.1967,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,5,16.0,SUCCESS,1,7.2786,7.0643,14,1019,11.9493,689,
P16,140,0.07194244604316546,103,stock,stock,11,,SUCCESS,1,7.5571,7.3357,15,1058,6.8148,689,
P16,140,0.07194244604316546,103,beta-dhat,beta,7,4.0,SUCCESS,1,7.2786,7.0,14,1019,10.3276,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,11,2.0,SUCCESS,1,7.6429,7.3214,16,1070,6.7079,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,9,2.0,SUCCESS,1,7.2643,7.0571,15,1017,8.6679,689,
P16,140,0.07194244604316546,103,stock,stock,12,,SUCCESS,1,7.3071,7.05,14,1023,6.8738,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,9,8.0,SUCCESS,1,7.3071,7.1,15,1023,8.9807,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,11,16.0,SUCCESS,1,7.6786,7.3286,15,1075,7.2783,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,12,8.0,SUCCESS,1,7.3214,7.0357,16,1025,6.89,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,12,16.0,SUCCESS,1,7.7071,7.3714,17,1079,7.2246,689,
P16,140,0.07194244604316546,103,stock,stock,13,,SUCCESS,1,8.3929,8.0214,17,1175,6.5187,689,
