topo,n,p,inst_seed,arm,algo_seed,budget,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,180,0.1,103,audit2,0,180.0,SUCCESS,1,17.4833,16.2667,35,3147,28.0661,1609,
P16,180,0.1,103,stock,0,60.0,SUCCESS,1,16.0833,15.0889,27,2895,33.5616,1609,
P16,180,0.1,103,audit1,2,60.0,SUCCESS,1,17.9333,17.0056,39,3228,18.3664,1609,
P16,180,0.1,103,audit1,4,5.0,SUCCESS,1,22.3389,20.6111,55,4021,5.1311,1609,
P16,180,0.1,103,stock,4,5.0,SUCCESS,1,22.4389,20.5556,43,4039,5.1736,1609,
P16,180,0.1,103,audit2,4,5.0,SUCCESS,1,22.25,20.6222,47,4005,5.0729,1609,
P16,180,0.1,103,dirty,0,60.0,SUCCESS,1,16.0833,15.0889,27,2895,35.1692,1609,
P16,180,0.1,103,stock,0,180.0,SUCCESS,1,16.0833,15.0889,27,2895,33.8582,1609,
P16,180,0.1,103,stock,3,15.0,SUCCESS,1,18.2222,17.1278,33,3280,15.3314,1609,
P16,180,0.1,103,dirty,4,5.0,SUCCESS,1,22.4389,20.5556,43,4039,5.3585,1609,
P16,180,0.1,103,audit1,3,15.0,SUCCESS,1,17.8333,16.9111,36,3210,15.2778,1609,
P16,180,0.1,103,audit1,0,60.0,SUCCESS,1,17.0667,16.1389,39,3072,36.1232,1609,
P16,180,0.1,103,audit1,2,180.0,SUCCESS,1,17.9333,17.0056,39,3228,18.6982,1609,
P16,180,0.1,103,audit2,3,15.0,SUCCESS,1,18.3056,17.2056,34,3295,15.3764,1609,
P16,180,0.1,103,dirty,0,180.0,SUCCESS,1,16.0833,15.0889,27,2895,33.9195,1609,
P16,180,0.1,103,dirty,3,15.0,SUCCESS,1,18.2222,17.1278,33,3280,15.2144,1609,
P16,180,0.1,103,audit1,0,180.0,SUCCESS,1,17.0667,16.1389,39,3072,36.3513,1609,
P16,180,0.1,102,audit1,4,60.0,SUCCESS,1,15.9111,15.2444,39,2864,47.014,1575,
P16,180,0.1,103,audit2,1,60.0,SUCCESS,1,16.9389,15.8333,30,3049,32.2692,1609,
P16,180,0.1,104,stock,0,5.0,SUCCESS,1,19.15,17.9611,39,3447,5.4549,1624,
P16,180,0.1,104,dirty,0,5.0,SUCCESS,1,19.15,17.9611,39,3447,5.097,1624,
P16,180,0.1,103,audit2,1,180.0,SUCCESS,1,16.9389,15.8333,30,3049,32.9109,1609,
P16,180,0.1,104,audit1,0,5.0,SUCCESS,1,19.4,18.2389,45,3492,5.3589,1624,
P16,180,0.1,104,audit2,0,5.0,SUCCESS,1,19.4556,18.1611,40,3502,5.2849,1624,
P16,180,0.1,102,audit1,4,180.0,SUCCESS,1,15.9111,15.2444,39,2864,47.5085,1575,
P16,180,0.1,103,stock,4,15.0,SUCCESS,1,18.6778,17.2333,34,3362,15.0923,1609,
P16,180,0.1,103,audit1,4,15.0,SUCCESS,1,19.0167,17.8222,46,3423,15.4152,1609,
