topo,n,p,inst_seed,arm,algo_seed,status,success,acl,acl_spur,acl_pre,max_chain,qubits,time,n_edges,err
P16,100,0.9,101,clmm,3,SUCCESS,1,9.81,9.78,,10,981,22.8164,4484,
P16,80,0.9,103,minorminer,4,SUCCESS,1,9.4375,8.9125,,13,755,39.1431,2838,
P16,100,0.9,101,clmm,1,SUCCESS,1,9.79,9.77,,10,979,24.0692,4484,
P16,100,0.9,101,clmm,4,SUCCESS,1,9.81,9.78,,10,981,24.0445,4484,
P16,100,0.9,101,clmm,2,SUCCESS,1,9.79,9.78,,10,979,24.7349,4484,
P16,80,0.9,101,attraction,0,SUCCESS,1,11.125,9.9625,,16,890,60.308,2858,
P16,100,0.9,102,template,-1,SUCCESS,1,9.78,9.78,9.82,10,978,0.0447,4457,
P16,100,0.9,102,clique,-1,SUCCESS,1,9.82,9.78,,10,982,0.0215,4457,
P16,80,0.9,101,attraction,2,SUCCESS,1,11.45,10.5125,,18,916,60.6582,2858,
P16,100,0.9,101,minorminer,4,SUCCESS,1,11.23,10.39,,16,1123,30.8332,4484,
P16,80,0.9,101,attraction,4,SUCCESS,1,11.6,10.325,,17,928,60.5336,2858,
P16,100,0.9,102,pssa,0,SUCCESS,1,9.97,9.97,,11,997,0.5154,4457,
P16,80,0.9,101,attraction,1,SUCCESS,1,11.3,10.1875,,17,904,61.2802,2858,
P16,100,0.9,102,pssa,1,SUCCESS,1,9.97,9.97,,11,997,0.5301,4457,
P16,80,0.9,101,attraction,3,SUCCESS,1,10.7875,9.8125,,15,863,61.0278,2858,
P16,100,0.9,102,pssa,2,SUCCESS,1,9.97,9.97,,11,997,0.5221,4457,
P16,100,0.9,102,pssa,3,SUCCESS,1,9.97,9.97,,11,997,0.5108,4457,
P16,100,0.9,102,pssa,4,SUCCESS,1,9.97,9.97,,11,997,0.5234,4457,
P16,80,0.9,103,minorminer,2,SUCCESS,1,11.025,10.0125,,16,882,49.1144,2838,
P16,80,0.9,103,mmfork-cuthill,2,SUCCESS,1,10.5875,9.7875,,15,847,44.9515,2838,
P16,80,0.9,102,attraction,4,SUCCESS,1,11.525,10.35,,18,922,55.4719,2841,
P16,100,0.9,101,minorminer,3,SUCCESS,1,11.56,10.57,,17,1156,40.2877,4484,
P16,80,0.9,102,attraction,2,SUCCESS,1,10.6375,9.8,,15,851,60.0948,2841,
P16,80,0.9,102,attraction,0,SUCCESS,1,10.9375,10.075,,16,875,60.3172,2841,
P16,80,0.9,102,attraction,3,SUCCESS,1,10.775,9.825,,15,862,60.1035,2841,
P16,80,0.9,102,attraction,1,SUCCESS,1,10.75,9.8125,,16,860,60.5172,2841,
P16,80,0.9,103,minorminer,1,SUCCESS,1,10.7625,9.7875,,15,861,60.6309,2838,
P16,100,0.9,101,mmfork-cuthill,0,SUCCESS,1,13.55,12.33,,20,1355,44.6586,4484,
P16,100,0.9,102,clmm,1,SUCCESS,1,9.8,9.78,,10,980,21.0978,4457,
P16,100,0.9,102,clmm,2,SUCCESS,1,9.82,9.78,,10,982,20.8776,4457,
P16,80,0.9,103,attraction,0,SUCCESS,1,11.575,10.35,,18,926,55.7044,2838,
P16,100,0.9,102,clmm,0,SUCCESS,1,9.79,9.77,,10,979,24.5437,4457,
P16,100,0.9,102,clmm,3,SUCCESS,1,9.8,9.78,,10,980,23.8974,4457,
P16,100,0.9,103,template,-1,SUCCESS,1,9.78,9.78,9.82,10,978,0.0445,4466,
P16,100,0.9,103,clique,-1,SUCCESS,1,9.82,9.78,,10,982,0.0213,4466,
P16,100,0.9,103,pssa,0,SUCCESS,1,9.98,9.98,,11,998,0.4892,4466,
P16,100,0.9,102,clmm,4,SUCCESS,1,9.81,9.78,,10,981,24.7103,4457,
P16,100,0.9,103,pssa,1,SUCCESS,1,9.98,9.98,,11,998,0.5111,4466,
P16,100,0.9,103,pssa,2,SUCCESS,1,9.98,9.98,,11,998,0.5115,4466,
P16,100,0.9,103,pssa,3,SUCCESS,1,9.98,9.98,,11,998,0.488,4466,
P16,100,0.9,103,pssa,4,SUCCESS,1,9.98,9.98,,11,998,0.5023,4466,
P16,80,0.9,103,attraction,2,SUCCESS,1,10.5625,9.625,,16,845,60.5928,2838,
P16,80,0.9,103,attraction,1,SUCCESS,1,10.9,9.975,,15,872,61.083,2838,
P16,80,0.9,103,attraction,3,SUCCESS,1,11.2,9.95,,17,896,60.7216,2838,
P16,80,0.9,103,attraction,4,SUCCESS,1,11.15,10.2,,18,892,60.5936,2838,
P16,100,0.9,102,minorminer,1,SUCCESS,1,13.89,12.42,,21,1389,46.2345,4457,
P16,100,0.9,101,minorminer,0,SUCCESS,1,12.23,11.38,,19,1223,60.3463,4484,
P16,100,0.9,101,mmfork-cuthill,3,SUCCESS,1,11.95,11.17,,17,1195,58.0558,4484,
P16,100,0.9,101,minorminer,2,SUCCESS,1,14.5,12.88,,22,1450,60.7499,4484,
P16,100,0.9,101,minorminer,1,SUCCESS,1,13.6,12.24,,21,1360,61.4935,4484,
P16,100,0.9,101,mmfork-cuthill,1,SUCCESS,1,13.89,12.6,,20,1389,60.5729,4484,
P16,100,0.9,102,minorminer,2,SUCCESS,1,13.96,12.44,,20,1396,51.4436,4457,
P16,100,0.9,101,mmfork-cuthill,2,SUCCESS,1,13.73,12.29,,21,1373,61.421,4484,
P16,100,0.9,101,mmfork-cuthill,4,SUCCESS,1,13.55,12.46,,21,1355,60.689,4484,
P16,100,0.9,102,mmfork-cuthill,3,SUCCESS,1,12.94,11.64,,19,1294,40.4736,4457,
P16,100,0.9,101,attraction,0,SUCCESS,1,15.02,13.08,,25,1502,60.635,4484,
P16,100,0.9,101,attraction,1,SUCCESS,1,14.87,13.16,,26,1487,61.5108,4484,
P16,100,0.9,101,attraction,2,SUCCESS,1,15.75,13.85,,27,1575,60.9453,4484,
P16,100,0.9,103,clmm,2,SUCCESS,1,9.81,9.78,,10,981,22.8039,4466,
P16,100,0.9,101,attraction,4,SUCCESS,1,16.22,13.94,,28,1622,60.4328,4484,
P16,100,0.9,103,clmm,0,SUCCESS,1,9.81,9.78,,10,981,25.7995,4466,
P16,140,0.9,101,template,-1,SUCCESS,1,13.1643,13.1643,13.8286,14,1843,0.1535,8777,
P16,140,0.9,101,clique,-1,SUCCESS,1,13.8286,13.1643,,14,1936,0.0196,8777,
P16,100,0.9,103,clmm,1,SUCCESS,1,9.82,9.78,,10,982,23.2357,4466,
P16,100,0.9,102,minorminer,3,SUCCESS,1,12.37,11.41,,19,1237,60.2882,4457,
P16,100,0.9,101,attraction,3,SUCCESS,1,15.27,13.38,,25,1527,61.3623,4484,
P16,140,0.9,101,pssa,0,SUCCESS,1,13.3143,13.3143,,14,1864,0.6142,8777,
P16,140,0.9,101,pssa,1,SUCCESS,1,13.3143,13.3143,,14,1864,0.6205,8777,
P16,140,0.9,101,pssa,2,SUCCESS,1,13.3143,13.3143,,14,1864,0.6396,8777,
P16,100,0.9,103,minorminer,0,SUCCESS,1,13.06,11.87,,21,1306,39.9514,4466,
P16,100,0.9,102,minorminer,0,SUCCESS,1,12.67,11.6,,19,1267,61.5759,4457,
P16,100,0.9,102,minorminer,4,SUCCESS,1,14.0,12.67,,21,1400,60.5567,4457,
P16,140,0.9,101,pssa,3,SUCCESS,1,13.3143,13.3143,,14,1864,0.6446,8777,
P16,100,0.9,102,mmfork-cuthill,0,SUCCESS,1,12.3,11.46,,18,1230,60.478,4457,
P16,140,0.9,101,pssa,4,SUCCESS,1,13.3143,13.3143,,14,1864,0.6495,8777,
P16,100,0.9,103,clmm,4,SUCCESS,1,9.8,9.78,,10,980,21.818,4466,
P16,100,0.9,103,clmm,3,SUCCESS,1,9.81,9.79,,10,981,23.0174,4466,
P16,100,0.9,102,mmfork-cuthill,2,SUCCESS,1,12.78,11.89,,19,1278,50.7469,4457,
P16,100,0.9,102,mmfork-cuthill,1,SUCCESS,1,12.25,11.4,,17,1225,60.6721,4457,
P16,100,0.9,102,mmfork-cuthill,4,SUCCESS,1,13.65,12.56,,20,1365,61.8253,4457,
P16,100,0.9,103,minorminer,1,SUCCESS,1,13.28,12.02,,20,1328,58.2038,4466,
P16,100,0.9,102,attraction,0,SUCCESS,1,14.91,13.12,,24,1491,61.0192,4457,
P16,100,0.9,102,attraction,4,SUCCESS,1,15.37,13.38,,25,1537,60.9183,4457,
P16,100,0.9,102,attraction,3,SUCCESS,1,14.47,12.69,,24,1447,61.3524,4457,
P16,100,0.9,102,attraction,2,SUCCESS,1,14.41,12.94,,21,1441,62.0013,4457,
P16,100,0.9,102,attraction,1,SUCCESS,1,15.31,13.44,,23,1531,62.2731,4457,
P16,100,0.9,103,minorminer,2,SUCCESS,1,13.73,12.33,,21,1373,60.7652,4466,
P16,140,0.9,102,template,-1,SUCCESS,1,13.1643,13.1643,13.8286,14,1843,0.1508,8779,
P16,140,0.9,102,clique,-1,SUCCESS,1,13.8286,13.1643,,14,1936,0.023,8779,
P16,140,0.9,102,pssa,0,SUCCESS,1,13.3143,13.3143,,14,1864,0.622,8779,
P16,140,0.9,102,pssa,1,SUCCESS,1,13.3143,13.3143,,14,1864,0.6235,8779,
P16,140,0.9,102,pssa,2,SUCCESS,1,13.3143,13.3143,,14,1864,0.6207,8779,
P16,100,0.9,103,mmfork-cuthill,0,SUCCESS,1,12.71,11.69,,19,1271,55.7262,4466,
P16,140,0.9,102,pssa,3,SUCCESS,1,13.3143,13.3143,,14,1864,0.6232,8779,
P16,140,0.9,102,pssa,4,SUCCESS,1,13.3143,13.3143,,14,1864,0.6346,8779,
P16,100,0.9,103,minorminer,3,SUCCESS,1,13.28,11.96,,20,1328,61.2702,4466,
P16,100,0.9,103,minorminer,4,SUCCESS,1,14.32,12.82,,21,1432,60.9366,4466,
P16,100,0.9,103,mmfork-cuthill,1,SUCCESS,1,11.05,10.36,,14,1105,61.2583,4466,
P16,100,0.9,103,mmfork-cuthill,3,SUCCESS,1,13.54,12.41,,22,1354,60.9796,4466,
P16,100,0.9,103,mmfork-cuthill,2,SUCCESS,1,13.33,11.99,,22,1333,61.1913,4466,
P16,100,0.9,103,mmfork-cuthill,4,SUCCESS,1,12.23,11.47,,17,1223,62.0229,4466,
P16,100,0.9,103,attraction,1,SUCCESS,1,14.06,12.67,,22,1406,60.0609,4466,
P16,100,0.9,103,attraction,0,SUCCESS,1,14.78,12.87,,24,1478,61.0344,4466,
P16,100,0.9,103,attraction,3,SUCCESS,1,16.62,14.53,,28,1662,60.0735,4466,
P16,100,0.9,103,attraction,4,SUCCESS,1,14.59,13.01,,21,1459,60.2396,4466,
P16,100,0.9,103,attraction,2,SUCCESS,1,15.32,13.46,,25,1532,60.7685,4466,
P16,140,0.9,101,minorminer,0,SUCCESS,1,20.1357,18.2286,,37,2819,61.2841,8777,
P16,140,0.9,101,minorminer,2,SUCCESS,1,21.95,19.1929,,35,3073,60.5651,8777,
P16,140,0.9,101,minorminer,3,SUCCESS,1,19.8286,17.7929,,33,2776,60.8506,8777,
P16,140,0.9,101,minorminer,1,SUCCESS,1,19.3143,17.3786,,30,2704,63.6541,8777,
P16,140,0.9,101,minorminer,4,SUCCESS,1,16.6143,15.0857,,27,2326,62.8092,8777,
P16,140,0.9,101,mmfork-cuthill,3,SUCCESS,1,26.7429,22.4286,,43,3744,60.5879,8777,
