topo,n,p,inst_seed,arm,base_seed,K,per_run_s,status,success,n_success,acl,acl_spur,max_chain,qubits,time,err
Z12,100,0.3,101,mm-bo3x20,0,3,20.0,SUCCESS,1,3,8.95,8.5,14,895,57.1056,
Z12,100,0.2,105,mm-bo12x5,3,12,5.0,SUCCESS,1,12,8.12,7.81,13,812,62.1693,
Z12,100,0.2,105,mm-bo6x10,4,6,10.0,SUCCESS,1,6,7.61,7.31,12,761,60.8393,
Z12,100,0.2,105,mm-bo12x5,4,12,5.0,SUCCESS,1,12,7.93,7.5,13,793,62.0273,
Z12,100,0.3,103,mm-bo1x60,1,1,60.0,SUCCESS,1,1,9.95,9.34,15,995,15.9348,
Z12,100,0.3,101,mm-bo6x10,0,6,10.0,SUCCESS,1,6,9.15,8.5,14,915,61.0606,
Z12,100,0.3,101,mm-bo3x20,1,3,20.0,SUCCESS,1,3,8.82,8.32,14,882,59.1422,
Z12,100,0.3,101,mm-bo12x5,0,12,5.0,SUCCESS,1,12,9.94,9.18,17,994,62.3665,
Z12,100,0.3,103,mm-bo1x60,3,1,60.0,SUCCESS,1,1,10.16,9.31,17,1016,13.0607,
Z12,100,0.3,101,mm-bo3x20,2,3,20.0,SUCCESS,1,3,8.89,8.3,13,889,56.8386,
Z12,100,0.3,101,mm-bo6x10,1,6,10.0,SUCCESS,1,6,9.46,8.84,15,946,61.7002,
Z12,100,0.3,102,mm-bo3x20,0,3,20.0,SUCCESS,1,3,8.93,8.42,14,893,47.1963,
Z12,100,0.3,102,mm-bo1x60,3,1,60.0,SUCCESS,1,1,8.62,8.24,13,862,37.3538,
Z12,100,0.3,101,mm-bo3x20,3,3,20.0,SUCCESS,1,3,9.05,8.56,14,905,57.3721,
Z12,100,0.3,101,mm-bo12x5,1,12,5.0,SUCCESS,1,12,10.2,9.36,18,1020,63.2889,
Z12,100,0.3,103,mm-bo1x60,2,1,60.0,SUCCESS,1,1,9.6,8.76,15,960,19.7083,
Z12,100,0.3,101,mm-bo6x10,2,6,10.0,SUCCESS,1,6,9.74,9.08,17,974,62.0273,
Z12,100,0.3,101,mm-bo12x5,2,12,5.0,SUCCESS,1,12,10.39,9.57,19,1039,62.4287,
Z12,100,0.3,101,mm-bo6x10,3,6,10.0,SUCCESS,1,6,9.59,8.94,16,959,61.6301,
