topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
P16,100,0.3,102,2,bestof8-par,SUCCESS,1,11.07,10.51,17,1107,26.9885,mm[run6],1451,,"{""per_run_s"":60.0,""accs"":[11.48,11.45,11.98,11.91,11.74,13.08,11.07,11.28],""used_s"":[15.0,18.1,21.9,7.9,20.6,10.6,23.5,27.0]}"
P16,100,0.3,102,2,race8-par,SUCCESS,1,9.12,9.12,10,912,60.0753,template[0]@template,1451,,"{""final_survivor"":7,""elapsed_s"":60.075,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r1"",12.6],""2"":[""mm"",""dropped:r1"",15.02],""3"":[""mm"",""dropped:r2"",12.34],""4"":[""mm"",""dropped:r1"",14.03],""5"":[""cuthill"",""dropped:r2"",10.99],""6"":[""clmm"",""dropped:r3"",9.72],""7"":[""clmm-core"",""final"",9.27]}}"
P16,100,0.3,102,1,race8-seq,SUCCESS,1,9.12,9.12,10,912,60.0654,template[0]@template,1451,,"{""final_survivor"":7,""elapsed_s"":60.065,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r1"",16.06],""2"":[""mm"",""dropped:r2"",13.47],""3"":[""mm"",""dropped:r1"",15.3],""4"":[""mm"",""dropped:r1"",14.37],""5"":[""cuthill"",""dropped:r2"",11.77],""6"":[""clmm"",""survivor"",9.68],""7"":[""clmm-core"",""final"",9.43]}}"
P16,100,0.3,102,1,bestof8-seq,SUCCESS,1,11.92,11.25,19,1192,60.4049,mm[run2],1451,,"{""per_run_s"":7.5,""accs"":[12.48,13.26,11.92,13.17,13.45,13.11,12.16,12.76]}"
P16,100,0.3,102,1,bestof8-par,SUCCESS,1,11.06,10.47,16,1106,42.9486,mm[run7],1451,,"{""per_run_s"":60.0,""accs"":[11.81,12.13,11.92,12.02,11.37,11.27,11.08,11.06],""used_s"":[18.5,16.9,12.4,14.3,38.9,37.7,22.1,42.9]}"
P16,100,0.3,102,1,race8-par,SUCCESS,1,9.12,9.12,10,912,60.173,template[0]@template,1451,,"{""final_survivor"":7,""elapsed_s"":60.173,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r1"",16.06],""2"":[""mm"",""dropped:r2"",12.91],""3"":[""mm"",""dropped:r1"",15.3],""4"":[""mm"",""dropped:r1"",14.37],""5"":[""cuthill"",""dropped:r2"",11.68],""6"":[""clmm"",""dropped:r3"",9.68],""7"":[""clmm-core"",""final"",9.34]}}"
P16,100,0.3,102,3,race8-seq,SUCCESS,1,9.12,9.12,10,912,60.2367,template[0]@template,1451,,"{""final_survivor"":6,""elapsed_s"":60.236,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r2"",12.42],""2"":[""mm"",""dropped:r1"",12.84],""3"":[""mm"",""dropped:r2"",12.57],""4"":[""mm"",""dropped:r1"",17.87],""5"":[""cuthill"",""dropped:r1"",13.5],""6"":[""clmm"",""final"",9.29],""7"":[""clmm-core"",""survivor"",9.47]}}"
P16,100,0.3,102,3,bestof8-seq,SUCCESS,1,11.78,11.02,20,1178,60.1015,mm[run1],1451,,"{""per_run_s"":7.5,""accs"":[12.24,11.78,13.03,12.4,12.13,12.17,12.68,12.98]}"
P16,100,0.3,102,3,bestof8-par,SUCCESS,1,10.56,10.07,16,1056,34.1553,mm[run1],1451,,"{""per_run_s"":60.0,""accs"":[11.0,10.56,13.03,11.37,12.02,11.29,10.73,11.1],""used_s"":[34.1,27.2,13.4,24.6,18.7,25.4,33.1,24.4]}"
P16,100,0.3,102,3,race8-par,SUCCESS,1,9.12,9.12,10,912,60.1676,template[0]@template,1451,,"{""final_survivor"":6,""elapsed_s"":60.167,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r2"",12.42],""2"":[""mm"",""dropped:r1"",12.84],""3"":[""mm"",""dropped:r2"",12.57],""4"":[""mm"",""dropped:r1"",17.87],""5"":[""cuthill"",""dropped:r1"",13.36],""6"":[""clmm"",""final"",9.26],""7"":[""clmm-core"",""dropped:r3"",9.46]}}"
