cell,n,p,inst_seed,algo_seed,stage,acl,acl_best,time_cum
P16:100:0.1,100,0.1,102,10,q4,5.29,5.29,29.34
P16:100:0.1,100,0.1,102,10,q5,5.2,5.2,36.39
P16:100:0.1,100,0.1,102,10,q6,5.22,5.2,43.69
P16:100:0.1,100,0.1,102,10,q7,5.21,5.2,50.75
P16:100:0.1,100,0.1,102,10,q8,5.19,5.19,57.83
P16:100:0.1,100,0.1,102,10,spur,5.08,5.08,57.84
P16:100:0.1,100,0.1,102,11,q0legal,8.65,8.65,1.13
P16:100:0.1,100,0.1,102,11,q1,5.58,5.58,8.2
P16:100:0.1,100,0.1,102,11,q2,5.32,5.32,15.29
P16:100:0.1,100,0.1,102,11,q3,5.41,5.32,22.34
P16:100:0.1,100,0.1,102,11,q4,5.15,5.15,29.39
P16:100:0.1,100,0.1,102,11,q5,5.13,5.13,36.46
P16:100:0.1,100,0.1,102,11,q6,5.12,5.12,43.52
P16:100:0.1,100,0.1,102,11,q7,5.12,5.12,50.55
P16:100:0.1,100,0.1,102,11,q8,5.12,5.12,57.66
P16:100:0.1,100,0.1,102,11,spur,4.97,4.97,57.67
P16:100:0.1,100,0.1,102,13,q0legal,8.32,8.32,1.26
P16:100:0.1,100,0.1,102,13,q1,5.4,5.4,8.28
P16:100:0.1,100,0.1,102,13,q2,5.05,5.05,15.36
P16:100:0.1,100,0.1,102,13,q3,5.06,5.05,22.38
P16:100:0.1,100,0.1,102,13,q4,5.06,5.05,29.4
P16:100:0.1,100,0.1,102,13,q5,5.06,5.05,36.48
P16:100:0.1,100,0.1,102,13,q6,5.06,5.05,43.5
P16:100:0.1,100,0.1,102,13,q7,5.05,5.05,50.55
P16:100:0.1,100,0.1,102,13,q8,5.05,5.05,57.59
P16:100:0.1,100,0.1,102,13,spur,4.96,4.96,57.6
P16:100:0.1,100,0.1,102,9,q0legal,9.12,9.12,1.47
P16:100:0.1,100,0.1,102,9,q1,5.49,5.49,8.51
P16:100:0.1,100,0.1,102,9,q2,5.22,5.22,15.62
P16:100:0.1,100,0.1,102,9,q3,5.09,5.09,22.65
P16:100:0.1,100,0.1,102,9,q4,5.05,5.05,29.73
P16:100:0.1,100,0.1,102,9,q5,5.17,5.05,36.85
P16:100:0.1,100,0.1,102,9,q6,5.17,5.05,43.9
P16:100:0.1,100,0.1,102,9,q7,5.17,5.05,50.93
P16:100:0.1,100,0.1,102,9,q8,5.17,5.05,58.04
P16:100:0.1,100,0.1,102,9,spur,4.93,4.93,58.05
P16:100:0.1,100,0.1,102,15,q0legal,8.98,8.98,0.96
P16:100:0.1,100,0.1,102,15,q1,5.84,5.84,7.99
P16:100:0.1,100,0.1,102,15,q2,5.66,5.66,15.07
P16:100:0.1,100,0.1,102,15,q3,5.66,5.66,22.21
P16:100:0.1,100,0.1,102,15,q4,5.57,5.57,29.24
P16:100:0.1,100,0.1,102,15,q5,5.38,5.38,36.31
P16:100:0.1,100,0.1,102,15,q6,5.38,5.38,43.39
P16:100:0.1,100,0.1,102,15,q7,5.39,5.38,50.43
P16:100:0.1,100,0.1,102,15,q8,5.27,5.27,57.5
P16:100:0.1,100,0.1,102,15,spur,5.11,5.11,57.51
P16:100:0.1,100,0.1,102,14,q0legal,9.1,9.1,0.82
P16:100:0.1,100,0.1,102,14,q1,5.43,5.43,7.95
P16:100:0.1,100,0.1,102,14,q2,5.36,5.36,15.09
P16:100:0.1,100,0.1,102,14,q3,5.27,5.27,22.2
P16:100:0.1,100,0.1,102,14,q4,5.18,5.18,29.29
P16:100:0.1,100,0.1,102,14,q5,5.2,5.18,36.4
P16:100:0.1,100,0.1,102,14,q6,5.19,5.18,43.49
P16:100:0.1,100,0.1,102,14,q7,5.19,5.18,50.61
P16:100:0.1,100,0.1,102,14,q8,5.16,5.16,57.73
P16:100:0.1,100,0.1,102,14,spur,5.07,5.07,57.76
P16:100:0.1,100,0.1,103,6,q0legal,8.24,8.24,0.58
P16:100:0.1,100,0.1,103,6,q1,5.48,5.48,7.65
P16:100:0.1,100,0.1,103,6,q2,5.38,5.38,14.69
P16:100:0.1,100,0.1,103,6,q3,5.17,5.17,21.72
P16:100:0.1,100,0.1,103,6,q4,5.08,5.08,28.78
P16:100:0.1,100,0.1,103,6,q5,5.07,5.07,35.86
P16:100:0.1,100,0.1,103,6,q6,5.07,5.07,42.95
P16:100:0.1,100,0.1,103,6,q7,5.06,5.06,50.03
P16:100:0.1,100,0.1,103,6,q8,5.06,5.06,57.07
P16:100:0.1,100,0.1,103,6,spur,4.92,4.92,57.08
P16:100:0.1,100,0.1,103,1,q0legal,8.99,8.99,0.76
P16:100:0.1,100,0.1,103,1,q1,5.41,5.41,7.88
P16:100:0.1,100,0.1,103,1,q2,5.29,5.29,15.04
P16:100:0.1,100,0.1,103,1,q3,5.33,5.29,22.06
P16:100:0.1,100,0.1,103,1,q4,5.32,5.29,29.1
P16:100:0.1,100,0.1,103,1,q5,5.36,5.29,36.29
P16:100:0.1,100,0.1,103,1,q6,5.35,5.29,43.36
P16:100:0.1,100,0.1,103,1,q7,5.35,5.29,50.53
P16:100:0.1,100,0.1,103,1,q8,5.33,5.29,57.6
P16:100:0.1,100,0.1,103,1,spur,5.12,5.12,57.61
P16:100:0.1,100,0.1,103,4,q0legal,8.74,8.74,0.73
P16:100:0.1,100,0.1,103,4,q1,5.55,5.55,7.77
P16:100:0.1,100,0.1,103,4,q2,5.33,5.33,14.92
P16:100:0.1,100,0.1,103,4,q3,5.24,5.24,21.97
P16:100:0.1,100,0.1,103,4,q4,5.23,5.23,29.06
P16:100:0.1,100,0.1,103,4,q5,5.23,5.23,36.11
P16:100:0.1,100,0.1,103,4,q6,5.19,5.19,43.15
P16:100:0.1,100,0.1,103,4,q7,5.19,5.19,50.25
P16:100:0.1,100,0.1,103,4,q8,5.2,5.19,57.36
P16:100:0.1,100,0.1,103,4,spur,5.08,5.08,57.37
P16:100:0.1,100,0.1,103,3,q0legal,8.85,8.85,0.65
P16:100:0.1,100,0.1,103,3,q1,5.61,5.61,7.71
P16:100:0.1,100,0.1,103,3,q2,5.23,5.23,14.81
P16:100:0.1,100,0.1,103,3,q3,5.31,5.23,21.97
P16:100:0.1,100,0.1,103,3,q4,5.16,5.16,29.08
P16:100:0.1,100,0.1,103,3,q5,5.16,5.16,36.22
P16:100:0.1,100,0.1,103,3,q6,5.16,5.16,43.28
P16:100:0.1,100,0.1,103,3,q7,5.16,5.16,50.44
P16:100:0.1,100,0.1,103,3,q8,5.13,5.13,57.5
P16:100:0.1,100,0.1,103,3,spur,5.04,5.04,57.5
P16:100:0.1,100,0.1,103,2,q0legal,8.25,8.25,0.94
P16:100:0.1,100,0.1,103,2,q1,5.69,5.69,8.05
P16:100:0.1,100,0.1,103,2,q2,5.58,5.58,15.16
P16:100:0.1,100,0.1,103,2,q3,5.58,5.58,22.31
P16:100:0.1,100,0.1,103,2,q4,5.57,5.57,29.36
P16:100:0.1,100,0.1,103,2,q5,5.44,5.44,36.43
P16:100:0.1,100,0.1,103,2,q6,5.24,5.24,43.47
P16:100:0.1,100,0.1,103,2,q7,5.29,5.24,50.55
P16:100:0.1,100,0.1,103,2,q8,5.38,5.24,57.66
P16:100:0.1,100,0.1,103,2,spur,5.14,5.14,57.67
P16:100:0.1,100,0.1,103,0,q0legal,8.3,8.3,1.04
P16:100:0.1,100,0.1,103,0,q1,5.85,5.85,8.23
P16:100:0.1,100,0.1,103,0,q2,5.41,5.41,15.32
P16:100:0.1,100,0.1,103,0,q3,5.16,5.16,22.4
P16:100:0.1,100,0.1,103,0,q4,5.15,5.15,29.49
P16:100:0.1,100,0.1,103,0,q5,5.06,5.06,36.64
P16:100:0.1,100,0.1,103,0,q6,5.06,5.06,43.76
P16:100:0.1,100,0.1,103,0,q7,5.07,5.06,50.98
P16:100:0.1,100,0.1,103,0,q8,4.98,4.98,58.05
P16:100:0.1,100,0.1,103,0,spur,4.88,4.88,58.06
P16:100:0.1,100,0.1,103,5,q0legal,7.78,7.78,1.0
P16:100:0.1,100,0.1,103,5,q1,5.42,5.42,8.03
P16:100:0.1,100,0.1,103,5,q2,5.36,5.36,15.08
P16:100:0.1,100,0.1,103,5,q3,5.31,5.31,22.15
P16:100:0.1,100,0.1,103,5,q4,5.2,5.2,29.25
P16:100:0.1,100,0.1,103,5,q5,5.25,5.2,36.37
P16:100:0.1,100,0.1,103,5,q6,5.29,5.2,43.46
P16:100:0.1,100,0.1,103,5,q7,5.29,5.2,50.54
P16:100:0.1,100,0.1,103,5,q8,5.28,5.2,57.67
P16:100:0.1,100,0.1,103,5,spur,5.07,5.07,57.69
P16:100:0.1,100,0.1,103,7,q0legal,8.94,8.94,0.9
P16:100:0.1,100,0.1,103,7,q1,5.38,5.38,7.93
P16:100:0.1,100,0.1,103,7,q2,5.27,5.27,15.1
P16:100:0.1,100,0.1,103,7,q3,5.16,5.16,22.18
P16:100:0.1,100,0.1,103,7,q4,5.16,5.16,29.35
P16:100:0.1,100,0.1,103,7,q5,5.15,5.15,36.52
P16:100:0.1,100,0.1,103,7,q6,5.15,5.15,43.74
P16:100:0.1,100,0.1,103,7,q7,5.15,5.15,50.94
P16:100:0.1,100,0.1,103,7,q8,5.14,5.14,58.05
P16:100:0.1,100,0.1,103,7,spur,5.04,5.04,58.05
P16:100:0.1,100,0.1,103,8,q0legal,8.64,8.64,0.73
P16:100:0.1,100,0.1,103,8,q1,5.53,5.53,7.79
P16:100:0.1,100,0.1,103,8,q2,5.35,5.35,14.85
