graph_id,graph_name,family,n,density,score,mm_acl,ate_acl,clmm_acl,d_ate,d_clmm,label
2709,turan_n14_r6,turan,14,0.89011,2.0,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.0,0.0,0
2711,turan_n14_r7,turan,14,0.923077,1.9286,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,0.0,0
2712,turan_n14_r8,turan,14,0.934066,2.0,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,0.0,0
2713,turan_n14_r8,turan,14,0.934066,2.0,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,0.0,0
2714,turan_n15_r2,turan,15,0.533333,1.4667,1.0,1.0,1.0,0.0,0.0,0
2716,turan_n15_r3,turan,15,0.714286,2.0667,1.5333333333333334,1.4666666666666666,1.5333333333333334,-0.066667,0.0,0
2718,turan_n15_r4,turan,15,0.8,2.0,1.6666666666666667,1.6666666666666667,1.7333333333333334,0.0,0.066667,0
2719,turan_n15_r5,turan,15,0.857143,2.1333,1.8,1.8,1.8,0.0,0.0,0
2720,turan_n15_r5,turan,15,0.857143,2.1333,1.9333333333333333,1.8,1.8666666666666667,-0.133333,-0.066667,0
2722,turan_n15_r6,turan,15,0.885714,2.0667,1.8666666666666667,1.8666666666666667,1.8,0.0,-0.066667,0
2723,turan_n15_r7,turan,15,0.914286,2.0,1.8666666666666667,1.8666666666666667,2.0,0.0,0.133333,0
2724,turan_n15_r7,turan,15,0.914286,2.0,1.9333333333333333,1.9333333333333333,1.9333333333333333,0.0,0.0,0
2725,turan_n15_r8,turan,15,0.933333,2.0,1.9333333333333333,1.9333333333333333,2.0,0.0,0.066667,0
2726,turan_n15_r8,turan,15,0.933333,2.0,1.9333333333333333,1.9333333333333333,1.9333333333333333,0.0,0.0,0
2727,turan_n16_r2,turan,16,0.533333,1.25,1.0,1.0,1.0,0.0,0.0,0
2728,turan_n16_r4,turan,16,0.8,2.0,1.75,1.75,1.75,0.0,0.0,0
2729,turan_n16_r4,turan,16,0.8,2.0,1.75,1.75,1.75,0.0,0.0,0
2730,turan_n13_r4,turan,13,0.807692,2.0,1.5384615384615385,1.5384615384615385,1.5384615384615385,0.0,0.0,0
2731,turan_n16_r6,turan,16,0.883333,2.125,1.9375,1.9375,2.0,0.0,0.0625,0
2732,turan_n16_r7,turan,16,0.908333,2.0625,1.9375,1.9375,1.9375,0.0,0.0,0
2733,turan_n16_r7,turan,16,0.908333,2.0625,2.0,2.0,1.9375,0.0,-0.0625,0
2734,turan_n17_r2,turan,17,0.529412,1.4706,1.2352941176470589,1.0588235294117647,1.0588235294117647,-0.176471,-0.176471,0
2735,turan_n18_r4,turan,18,0.79085,2.3889,1.8333333333333333,1.8333333333333333,1.8333333333333333,0.0,0.0,0
2736,turan_n17_r3,turan,17,0.705882,2.4118,1.588235294117647,1.7647058823529411,1.8235294117647058,0.176471,0.235294,0
2737,turan_n17_r4,turan,17,0.794118,2.4118,1.7647058823529411,1.8235294117647058,1.8235294117647058,0.058824,0.058824,0
2738,turan_n17_r4,turan,17,0.794118,2.4118,1.7647058823529411,1.8235294117647058,1.8235294117647058,0.058824,0.058824,0
2739,turan_n24_r4,turan,24,0.782609,2.6667,2.25,2.2916666666666665,2.25,0.041667,0.0,0
2740,turan_n17_r5,turan,17,0.845588,2.4706,1.8235294117647058,1.9411764705882353,1.8823529411764706,0.117647,0.058824,0
2741,turan_n27_r4,turan,27,0.777778,3.037,2.4444444444444446,2.5555555555555554,2.4444444444444446,0.111111,0.0,0
2742,turan_n17_r6,turan,17,0.882353,2.4706,2.0,2.0588235294117645,1.9411764705882353,0.058824,-0.058824,0
2743,turan_n17_r7,turan,17,0.904412,2.4706,2.0588235294117645,2.1176470588235294,1.9411764705882353,0.058824,-0.117647,0
2744,turan_n17_r7,turan,17,0.904412,2.4706,1.9411764705882353,2.0,2.0,0.058824,0.058824,0
2745,turan_n17_r8,turan,17,0.926471,2.4706,2.0588235294117645,2.3529411764705883,2.0,0.294118,-0.058824,0
2746,turan_n17_r8,turan,17,0.926471,2.4706,2.0588235294117645,2.235294117647059,2.0588235294117645,0.176471,0.0,0
2747,turan_n18_r3,turan,18,0.705882,2.3333,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,0.0,0
2748,turan_n18_r3,turan,18,0.705882,2.3333,1.7222222222222223,1.7222222222222223,1.8888888888888888,0.0,0.166667,0
2749,turan_n18_r4,turan,18,0.79085,2.3889,2.0,1.8333333333333333,1.9444444444444444,-0.166667,-0.055556,0
2750,turan_n18_r4,turan,18,0.79085,2.3889,1.7777777777777777,1.9444444444444444,1.8333333333333333,0.166667,0.055556,0
2751,turan_n53_r4,turan,53,0.764151,4.1887,5.30188679245283,4.056603773584905,4.830188679245283,-1.245283,-0.471698,0
2752,turan_n18_r5,turan,18,0.843137,2.3889,2.2222222222222223,2.2777777777777777,2.0555555555555554,0.055556,-0.166667,0
2753,turan_n61_r4,turan,61,0.762295,4.7705,6.360655737704918,4.590163934426229,4.672131147540983,-1.770492,-1.688525,0
2754,turan_n18_r6,turan,18,0.882353,2.4444,2.0555555555555554,2.111111111111111,2.0,0.055556,-0.055556,0
2755,turan_n18_r7,turan,18,0.901961,2.4444,2.111111111111111,2.111111111111111,2.0555555555555554,0.0,-0.055556,0
2756,turan_n18_r7,turan,18,0.901961,2.4444,2.2222222222222223,2.3333333333333335,2.111111111111111,0.111111,-0.111111,0
2757,turan_n80_r4,turan,80,0.759494,5.6,7.425,5.5,6.9,-1.925,-0.525,0
2758,turan_n18_r8,turan,18,0.921569,2.4444,2.2777777777777777,2.0555555555555554,2.111111111111111,-0.222222,-0.166667,0
2759,turan_n19_r2,turan,19,0.526316,1.9474,1.4736842105263157,1.1578947368421053,1.1578947368421053,-0.315789,-0.315789,0
2760,turan_n98_r4,turan,98,0.757627,6.8776,10.26530612244898,6.724489795918367,7.948979591836735,-3.540816,-2.316327,0
2761,turan_n19_r3,turan,19,0.701754,2.3684,1.6842105263157894,1.736842105263158,1.6842105263157894,0.052632,0.0,0
2762,turan_n19_r4,turan,19,0.789474,2.4211,1.894736842105263,1.9473684210526316,1.8421052631578947,0.052632,-0.052632,0
2763,turan_n19_r4,turan,19,0.789474,2.4211,2.0526315789473686,2.0526315789473686,2.1052631578947367,0.0,0.052632,0
2764,turan_n19_r5,turan,19,0.842105,2.4737,2.1052631578947367,1.9473684210526316,2.210526315789474,-0.157895,0.105263,1
2765,turan_n19_r5,turan,19,0.842105,2.4737,1.9473684210526316,2.4210526315789473,2.0526315789473686,0.473684,0.105263,0
2766,turan_n147_r4,turan,147,0.755102,9.4286,19.1156462585034,9.36734693877551,10.904761904761905,-9.748299,-8.210884,0
2767,turan_n19_r6,turan,19,0.877193,2.4737,2.3157894736842106,2.210526315789474,2.0,-0.105263,-0.315789,0
2769,turan_n19_r7,turan,19,0.900585,2.4737,2.1052631578947367,2.210526315789474,2.3157894736842106,0.105263,0.210526,0
2771,turan_n19_r8,turan,19,0.918129,2.4737,2.3684210526315788,2.1052631578947367,2.263157894736842,-0.263158,-0.105263,0
