topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
Z12,160,0.05,105,4,race8-seq,SUCCESS,1,5.2938,5.075,11,847,60.1082,mm[2]@q3,663,,"{""final_survivor"":2,""elapsed_s"":60.108,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r2"",5.4688],""2"":[""mm"",""final"",5.2938],""3"":[""mm"",""dropped:r2"",5.475],""4"":[""mm"",""dropped:r1"",5.9375],""5"":[""cuthill"",""dropped:r3"",5.3812],""6"":[""clmm"",""dropped:r1"",5.9062],""7"":[""clmm-core"",""dropped:r1"",9.1687]}}"
Z12,160,0.05,105,4,race9-seq,SUCCESS,1,5.025,4.9313,10,804,60.0502,mm-beta[8]@q2,663,,"{""final_survivor"":8,""elapsed_s"":60.05,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r2"",5.4688],""2"":[""mm"",""dropped:r1"",5.8625],""3"":[""mm"",""dropped:r2"",5.575],""4"":[""mm"",""dropped:r1"",5.9375],""5"":[""cuthill"",""survivor"",5.3812],""6"":[""clmm"",""dropped:r1"",5.9062],""7"":[""clmm-core"",""dropped:r1"",9.1687],""8"":[""mm-beta"",""final"",5.025]}}"
Z12,160,0.05,105,4,race8-par,SUCCESS,1,5.0312,4.95,10,805,60.0499,mm[2]@final3,663,,"{""final_survivor"":2,""elapsed_s"":60.049,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r2"",5.4688],""2"":[""mm"",""final"",5.0312],""3"":[""mm"",""dropped:r2"",5.475],""4"":[""mm"",""dropped:r1"",5.9375],""5"":[""cuthill"",""dropped:r3"",5.4375],""6"":[""clmm"",""dropped:r1"",5.9062],""7"":[""clmm-core"",""dropped:r1"",9.1687]}}"
Z12,160,0.05,105,4,race9-par,SUCCESS,1,4.8563,4.7062,9,777,60.0437,mm-beta[8]@final8,663,,"{""final_survivor"":8,""elapsed_s"":60.043,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r2"",5.4688],""2"":[""mm"",""dropped:r1"",5.8063],""3"":[""mm"",""dropped:r2"",5.475],""4"":[""mm"",""dropped:r1"",5.9375],""5"":[""cuthill"",""dropped:r3"",5.4375],""6"":[""clmm"",""dropped:r1"",5.9062],""7"":[""clmm-core"",""dropped:r1"",9.1687],""8"":[""mm-beta"",""final"",4.8563]}}"
Z12,100,0.2,101,1,race8-seq,SUCCESS,1,6.85,6.85,8,685,60.3792,template[0]@template,989,,"{""final_survivor"":7,""elapsed_s"":60.379,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.85],""1"":[""mm"",""dropped:r1"",8.95],""2"":[""mm"",""dropped:r2"",8.02],""3"":[""mm"",""dropped:r1"",9.27],""4"":[""mm"",""dropped:r1"",8.79],""5"":[""cuthill"",""dropped:r3"",7.59],""6"":[""clmm"",""dropped:r2"",7.8],""7"":[""clmm-core"",""final"",7.36]}}"
Z12,100,0.2,101,1,race9-seq,SUCCESS,1,6.85,6.85,8,685,60.0899,template[0]@template,989,,"{""final_survivor"":7,""elapsed_s"":60.09,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.85],""1"":[""mm"",""dropped:r1"",8.95],""2"":[""mm"",""dropped:r2"",8.25],""3"":[""mm"",""dropped:r1"",9.27],""4"":[""mm"",""dropped:r1"",8.79],""5"":[""cuthill"",""survivor"",7.59],""6"":[""clmm"",""dropped:r2"",7.8],""7"":[""clmm-core"",""final"",7.39],""8"":[""mm-beta"",""legalize-failed"",null]}}"
Z12,100,0.2,101,1,race8-par,SUCCESS,1,6.85,6.85,8,685,60.0684,template[0]@template,989,,"{""final_survivor"":5,""elapsed_s"":60.068,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.85],""1"":[""mm"",""dropped:r1"",8.92],""2"":[""mm"",""dropped:r2"",7.95],""3"":[""mm"",""dropped:r1"",9.29],""4"":[""mm"",""dropped:r1"",9.06],""5"":[""cuthill"",""final"",7.04],""6"":[""clmm"",""dropped:r2"",7.8],""7"":[""clmm-core"",""dropped:r3"",7.36]}}"
Z12,100,0.2,101,1,race9-par,SUCCESS,1,6.85,6.85,8,685,60.2058,template[0]@template,989,,"{""final_survivor"":5,""elapsed_s"":60.205,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.85],""1"":[""mm"",""dropped:r1"",8.92],""2"":[""mm"",""dropped:r2"",7.95],""3"":[""mm"",""dropped:r1"",9.29],""4"":[""mm"",""dropped:r1"",9.06],""5"":[""cuthill"",""final"",7.04],""6"":[""clmm"",""dropped:r2"",7.8],""7"":[""clmm-core"",""dropped:r3"",7.36],""8"":[""mm-beta"",""legalize-failed"",null]}}"
Z12,100,0.2,101,3,race8-seq,SUCCESS,1,6.85,6.85,8,685,60.3528,template[0]@template,989,,"{""final_survivor"":7,""elapsed_s"":60.352,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.85],""1"":[""mm"",""dropped:r1"",8.79],""2"":[""mm"",""dropped:r1"",8.79],""3"":[""mm"",""dropped:r1"",8.6],""4"":[""mm"",""dropped:r2"",8.14],""5"":[""cuthill"",""dropped:r2"",8.21],""6"":[""clmm"",""dropped:r3"",7.84],""7"":[""clmm-core"",""final"",7.41]}}"
Z12,100,0.2,101,3,race9-seq,SUCCESS,1,6.85,6.85,8,685,60.15,template[0]@template,989,,"{""final_survivor"":7,""elapsed_s"":60.15,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.85],""1"":[""mm"",""dropped:r1"",8.79],""2"":[""mm"",""dropped:r1"",8.79],""3"":[""mm"",""dropped:r1"",8.6],""4"":[""mm"",""dropped:r2"",8.26],""5"":[""cuthill"",""dropped:r2"",8.21],""6"":[""clmm"",""survivor"",7.84],""7"":[""clmm-core"",""final"",7.41],""8"":[""mm-beta"",""legalize-failed"",null]}}"
