topo,n,p,inst_seed,assignment,status,acl_pre,acl_spur,obj_sim,qubits,time,detail,err
P16,140,0.2,102,rand-00,SUCCESS,13.8286,12.4714,1771,1746,0.0835,,
P16,140,0.2,102,rand-01,SUCCESS,13.8286,12.5286,1777,1754,0.088,,
P16,140,0.2,102,rand-02,SUCCESS,13.8286,12.5929,1782,1763,0.0801,,
P16,140,0.2,102,rand-03,SUCCESS,13.8286,12.3857,1775,1734,0.0917,,
P16,140,0.2,102,rand-04,SUCCESS,13.8286,12.5143,1789,1752,0.0858,,
P16,140,0.2,102,rand-05,SUCCESS,13.8286,12.5643,1791,1759,0.0862,,
P16,140,0.2,102,rand-06,SUCCESS,13.8286,12.5143,1779,1752,0.0822,,
P16,140,0.2,102,rand-07,SUCCESS,13.8286,12.55,1781,1757,0.0882,,
P16,140,0.2,102,rand-08,SUCCESS,13.8286,12.5429,1769,1756,0.083,,
P16,140,0.2,102,rand-09,SUCCESS,13.8286,12.4286,1765,1740,0.0995,,
P16,140,0.2,102,rand-10,SUCCESS,13.8286,12.4857,1773,1748,0.0869,,
P16,140,0.2,102,rand-11,SUCCESS,13.8286,12.5571,1798,1758,0.0715,,
P16,140,0.2,102,rand-12,SUCCESS,13.8286,12.4857,1779,1748,0.0864,,
P16,140,0.2,102,rand-13,SUCCESS,13.8286,12.3786,1752,1733,0.0862,,
P16,140,0.2,102,rand-14,SUCCESS,13.8286,12.4786,1785,1747,0.0931,,
P16,140,0.2,102,rand-15,SUCCESS,13.8286,12.4857,1795,1748,0.0917,,
P16,140,0.2,102,rand-16,SUCCESS,13.8286,12.5929,1791,1763,0.0901,,
P16,140,0.2,102,rand-17,SUCCESS,13.8286,12.5786,1792,1761,0.0807,,
P16,140,0.2,102,rand-18,SUCCESS,13.8286,12.55,1780,1757,0.0796,,
P16,140,0.2,102,rand-19,SUCCESS,13.8286,12.4214,1767,1739,0.0777,,
P16,140,0.2,102,rand-20,SUCCESS,13.8286,12.5214,1787,1753,0.0677,,
P16,140,0.2,102,rand-21,SUCCESS,13.8286,12.5143,1783,1752,0.0964,,
P16,140,0.2,102,rand-22,SUCCESS,13.8286,12.6,1792,1764,0.0842,,
P16,140,0.2,102,rand-23,SUCCESS,13.8286,12.5071,1763,1751,0.0845,,
P16,140,0.2,102,rand-24,SUCCESS,13.8286,12.5714,1785,1760,0.0764,,
P16,140,0.2,102,rand-25,SUCCESS,13.8286,12.6429,1794,1770,0.0881,,
P16,140,0.2,102,rand-26,SUCCESS,13.8286,12.55,1800,1757,0.0896,,
P16,140,0.2,102,rand-27,SUCCESS,13.8286,12.45,1757,1743,0.1009,,
P16,140,0.2,102,rand-28,SUCCESS,13.8286,12.6143,1804,1766,0.088,,
P16,140,0.2,102,rand-29,SUCCESS,13.8286,12.4429,1779,1742,0.085,,
P16,140,0.2,102,rand-30,SUCCESS,13.8286,12.5357,1802,1755,0.0836,,
P16,140,0.2,102,rand-31,SUCCESS,13.8286,12.4357,1771,1741,0.0839,,
P16,140,0.2,103,identity,SUCCESS,13.8286,12.5429,1772,1756,0.0955,,
P16,140,0.2,103,cuthill,SUCCESS,13.8286,12.1571,1744,1702,0.0936,,
P16,140,0.2,103,spectral,SUCCESS,13.8286,12.3929,1780,1735,0.0812,,
P16,140,0.2,103,shipped,SUCCESS,13.8286,11.9643,1677,1675,0.165,"{""seed_order"":""cuthill"",""obj_seed"":1744,""obj_final"":1677,""complete_skip"":false}",
